Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2D5,6.0,0.667,CWSH,0.6600002167500001,53.1125,129.36,9.36,0.22,0.14520004768500003,0.09684843180589502
2D5,6.0,6.5,CWSH,0.9582062947500002,53.1125,129.42,9.42,0.22,0.21080538484500005,1.3702350014925004
2D5,6.0,0.5,CWSH,0.8408972861250001,53.1125,129.65,9.65,0.22,0.18499740294750003,0.09249870147375001
2D5,6.0,6.667000000000001,CWSH,0.9461464901250001,53.1125,129.75,9.75,0.22,0.20815222782750004,1.387750902925943
2D5,6.0,0.667,CWSH,0.7115284728750001,53.1125,129.97,9.97,0.22,0.15653626403250004,0.10440968810967753
2D5,6.0,0.667,CWSH,0.44730911700000003,53.1125,141.87,21.87,0.22,0.09840800574,0.06563813982858001
2D5,6.0,6.332999999999999,CWSH,0.623820802875,53.1125,141.94,21.94,0.22,0.1372405766325,0.8691445718136225
2D5,6.0,0.5,CWSH,0.5361131328750001,53.1125,142.16,22.16,0.22,0.1179448892325,0.05897244461625
2D5,6.0,6.5,CWSH,0.6139536900000001,53.1125,142.26,22.26,0.22,0.13506981180000002,0.8779537767000002
2D5,6.0,0.667,CWSH,0.45498353812500003,53.1125,142.48,22.48,0.22,0.1000963783875,0.0667642843844625
2D5,6.0,7.167000000000001,CWSH,0.7060467435000001,53.1125,142.99,22.99,0.22,0.15533028357000003,1.1132521423461903
1D2,8.0,4.0,CWSH,1.1292362512500003,53.006,176.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,8.0,3.0,CWSH,1.482259623,53.006,177.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,8.0,0.16699999999999998,CWSH,1.0108308967500002,53.006,177.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,8.0,0.16699999999999998,CWSH,1.5611965260000005,53.006,177.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,8.0,3.0,CWSH,1.4285386751250004,53.006,177.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,8.0,0.16699999999999998,CWSH,1.147874131125,53.006,177.93,9.93,0.22,0.2525323088475,0.042172895577532496
2D1,9.0,4.167,CWSH,1.5622928718750002,52.9875,207.34,15.34,0.22,0.34370443181250004,1.4322163673626875
2D1,9.0,1.167,CWSH,1.4186715622500001,52.9875,207.77,15.77,0.22,0.31210774369500005,0.364229736892065
2D1,9.0,3.667,CWSH,1.5557147966250002,52.9875,207.8,15.8,0.22,0.34225725525750006,1.2550573550292525
2D1,9.0,3.833,CWSH,1.6390370831250003,52.9875,208.06,16.06,0.22,0.36058815828750007,1.3821344107159879
2D1,9.0,1.167,CWSH,1.482259623,52.9875,208.35,16.35,0.22,0.32609711706,0.38055533560902005
2D1,9.0,4.0,CWSH,1.463621743125,52.9875,208.38,16.38,0.22,0.32199678348750005,1.2879871339500002
2D1,9.0,2.833,CWSH,2.1323927268750005,52.9875,209.16,17.16,0.22,0.46912639991250005,1.329035090952113
2D1,9.0,1.167,CWSH,1.9394358528750004,52.9875,209.54,17.54,0.22,0.4266758876325001,0.49793076086712756
2D1,9.0,2.667,CWSH,2.0863462001250004,52.9875,209.57,17.57,0.22,0.4589961640275001,1.2241427694613425
2E9,11.0,5.0,CWSH,1.3024588995000002,52.919,250.36,10.36,0.22,0.28654095789,1.4327047894500002
2E9,11.0,0.5,CWSH,1.23448545525,52.919,250.45,10.45,0.22,0.271586800155,0.1357934000775
2E9,11.0,5.167000000000001,CWSH,1.30465159125,52.919,250.7,10.7,0.22,0.287023350075,1.4830496498375252
2E9,11.0,2.943,BATH,3.6420609967500006,52.919,261.12,21.12,0.7225343710547856,2.6315142516299272,7.744546442546875
3D5,13.0,1.4240000000000002,BATH,5.472958608000001,52.80200000000001,295.08,7.08,0.7229840161777334,3.956861594786338,5.634570910975746
1D3,15.0,4.833,CWSH,1.47129616425,52.57600000000001,350.94,14.94,0.22,0.323685156135,1.564370359600455
1D3,15.0,3.5,CWSH,1.5491367213750002,52.57600000000001,351.55,15.55,0.22,0.3408100787025001,1.1928352754587503
1D3,15.0,0.5,CWSH,1.3485054262500002,52.57600000000001,351.71,15.71,0.22,0.29667119377500006,0.14833559688750003
1D3,15.0,0.5,CWSH,1.3189040876250002,52.57600000000001,351.72,15.72,0.22,0.29015889927750005,0.14507944963875002
3D3,16.0,2.42,BATH,5.3052176891250005,52.546499999999995,367.33,7.33,0.723960885257441,3.8407700947023704,9.294663629179736
1E9,18.0,4.333,CWSH,1.3934556071250002,52.4885,414.67,6.67,0.22,0.3065602335675,1.3283254920479777
1E9,18.0,2.0,CWSH,0.9417611066250002,52.4885,414.95,6.95,0.22,0.20718744345750004,0.4143748869150001
1E9,18.0,4.5,CWSH,1.32219312525,52.4885,415.06,7.06,0.22,0.290882487555,1.3089711939975002
1E9,18.0,3.5,CWSH,1.7530570541250001,52.4885,415.91,7.91,0.22,0.38567255190750005,1.3498539316762501
1E9,18.0,1.6669999999999998,CWSH,1.1511631687500001,52.4885,416.25,8.25,0.22,0.253255897125,0.422177580507375
1E9,18.0,4.5,CWSH,1.2925917866250003,52.4885,416.3,8.3,0.22,0.28437019305750005,1.2796658687587503
1D5,22.0,3.333,CWSH,1.9767116126250004,52.52900000000001,511.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,22.0,0.33299999999999996,CWSH,1.0174089720000001,52.52900000000001,511.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,22.0,3.0,CWSH,2.3132897962500003,52.52900000000001,511.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,22.0,3.0,CWSH,2.2760140365000003,52.52900000000001,514.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,22.0,0.5,CWSH,1.08099703275,52.52900000000001,514.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,22.0,3.0,CWSH,2.1663794490000003,52.52900000000001,514.71,10.71,0.22,0.47660347878000003,1.4298104363400002
1E3,24.0,5.0,CWSH,1.7530570541250001,52.36149999999999,561.21,9.21,0.22,0.38567255190750005,1.9283627595375001
1E3,24.0,1.5,CWSH,1.4998011570000003,52.36149999999999,561.35,9.35,0.22,0.32995625454000005,0.49493438181000005
1E3,24.0,1.8330000000000002,CWSH,1.5579074883750001,52.36149999999999,561.45,9.45,0.22,0.3427396474425001,0.6282417737621027
1E6,25.0,3.167,CWSH,4.3799017706250005,52.3495,593.09,17.09,0.22,0.9635783895375002,3.0516527596652625
1E6,25.0,3.333,CWSH,3.5718948607500005,52.3495,594.97,18.97,0.22,0.7858168693650001,2.6191276255935456
1E6,25.0,0.5,CWSH,2.061130245,52.3495,595.12,19.12,0.22,0.4534486539,0.22672432695
1E6,25.0,0.5,CWSH,1.8659806792500002,52.3495,595.13,19.13,0.22,0.410515749435,0.2052578747175
1D7,26.0,2.333,CWSH,2.8230906281250006,52.361999999999995,609.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,26.0,0.667,CWSH,1.3616615767500002,52.361999999999995,609.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,26.0,3.5,CWSH,1.8210304983750003,52.361999999999995,610.0,10.0,0.22,0.4006267096425001,1.4021934837487504
1D5,29.0,3.333,CWSH,1.9767116126250004,52.269999999999996,679.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,29.0,0.33299999999999996,CWSH,1.0174089720000001,52.269999999999996,679.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,29.0,3.0,CWSH,2.3132897962500003,52.269999999999996,679.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,29.0,3.0,CWSH,2.2760140365000003,52.269999999999996,682.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,29.0,0.5,CWSH,1.08099703275,52.269999999999996,682.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,29.0,3.0,CWSH,2.1663794490000003,52.269999999999996,682.71,10.71,0.22,0.47660347878000003,1.4298104363400002
3E8,31.0,2.667,CWSH,2.5983397237500006,52.210499999999996,728.13,8.13,0.22,0.5716347392250001,1.524549849513075
3E8,31.0,2.333,CWSH,2.7452500710000005,52.210499999999996,728.37,8.37,0.22,0.6039550156200001,1.4090270514414605
3E8,31.0,0.33299999999999996,CWSH,0.641362336875,52.210499999999996,728.5,8.5,0.22,0.1410997141125,0.04698620479946249
3E8,31.0,0.5,CWSH,0.641362336875,52.210499999999996,728.51,8.51,0.22,0.1410997141125,0.07054985705625
3E8,31.0,5.667000000000001,CWSH,1.202691424875,52.210499999999996,730.93,10.93,0.22,0.26459211347250006,1.4994435070486578
3E8,31.0,4.667,CWSH,1.35289080975,52.210499999999996,731.21,11.21,0.22,0.29763597814500004,1.389067110002715
3E8,31.0,0.33299999999999996,CWSH,1.1270435595000001,52.210499999999996,731.39,11.39,0.22,0.24794958309000004,0.08256721116897
3E8,31.0,0.33299999999999996,CWSH,1.0842860703750004,52.210499999999996,731.4,11.4,0.22,0.23854293548250005,0.0794347975156725
3E8,31.0,3.93,BATH,3.964386684000001,52.210499999999996,734.4,14.4,0.7252350957212236,2.8751123562466843,11.299191560049469
1D7,35.0,2.333,CWSH,2.8230906281250006,52.3675,825.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,35.0,0.667,CWSH,1.3616615767500002,52.3675,825.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,35.0,3.5,CWSH,1.8210304983750003,52.3675,826.0,10.0,0.22,0.4006267096425001,1.4021934837487504
2D9,36.0,2.833,CWSH,2.1181402305000003,52.4705,851.24,11.24,0.22,0.46599085071,1.3201520800614301
2D9,36.0,1.167,CWSH,1.9514956575000002,52.4705,851.52,11.52,0.22,0.42932904465000005,0.50102699510655
2D9,36.0,2.833,CWSH,1.9734225750000003,52.4705,851.56,11.56,0.22,0.43415296650000007,1.2299553540945003
2D9,36.0,1.5490000000000002,BATH,7.308241602750002,52.4705,860.24,20.24,0.7242501327046237,5.29299495062914,8.19884917852454
2E5,38.0,3.667,CWSH,1.5392696085000004,52.54350000000001,898.84,10.84,0.22,0.33863931387000007,1.2417903639612902
2E5,38.0,5.332999999999999,CWSH,1.542558646125,52.54350000000001,899.0,11.0,0.22,0.33936290214750003,1.8098223571526173
2E5,38.0,4.167,CWSH,1.4022263741250003,52.54350000000001,900.0,12.0,0.22,0.30848980230750006,1.2854770062153527
2E5,38.0,5.832999999999999,CWSH,1.3759140731250001,52.54350000000001,900.16,12.16,0.22,0.3027010960875,1.7656554934783872
1E7,39.0,1.6669999999999998,CWSH,5.419237660125002,52.510000000000005,922.94,10.94,0.22,1.1922322852275002,1.9874512194742429
1E7,39.0,0.5,CWSH,1.8418610700000002,52.510000000000005,923.02,11.02,0.22,0.40520943540000004,0.20260471770000002
1E7,39.0,1.0,CWSH,3.9150511196250006,52.510000000000005,923.06,11.06,0.22,0.8613112463175002,0.8613112463175002
1E7,39.0,1.5,CWSH,4.027974744750001,52.510000000000005,933.1,21.1,0.22,0.8861544438450001,1.3292316657675003
1E7,39.0,0.5,CWSH,1.5304988415,52.510000000000005,933.17,21.17,0.22,0.33670974513000007,0.16835487256500004
1E7,39.0,2.333,CWSH,2.835150432750001,52.510000000000005,933.23,21.23,0.22,0.6237330952050002,1.4551693111132655
1E7,39.0,0.33299999999999996,CWSH,1.338638313375,52.510000000000005,933.3,21.3,0.22,0.2945004289425,0.0980686428378525
1D3,40.0,4.833,CWSH,1.47129616425,52.382000000000005,950.94,14.94,0.22,0.323685156135,1.564370359600455
1D3,40.0,3.5,CWSH,1.5491367213750002,52.382000000000005,951.55,15.55,0.22,0.3408100787025001,1.1928352754587503
1D3,40.0,0.5,CWSH,1.3485054262500002,52.382000000000005,951.71,15.71,0.22,0.29667119377500006,0.14833559688750003
1D3,40.0,0.5,CWSH,1.3189040876250002,52.382000000000005,951.72,15.72,0.22,0.29015889927750005,0.14507944963875002
4D9,41.0,9.167,CWSH,0.761960383125,52.292,970.41,10.41,0.22,0.1676312842875,1.5366759830635124
4D9,41.0,0.33299999999999996,CWSH,0.46704334275000003,52.292,970.75,10.75,0.22,0.10274953540500001,0.034215595289865
4D9,41.0,10.167,CWSH,0.6303988781250001,52.292,970.76,10.76,0.22,0.1386877531875,1.4100383866573127
4D9,41.0,0.5,CWSH,0.33548183775,52.292,971.03,11.03,0.22,0.07380600430500002,0.03690300215250001
4D9,41.0,0.33299999999999996,CWSH,0.44840546287500005,52.292,971.03,11.03,0.22,0.0986492018325,0.0328501842102225
3D9,42.0,2.114,BATH,5.0804667847500005,52.21300000000001,998.81,14.81,0.725225658428016,3.6844848690919845,7.789001013260455
3D9,42.0,4.0,CWSH,0.5722925467500001,52.21300000000001,1006.78,22.78,0.22,0.12590436028500002,0.5036174411400001
3D9,42.0,4.167,CWSH,0.185282452875,52.21300000000001,1006.86,22.86,0.22,0.0407621396325,0.1698558358486275
3D9,42.0,1.5,CWSH,0.31794030375000004,52.21300000000001,1006.96,22.96,0.22,0.06994686682500001,0.1049203002375
3D9,42.0,0.667,CWSH,0.7148175105000001,52.21300000000001,1007.01,23.01,0.22,0.15725985231000003,0.10489232149077003
3D9,42.0,2.833,CWSH,0.28614627337500004,52.21300000000001,1007.03,23.03,0.22,0.06295218014250001,0.17834352634370254
3D9,42.0,2.0,CWSH,0.5383058246250001,52.21300000000001,1007.08,23.08,0.22,0.11842728141750002,0.23685456283500003
3D9,42.0,2.833,CWSH,0.768538458375,52.21300000000001,1007.14,23.14,0.22,0.16907846084250003,0.4789992795668026
3D9,42.0,2.667,CWSH,0.8485717072500001,52.21300000000001,1007.2,23.2,0.22,0.18668577559500005,0.49789096351186507
3D9,42.0,4.0,CWSH,0.7959471052500001,52.21300000000001,1007.31,23.31,0.22,0.17510836315500003,0.7004334526200001
3D9,42.0,0.667,CWSH,0.5098008318750001,52.21300000000001,1007.5,23.5,0.22,0.11215618301250002,0.07480817406933751
1D2,43.0,4.0,CWSH,1.1292362512500003,52.1965,1016.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,43.0,3.0,CWSH,1.482259623,52.1965,1017.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,43.0,0.16699999999999998,CWSH,1.0108308967500002,52.1965,1017.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,43.0,0.16699999999999998,CWSH,1.5611965260000005,52.1965,1017.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,43.0,3.0,CWSH,1.4285386751250004,52.1965,1017.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,43.0,0.16699999999999998,CWSH,1.147874131125,52.1965,1017.93,9.93,0.22,0.2525323088475,0.042172895577532496
2D4,44.0,4.333,CWSH,1.657674963,52.2115,1045.38,13.38,0.22,0.36468849185999996,1.58019523522938
2D4,44.0,4.333,CWSH,1.4033227200000002,52.2115,1045.69,13.69,0.22,0.30873099840000007,1.3377314160672003
2D4,44.0,0.16699999999999998,CWSH,1.6478078501250004,52.2115,1045.86,13.86,0.22,0.36251772702750007,0.0605404604135925
2D4,44.0,0.833,CWSH,0.394684515,52.2115,1045.87,13.87,0.22,0.08683059330000001,0.0723298842189
