Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H4,1.0,1.31,FAUC,2.1027913882500004,53.35,5.93,5.93,0.5,1.0513956941250002,1.3773283593037504
1H4,1.0,0.131,FAUC,0.6950832847500001,53.35,6.48,6.48,0.5,0.34754164237500007,0.04552795515112501
1H4,1.0,0.131,FAUC,0.6314952240000001,53.35,7.07,7.07,0.5,0.31574761200000007,0.04136293717200001
1H4,1.0,0.655,FAUC,1.4022263741250003,53.35,7.08,7.08,0.5,0.7011131870625001,0.4592291375259376
1H4,1.0,0.524,FAUC,1.16870470275,53.35,7.23,7.23,0.5,0.584352351375,0.3062006321205
1H4,1.0,0.262,FAUC,1.136910672375,53.35,7.28,7.28,0.5,0.5684553361875,0.14893529808112502
1H4,1.0,0.131,FAUC,0.8211630603750002,53.35,7.31,7.31,0.5,0.4105815301875001,0.053786180454562516
1H4,1.0,0.655,FAUC,2.9557484790000004,53.35,7.67,7.67,0.5,1.4778742395000002,0.9680076268725002
1H4,1.0,0.262,FAUC,1.1994023872500001,53.35,7.95,7.95,0.5,0.5997011936250001,0.15712171272975003
1H4,1.0,0.39299999999999996,FAUC,0.88365477525,53.35,8.16,8.16,0.5,0.441827387625,0.173638163336625
1H4,1.0,1.179,FAUC,2.3713961276250006,53.35,8.25,8.25,0.5,1.1856980638125003,1.397938017234938
1H4,1.0,0.131,FAUC,1.3265785087500002,53.35,9.33,9.33,0.5,0.6632892543750001,0.08689089232312502
1H4,1.0,0.131,FAUC,1.0733226116250003,53.35,9.87,9.87,0.5,0.5366613058125002,0.07030263106143753
1H4,1.0,0.131,FAUC,0.6314952240000001,53.35,11.29,11.29,0.5,0.31574761200000007,0.04136293717200001
1H4,1.0,0.131,FAUC,0.9472428360000003,53.35,11.73,11.73,0.5,0.4736214180000001,0.06204440575800002
1H4,1.0,0.262,FAUC,0.7257809692500001,53.35,11.97,11.97,0.5,0.36289048462500006,0.09507730697175001
1H4,1.0,0.524,FAUC,2.336313059625,53.35,12.14,12.14,0.5,1.1681565298125,0.6121140216217501
1H4,1.0,0.131,FAUC,0.5679071632500001,53.35,12.52,12.52,0.5,0.28395358162500006,0.037197919192875004
1H4,1.0,0.7859999999999999,FAUC,1.526113458,53.35,12.53,12.53,0.5,0.763056729,0.5997625889939999
1H4,1.0,0.7859999999999999,FAUC,1.2421598763750001,53.35,12.55,12.55,0.5,0.6210799381875001,0.48816883141537504
1H4,1.0,0.131,FAUC,1.4526582843750002,53.35,12.58,12.58,0.5,0.7263291421875001,0.09514911762656252
1H4,1.0,0.655,FAUC,1.4899340441250002,53.35,12.59,12.59,0.5,0.7449670220625001,0.4879533994509376
1H4,1.0,0.262,FAUC,1.926279702375,53.35,14.45,14.45,0.5,0.9631398511875,0.252342641011125
1H4,1.0,0.262,FAUC,1.3265785087500002,53.35,16.06,16.06,0.5,0.6632892543750001,0.17378178464625005
1H4,1.0,0.131,FAUC,0.6950832847500001,53.35,17.13,17.13,0.5,0.34754164237500007,0.04552795515112501
1H4,1.0,0.524,FAUC,2.4316951507500004,53.35,17.15,17.15,0.5,1.2158475753750002,0.6371041294965001
1H4,1.0,0.131,FAUC,0.7575749996250001,53.35,17.17,17.17,0.5,0.37878749981250004,0.0496211624754375
1H4,1.0,0.131,FAUC,0.8211630603750002,53.35,17.21,17.21,0.5,0.4105815301875001,0.053786180454562516
1H4,1.0,0.262,FAUC,0.9472428360000003,53.35,17.53,17.53,0.5,0.4736214180000001,0.12408881151600004
1H4,1.0,1.179,FAUC,1.6489041960000002,53.35,20.04,20.04,0.5,0.8244520980000001,0.9720290235420002
1D6,2.0,0.31,FAUC,1.0733226116250003,53.3915,26.52,2.52,0.5,0.5366613058125002,0.16636500480187505
1D6,2.0,0.155,FAUC,1.136910672375,53.3915,26.53,2.53,0.5,0.5684553361875,0.0881105771090625
1D6,2.0,1.3940000000000001,FAUC,1.0174089720000001,53.3915,26.56,2.56,0.5,0.5087044860000001,0.7091340534840002
1D6,2.0,0.62,FAUC,1.152259514625,53.3915,31.78,7.78,0.5,0.5761297573125,0.35720044953375
1D6,2.0,0.31,FAUC,0.5997011936250001,53.3915,31.93,7.93,0.5,0.29985059681250004,0.09295368501187501
1D6,2.0,0.31,FAUC,0.9154488056250001,53.3915,32.01,8.01,0.5,0.45772440281250004,0.141894564871875
1D6,2.0,0.31,FAUC,0.7575749996250001,53.3915,32.12,8.12,0.5,0.37878749981250004,0.117424124941875
1D6,2.0,1.859,FAUC,0.8946182340000001,53.3915,32.14,8.14,0.5,0.44730911700000003,0.831547648503
1D6,2.0,1.239,FAUC,1.0579737693750002,53.3915,32.18,8.18,0.5,0.5289868846875001,0.6554147501278126
1D6,2.0,0.31,FAUC,0.9790368663750001,53.3915,32.26,8.26,0.5,0.48951843318750005,0.15175071428812503
1D6,2.0,2.0140000000000002,FAUC,1.000963783875,53.3915,32.59,8.59,0.5,0.5004818919375,1.0079705303621251
1D6,2.0,0.31,FAUC,0.5679071632500001,53.3915,32.63,8.63,0.5,0.28395358162500006,0.08802561030375002
1D6,2.0,0.31,FAUC,0.88365477525,53.3915,32.86,8.86,0.5,0.441827387625,0.13696649016375
1D6,2.0,1.3940000000000001,FAUC,1.1511631687500001,53.3915,33.34,9.34,0.5,0.5755815843750001,0.8023607286187502
1D6,2.0,0.465,FAUC,0.8628242036250001,53.3915,34.7,10.7,0.5,0.43141210181250006,0.20060662734281254
1D6,2.0,1.239,FAUC,0.88365477525,53.3915,34.72,10.72,0.5,0.441827387625,0.547424133267375
1D6,2.0,11.772,SHWR,1.6357480455000002,53.3915,33.39,9.39,0.7207035477631846,1.1788894196385453,13.877886247984955
2E6,3.0,0.142,FAUC,0.441827387625,53.338499999999996,55.95,7.95,0.5,0.2209136938125,0.031369744521375
2E6,3.0,0.285,FAUC,0.5054154483750001,53.338499999999996,56.019999999999996,8.02,0.5,0.25270772418750004,0.07202170139343751
2E6,3.0,0.142,FAUC,0.31574761200000007,53.338499999999996,56.13,8.13,0.5,0.15787380600000003,0.022418080452000003
2E6,3.0,0.285,FAUC,0.18966783637500004,53.338499999999996,56.25,8.25,0.5,0.09483391818750002,0.027027666683437503
2E6,3.0,0.42700000000000005,FAUC,0.8211630603750002,53.338499999999996,56.26,8.26,0.5,0.4105815301875001,0.17531831339006257
2E6,3.0,0.142,FAUC,0.88365477525,53.338499999999996,56.28,8.28,0.5,0.441827387625,0.06273948904275
2E6,3.0,0.285,FAUC,0.28395358162500006,53.338499999999996,56.4,8.4,0.5,0.14197679081250003,0.0404633853815625
2E6,3.0,0.8540000000000001,FAUC,0.6424586827500001,53.338499999999996,56.44,8.44,0.5,0.32122934137500003,0.27432985753425004
2E6,3.0,0.142,FAUC,0.3793356727500001,53.338499999999996,56.47,8.47,0.5,0.18966783637500004,0.026932832765250006
2E6,3.0,0.42700000000000005,FAUC,0.441827387625,53.338499999999996,59.269999999999996,11.27,0.5,0.2209136938125,0.09433014725793752
2E6,3.0,0.285,FAUC,0.31574761200000007,53.338499999999996,59.47,11.47,0.5,0.15787380600000003,0.044994034710000005
2E6,3.0,0.285,FAUC,0.7575749996250001,53.338499999999996,59.49,11.49,0.5,0.37878749981250004,0.1079544374465625
2E6,3.0,0.569,FAUC,0.8365119026250001,53.338499999999996,59.51,11.51,0.5,0.41825595131250004,0.2379876362968125
2E6,3.0,2.42,FAUC,0.8913291963750001,53.338499999999996,59.54,11.54,0.5,0.44566459818750004,1.07850832761375
2E6,3.0,0.142,FAUC,0.5054154483750001,53.338499999999996,59.66,11.66,0.5,0.25270772418750004,0.035884496834625
2E6,3.0,0.285,FAUC,0.441827387625,53.338499999999996,59.76,11.76,0.5,0.2209136938125,0.0629604027365625
2E6,3.0,0.42700000000000005,FAUC,0.21049840800000003,53.338499999999996,62.92,14.92,0.5,0.10524920400000001,0.04494141010800001
2E6,3.0,0.7120000000000001,FAUC,0.49225929787500006,53.338499999999996,65.98,17.98,0.5,0.24612964893750003,0.17524431004350002
2E6,3.0,0.142,FAUC,0.31574761200000007,53.338499999999996,68.38,20.38,0.5,0.15787380600000003,0.022418080452000003
2E6,3.0,21.355999999999998,SHWR,1.4943194276250005,53.338499999999996,54.78,6.78,0.7209101121243625,1.0772699861187522,23.006177823552072
2E6,3.0,7.546,SHWR,1.4603327055,53.338499999999996,66.46000000000001,18.46,0.7209101121243625,1.0527686144608788,7.944191964721791
1E2,4.0,0.131,FAUC,0.6314952240000001,53.239999999999995,77.68,5.68,0.5,0.31574761200000007,0.04136293717200001
1E2,4.0,0.262,FAUC,1.0733226116250003,53.239999999999995,77.7,5.7,0.5,0.5366613058125002,0.14060526212287505
1E2,4.0,0.39299999999999996,FAUC,0.88365477525,53.239999999999995,85.2,13.2,0.5,0.441827387625,0.173638163336625
1E2,4.0,1.31,FAUC,1.42744232925,53.239999999999995,86.94,14.94,0.5,0.713721164625,0.9349747256587501
1E2,4.0,0.655,FAUC,3.1958482256250003,53.239999999999995,87.21000000000001,15.21,0.5,1.5979241128125001,1.0466402938921877
1E2,4.0,0.131,FAUC,0.8211630603750002,53.239999999999995,87.33,15.33,0.5,0.4105815301875001,0.053786180454562516
1E2,4.0,1.4409999999999998,FAUC,1.4175752163750004,53.239999999999995,88.6,16.6,0.5,0.7087876081875002,1.0213629433981877
1E2,4.0,0.131,FAUC,0.9472428360000003,53.239999999999995,88.75,16.75,0.5,0.4736214180000001,0.06204440575800002
1E2,4.0,0.39299999999999996,FAUC,1.5151499992500002,53.239999999999995,88.75,16.75,0.5,0.7575749996250001,0.29772697485262495
1E2,4.0,0.917,FAUC,1.1994023872500001,53.239999999999995,90.36,18.36,0.5,0.5997011936250001,0.549925994554125
1E2,4.0,0.262,FAUC,1.0108308967500002,53.239999999999995,90.42,18.42,0.5,0.5054154483750001,0.13241884747425003
1E2,4.0,0.39299999999999996,FAUC,1.4099007952500002,53.239999999999995,90.69,18.69,0.5,0.7049503976250001,0.27704550626662505
1E2,4.0,0.39299999999999996,FAUC,2.7573098756250003,53.239999999999995,90.75,18.75,0.5,1.3786549378125001,0.5418113905603125
2D5,6.0,0.667,CWSH,0.6600002167500001,53.1125,129.36,9.36,0.22,0.14520004768500003,0.09684843180589502
2D5,6.0,6.5,CWSH,0.9582062947500002,53.1125,129.42,9.42,0.22,0.21080538484500005,1.3702350014925004
2D5,6.0,0.5,CWSH,0.8408972861250001,53.1125,129.65,9.65,0.22,0.18499740294750003,0.09249870147375001
2D5,6.0,6.667000000000001,CWSH,0.9461464901250001,53.1125,129.75,9.75,0.22,0.20815222782750004,1.387750902925943
2D5,6.0,0.667,CWSH,0.7115284728750001,53.1125,129.97,9.97,0.22,0.15653626403250004,0.10440968810967753
2D5,6.0,0.667,CWSH,0.44730911700000003,53.1125,141.87,21.87,0.22,0.09840800574,0.06563813982858001
2D5,6.0,6.332999999999999,CWSH,0.623820802875,53.1125,141.94,21.94,0.22,0.1372405766325,0.8691445718136225
2D5,6.0,0.5,CWSH,0.5361131328750001,53.1125,142.16,22.16,0.22,0.1179448892325,0.05897244461625
2D5,6.0,6.5,CWSH,0.6139536900000001,53.1125,142.26,22.26,0.22,0.13506981180000002,0.8779537767000002
2D5,6.0,0.667,CWSH,0.45498353812500003,53.1125,142.48,22.48,0.22,0.1000963783875,0.0667642843844625
2D5,6.0,7.167000000000001,CWSH,0.7060467435000001,53.1125,142.99,22.99,0.22,0.15533028357000003,1.1132521423461903
2D5,6.0,0.16699999999999998,FAUC,0.5054154483750001,53.1125,124.49,4.49,0.5,0.25270772418750004,0.042202189939312504
2D5,6.0,0.16699999999999998,FAUC,0.441827387625,53.1125,126.61,6.61,0.5,0.2209136938125,0.0368925868666875
2D5,6.0,0.16699999999999998,FAUC,0.3793356727500001,53.1125,126.86,6.86,0.5,0.18966783637500004,0.031674528674625
2D5,6.0,0.16699999999999998,FAUC,0.6950832847500001,53.1125,127.03,7.03,0.5,0.34754164237500007,0.058039454276625
2D5,6.0,0.5,FAUC,0.7575749996250001,53.1125,127.09,7.09,0.5,0.37878749981250004,0.18939374990625002
2D5,6.0,0.16699999999999998,FAUC,0.3793356727500001,53.1125,127.82,7.82,0.5,0.18966783637500004,0.031674528674625
