Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,3.333,CWSH,2.1071767717500003,53.35,9.37,9.37,0.22,0.46357888978500006,1.5451084396534052
1H7,1.0,4.833,CWSH,1.415382524625,53.35,9.72,9.72,0.22,0.31138415541750003,1.5049196231327777
1H7,1.0,0.33299999999999996,CWSH,41.60632595625001,53.35,9.93,9.93,0.22,9.153391710375,3.048079439554875
1H7,1.0,4.0,CWSH,1.7157812943750002,53.35,10.11,10.11,0.22,0.37747188476250004,1.5098875390500002
1H7,1.0,0.33299999999999996,CWSH,0.93189399375,53.35,10.45,10.45,0.22,0.20501667862500003,0.068270553982125
1H7,1.0,5.5,CWSH,1.2169439212500002,53.35,10.52,10.52,0.22,0.2677276626750001,1.4725021447125004
1E9,3.0,4.333,CWSH,1.3934556071250002,53.338499999999996,54.67,6.67,0.22,0.3065602335675,1.3283254920479777
1E9,3.0,2.0,CWSH,0.9417611066250002,53.338499999999996,54.95,6.95,0.22,0.20718744345750004,0.4143748869150001
1E9,3.0,4.5,CWSH,1.32219312525,53.338499999999996,55.06,7.06,0.22,0.290882487555,1.3089711939975002
1E9,3.0,3.5,CWSH,1.7530570541250001,53.338499999999996,55.91,7.91,0.22,0.38567255190750005,1.3498539316762501
1E9,3.0,1.6669999999999998,CWSH,1.1511631687500001,53.338499999999996,56.25,8.25,0.22,0.253255897125,0.422177580507375
1E9,3.0,4.5,CWSH,1.2925917866250003,53.338499999999996,56.3,8.3,0.22,0.28437019305750005,1.2796658687587503
1D3,5.0,4.833,CWSH,1.47129616425,53.1725,110.94,14.94,0.22,0.323685156135,1.564370359600455
1D3,5.0,3.5,CWSH,1.5491367213750002,53.1725,111.55,15.55,0.22,0.3408100787025001,1.1928352754587503
1D3,5.0,0.5,CWSH,1.3485054262500002,53.1725,111.71000000000001,15.71,0.22,0.29667119377500006,0.14833559688750003
1D3,5.0,0.5,CWSH,1.3189040876250002,53.1725,111.72,15.72,0.22,0.29015889927750005,0.14507944963875002
2D4,7.0,4.333,CWSH,1.657674963,53.045,157.38,13.38,0.22,0.36468849185999996,1.58019523522938
2D4,7.0,4.333,CWSH,1.4033227200000002,53.045,157.69,13.69,0.22,0.30873099840000007,1.3377314160672003
2D4,7.0,0.16699999999999998,CWSH,1.6478078501250004,53.045,157.86,13.86,0.22,0.36251772702750007,0.0605404604135925
2D4,7.0,0.833,CWSH,0.394684515,53.045,157.87,13.87,0.22,0.08683059330000001,0.0723298842189
1D2,8.0,4.0,CWSH,1.1292362512500003,53.006,176.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,8.0,3.0,CWSH,1.482259623,53.006,177.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,8.0,0.16699999999999998,CWSH,1.0108308967500002,53.006,177.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,8.0,0.16699999999999998,CWSH,1.5611965260000005,53.006,177.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,8.0,3.0,CWSH,1.4285386751250004,53.006,177.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,8.0,0.16699999999999998,CWSH,1.147874131125,53.006,177.93,9.93,0.22,0.2525323088475,0.042172895577532496
3D8,9.0,2.667,CWSH,2.4985722491250004,52.9875,213.42000000000002,21.42,0.22,0.5496858948075,1.4660122814516023
3D8,9.0,3.5,CWSH,1.7749839716250002,52.9875,213.82999999999998,21.83,0.22,0.3904964737575,1.36673765815125
3D8,9.0,0.33299999999999996,CWSH,1.5436549920000004,52.9875,213.99,21.99,0.22,0.3396040982400001,0.11308816471392003
3D8,9.0,0.33299999999999996,CWSH,1.4405984797500002,52.9875,214.0,22.0,0.22,0.316931665545,0.10553824462648499
2D9,12.0,2.833,CWSH,2.1181402305000003,52.8695,275.24,11.24,0.22,0.46599085071,1.3201520800614301
2D9,12.0,1.167,CWSH,1.9514956575000002,52.8695,275.52,11.52,0.22,0.42932904465000005,0.50102699510655
2D9,12.0,2.833,CWSH,1.9734225750000003,52.8695,275.56,11.56,0.22,0.43415296650000007,1.2299553540945003
2D9,12.0,1.5490000000000002,BATH,7.308241602750002,52.8695,284.24,20.24,0.7227247835520342,5.281847330493466,8.18158151493438
1D7,14.0,2.333,CWSH,2.8230906281250006,52.685500000000005,321.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,14.0,0.667,CWSH,1.3616615767500002,52.685500000000005,321.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,14.0,3.5,CWSH,1.8210304983750003,52.685500000000005,322.0,10.0,0.22,0.4006267096425001,1.4021934837487504
1D5,15.0,3.333,CWSH,1.9767116126250004,52.57600000000001,343.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,15.0,0.33299999999999996,CWSH,1.0174089720000001,52.57600000000001,343.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,15.0,3.0,CWSH,2.3132897962500003,52.57600000000001,343.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,15.0,3.0,CWSH,2.2760140365000003,52.57600000000001,346.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,15.0,0.5,CWSH,1.08099703275,52.57600000000001,346.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,15.0,3.0,CWSH,2.1663794490000003,52.57600000000001,346.71,10.71,0.22,0.47660347878000003,1.4298104363400002
6D4,20.0,3.0,CWSH,1.3485054262500002,52.4825,467.88,11.88,0.22,0.29667119377500006,0.8900135813250002
6D4,20.0,1.5,CWSH,1.0656481905000001,52.4825,468.15,12.15,0.22,0.23444260191000002,0.35166390286500004
6D4,20.0,1.5,CWSH,1.189535274375,52.4825,468.24,12.24,0.22,0.26169776036250003,0.39254664054375005
6D4,20.0,2.5,CWSH,1.2542196810000004,52.4825,468.37,12.37,0.22,0.27592832982000004,0.68982082455
6D4,20.0,2.167,CWSH,1.3090369747500001,52.4825,468.52,12.52,0.22,0.287988134445,0.624070287342315
6D4,20.0,0.5,CWSH,0.9417611066250002,52.4825,468.56,12.56,0.22,0.20718744345750004,0.10359372172875002
2E8,25.0,3.333,CWSH,2.0128910265,52.3495,586.88,10.88,0.22,0.44283602583,1.47597247409139
2E8,25.0,3.333,CWSH,1.9854823796250003,52.3495,587.23,11.23,0.22,0.43680612351750003,1.4558748096838279
2E8,25.0,0.33299999999999996,CWSH,1.613821128,52.3495,587.38,11.38,0.22,0.3550406481600001,0.11822853583728002
2D7,28.0,3.93,BATH,1.9405321987500002,52.3065,669.63,21.63,0.72487223754531,1.4066379169366332,5.5280870135609685
3E6,31.0,5.0,CWSH,1.1983060413750002,52.210499999999996,729.33,9.33,0.22,0.26362732910250003,1.3181366455125003
3E6,31.0,0.667,CWSH,0.928604956125,52.210499999999996,729.55,9.55,0.22,0.20429309034750004,0.13626349126178253
3E6,31.0,5.332999999999999,CWSH,1.185149890875,52.210499999999996,729.62,9.62,0.22,0.26073297599250006,1.3904889609680025
3E6,31.0,0.667,CWSH,1.4077081035000003,52.210499999999996,729.81,9.81,0.22,0.30969578277000004,0.20656708710759006
3E6,31.0,5.167000000000001,CWSH,1.1752827780000001,52.210499999999996,731.63,11.63,0.22,0.25856221116000005,1.3359909450637206
3E6,31.0,0.667,CWSH,0.9472428360000003,52.210499999999996,731.88,11.88,0.22,0.20839342392000004,0.13899841375464003
3E6,31.0,5.0,CWSH,1.2410635305000002,52.210499999999996,731.94,11.94,0.22,0.27303397671000007,1.3651698835500004
3E6,31.0,0.667,CWSH,1.4351167503750004,52.210499999999996,732.13,12.13,0.22,0.31572568508250004,0.21058903195002754
2E1,32.0,0.5,CWSH,27.737550637500004,52.174,758.35,14.35,0.22,6.10226114025,3.051130570125
1D2,33.0,4.0,CWSH,1.1292362512500003,52.2,776.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,33.0,3.0,CWSH,1.482259623,52.2,777.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,33.0,0.16699999999999998,CWSH,1.0108308967500002,52.2,777.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,33.0,0.16699999999999998,CWSH,1.5611965260000005,52.2,777.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,33.0,3.0,CWSH,1.4285386751250004,52.2,777.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,33.0,0.16699999999999998,CWSH,1.147874131125,52.2,777.93,9.93,0.22,0.2525323088475,0.042172895577532496
1D3,34.0,4.833,CWSH,1.47129616425,52.254000000000005,806.94,14.94,0.22,0.323685156135,1.564370359600455
1D3,34.0,3.5,CWSH,1.5491367213750002,52.254000000000005,807.55,15.55,0.22,0.3408100787025001,1.1928352754587503
1D3,34.0,0.5,CWSH,1.3485054262500002,52.254000000000005,807.71,15.71,0.22,0.29667119377500006,0.14833559688750003
1D3,34.0,0.5,CWSH,1.3189040876250002,52.254000000000005,807.72,15.72,0.22,0.29015889927750005,0.14507944963875002
2D8,35.0,3.833,CWSH,1.1730900862500002,52.3675,828.66,12.66,0.22,0.25807981897500004,0.9892199461311753
2D8,35.0,0.33299999999999996,CWSH,0.19405321987500002,52.3675,829.02,13.02,0.22,0.0426917083725,0.0142163388880425
2D8,35.0,0.667,CWSH,0.106345549875,52.3675,829.03,13.03,0.22,0.0233960209725,0.015605145988657502
2D8,35.0,4.833,CWSH,0.9516282195000001,52.3675,829.08,13.08,0.22,0.20935820829000001,1.01182822066557
2D8,35.0,0.33299999999999996,CWSH,0.167740918875,52.3675,829.26,13.26,0.22,0.03690300215250001,0.012288699716782502
2D8,35.0,0.16699999999999998,CWSH,0.035083068,52.3675,829.27,13.27,0.22,0.007718274960000001,0.00128895191832
2D8,35.0,0.16699999999999998,CWSH,0.5470765916250001,52.3675,829.27,13.27,0.22,0.12035685015750001,0.0200995939763025
2D8,35.0,4.833,CWSH,0.928604956125,52.3675,829.36,13.36,0.22,0.20429309034750004,0.9873485056494677
1D5,36.0,3.333,CWSH,1.9767116126250004,52.4705,847.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,36.0,0.33299999999999996,CWSH,1.0174089720000001,52.4705,847.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,36.0,3.0,CWSH,2.3132897962500003,52.4705,847.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,36.0,3.0,CWSH,2.2760140365000003,52.4705,850.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,36.0,0.5,CWSH,1.08099703275,52.4705,850.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,36.0,3.0,CWSH,2.1663794490000003,52.4705,850.71,10.71,0.22,0.47660347878000003,1.4298104363400002
3D5,37.0,1.4240000000000002,BATH,5.472958608000001,52.545500000000004,871.08,7.08,0.7239646950845013,3.9622288098508176,5.642213825227565
1D7,41.0,2.333,CWSH,2.8230906281250006,52.292,969.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,41.0,0.667,CWSH,1.3616615767500002,52.292,969.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,41.0,3.5,CWSH,1.8210304983750003,52.292,970.0,10.0,0.22,0.4006267096425001,1.4021934837487504
1E3,46.0,5.0,CWSH,1.7530570541250001,52.3605,1089.21,9.21,0.22,0.38567255190750005,1.9283627595375001
1E3,46.0,1.5,CWSH,1.4998011570000003,52.3605,1089.35,9.35,0.22,0.32995625454000005,0.49493438181000005
1E3,46.0,1.8330000000000002,CWSH,1.5579074883750001,52.3605,1089.45,9.45,0.22,0.3427396474425001,0.6282417737621027
2H9,47.0,2.0,CWSH,1.4910303900000004,52.393,1120.31,16.31,0.22,0.32802668580000005,0.6560533716000001
2H9,47.0,0.667,CWSH,1.6302663161250002,52.393,1120.58,16.58,0.22,0.3586585895475,0.23922527922818254
2H9,47.0,0.16699999999999998,CWSH,0.8200667145000001,52.393,1120.64,16.64,0.22,0.18041467719000004,0.030129251090730003
2H9,47.0,2.667,CWSH,1.2509306433750003,52.393,1120.65,16.65,0.22,0.2752047415425001,0.7339710456938476
2H9,47.0,0.16699999999999998,CWSH,0.63368791575,52.393,1120.76,16.76,0.22,0.139411341465,0.023281694024655
2H9,47.0,2.167,CWSH,1.2410635305000002,52.393,1120.77,16.77,0.22,0.27303397671000007,0.5916646275305701
2H9,47.0,2.667,CWSH,1.280531982,52.393,1120.9,16.9,0.22,0.28171703604,0.7513393351186799
2H9,47.0,0.16699999999999998,CWSH,0.70823943525,52.393,1120.9,16.9,0.22,0.155812675755,0.026020716851084993
2H9,47.0,1.3330000000000002,CWSH,7.390467543375001,52.393,1121.2,17.2,0.22,1.6259028595425005,2.1673285117701533
2H9,47.0,0.667,CWSH,6.0222278913750005,52.393,1121.24,17.24,0.22,1.3248901361025,0.8837017207803676
2H9,47.0,1.0,CWSH,1.9865787255,52.393,1121.35,17.35,0.22,0.43704731961,0.43704731961
2H9,47.0,2.0,CWSH,1.5820270976250002,52.393,1121.42,17.42,0.22,0.34804596147750005,0.6960919229550001
2H9,47.0,2.333,CWSH,1.6489041960000002,52.393,1121.53,17.53,0.22,0.3627589231200001,0.8463165676389601
2H9,47.0,0.16699999999999998,CWSH,1.2728575608750001,52.393,1121.66,17.66,0.22,0.2800286633925001,0.04676478678654751
2H9,47.0,2.0,CWSH,2.3286386385,52.393,1121.67,17.67,0.22,0.5123005004700001,1.0246010009400002
2H9,47.0,3.333,CWSH,4.1606325956250005,52.393,1125.83,21.83,0.22,0.9153391710375001,3.050825457067988
2H9,47.0,0.5,CWSH,2.5468114676250004,52.393,1126.1,22.1,0.22,0.5602985228775,0.28014926143875
2H9,47.0,0.16699999999999998,CWSH,1.09853856675,52.393,1126.16,22.16,0.22,0.24167848468500003,0.040360306942395
2H9,47.0,2.0,CWSH,1.8451501076250003,52.393,1126.16,22.16,0.22,0.40593302367750006,0.8118660473550001
2H9,47.0,2.5,CWSH,1.5940869022500002,52.393,1126.27,22.27,0.22,0.350699118495,0.8767477962375001
2H9,47.0,0.16699999999999998,CWSH,1.0470103106250002,52.393,1126.4,22.4,0.22,0.23034226833750002,0.0384671588123625
2H9,47.0,2.333,CWSH,1.9547846951250003,52.393,1126.41,22.41,0.22,0.4300526329275001,1.0033127926198577
1D2,49.0,4.0,CWSH,1.1292362512500003,52.374,1160.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,49.0,3.0,CWSH,1.482259623,52.374,1161.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,49.0,0.16699999999999998,CWSH,1.0108308967500002,52.374,1161.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,49.0,0.16699999999999998,CWSH,1.5611965260000005,52.374,1161.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,49.0,3.0,CWSH,1.4285386751250004,52.374,1161.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,49.0,0.16699999999999998,CWSH,1.147874131125,52.374,1161.93,9.93,0.22,0.2525323088475,0.042172895577532496
1D7,50.0,2.333,CWSH,2.8230906281250006,52.3605,1185.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,50.0,0.667,CWSH,1.3616615767500002,52.3605,1185.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,50.0,3.5,CWSH,1.8210304983750003,52.3605,1186.0,10.0,0.22,0.4006267096425001,1.4021934837487504
2D1,51.0,4.167,CWSH,1.5622928718750002,52.358000000000004,1215.34,15.34,0.22,0.34370443181250004,1.4322163673626875
2D1,51.0,1.167,CWSH,1.4186715622500001,52.358000000000004,1215.77,15.77,0.22,0.31210774369500005,0.364229736892065
2D1,51.0,3.667,CWSH,1.5557147966250002,52.358000000000004,1215.8,15.8,0.22,0.34225725525750006,1.2550573550292525
2D1,51.0,3.833,CWSH,1.6390370831250003,52.358000000000004,1216.06,16.06,0.22,0.36058815828750007,1.3821344107159879
2D1,51.0,1.167,CWSH,1.482259623,52.358000000000004,1216.35,16.35,0.22,0.32609711706,0.38055533560902005
2D1,51.0,4.0,CWSH,1.463621743125,52.358000000000004,1216.38,16.38,0.22,0.32199678348750005,1.2879871339500002
2D1,51.0,2.833,CWSH,2.1323927268750005,52.358000000000004,1217.16,17.16,0.22,0.46912639991250005,1.329035090952113
2D1,51.0,1.167,CWSH,1.9394358528750004,52.358000000000004,1217.54,17.54,0.22,0.4266758876325001,0.49793076086712756
2D1,51.0,2.667,CWSH,2.0863462001250004,52.358000000000004,1217.57,17.57,0.22,0.4589961640275001,1.2241427694613425
3E7,53.0,2.5,CWSH,1.8495354911250002,52.3905,1260.87,12.87,0.22,0.40689780804750003,1.01724452011875
3E7,53.0,2.667,CWSH,1.7958145432500003,52.3905,1261.35,13.35,0.22,0.3950791995150001,1.053676225106505
3E7,53.0,2.333,CWSH,1.9098345142500002,52.3905,1261.57,13.57,0.22,0.42016359313500007,0.9802416627839553
3E7,53.0,1.5,CWSH,2.7759477555000003,52.3905,1266.33,18.33,0.22,0.6107085062100001,0.916062759315
3E7,53.0,1.8330000000000002,CWSH,2.6882400855000004,52.3905,1266.67,18.67,0.22,0.5914128188100001,1.0840596968787304
3E7,53.0,1.6669999999999998,CWSH,2.86584811725,52.3905,1266.78,18.78,0.22,0.6304865857949999,1.051021138520265
2D5,56.0,0.667,CWSH,0.6600002167500001,52.522,1329.36,9.36,0.22,0.14520004768500003,0.09684843180589502
2D5,56.0,6.5,CWSH,0.9582062947500002,52.522,1329.42,9.42,0.22,0.21080538484500005,1.3702350014925004
2D5,56.0,0.5,CWSH,0.8408972861250001,52.522,1329.65,9.65,0.22,0.18499740294750003,0.09249870147375001
2D5,56.0,6.667000000000001,CWSH,0.9461464901250001,52.522,1329.75,9.75,0.22,0.20815222782750004,1.387750902925943
2D5,56.0,0.667,CWSH,0.7115284728750001,52.522,1329.97,9.97,0.22,0.15653626403250004,0.10440968810967753
2D5,56.0,0.667,CWSH,0.44730911700000003,52.522,1341.87,21.87,0.22,0.09840800574,0.06563813982858001
2D5,56.0,6.332999999999999,CWSH,0.623820802875,52.522,1341.94,21.94,0.22,0.1372405766325,0.8691445718136225
2D5,56.0,0.5,CWSH,0.5361131328750001,52.522,1342.16,22.16,0.22,0.1179448892325,0.05897244461625
2D5,56.0,6.5,CWSH,0.6139536900000001,52.522,1342.26,22.26,0.22,0.13506981180000002,0.8779537767000002
2D5,56.0,0.667,CWSH,0.45498353812500003,52.522,1342.48,22.48,0.22,0.1000963783875,0.0667642843844625
2D5,56.0,7.167000000000001,CWSH,0.7060467435000001,52.522,1342.99,22.99,0.22,0.15533028357000003,1.1132521423461903
2E7,59.0,3.667,CWSH,1.6883726475000003,52.596500000000006,1401.84,9.84,0.22,0.37144198245000004,1.3620777496441498
2E7,59.0,1.167,CWSH,1.5326915332500004,52.596500000000006,1402.1,10.1,0.22,0.3371921373150001,0.3935032242466051
2E7,59.0,3.5,CWSH,1.682890918125,52.596500000000006,1402.13,10.13,0.22,0.37023600198750006,1.2958260069562502
2E7,59.0,3.667,CWSH,1.7037214897500004,52.596500000000006,1402.38,10.38,0.22,0.3748187277450001,1.3744602746409151
2E7,59.0,1.167,CWSH,1.5041865405000001,52.596500000000006,1402.63,10.63,0.22,0.33092103891,0.38618485240797007
2E7,59.0,3.5,CWSH,1.6763128428750003,52.596500000000006,1402.67,10.67,0.22,0.3687888254325001,1.29076088901375
1E6,60.0,3.167,CWSH,4.3799017706250005,52.61750000000001,1433.09,17.09,0.22,0.9635783895375002,3.0516527596652625
1E6,60.0,3.333,CWSH,3.5718948607500005,52.61750000000001,1434.97,18.97,0.22,0.7858168693650001,2.6191276255935456
1E6,60.0,0.5,CWSH,2.061130245,52.61750000000001,1435.12,19.12,0.22,0.4534486539,0.22672432695
1E6,60.0,0.5,CWSH,1.8659806792500002,52.61750000000001,1435.13,19.13,0.22,0.410515749435,0.2052578747175
1D3,61.0,4.833,CWSH,1.47129616425,52.6215,1454.94,14.94,0.22,0.323685156135,1.564370359600455
