Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,3.333,CWSH,2.1071767717500003,53.35,9.37,9.37,0.22,0.46357888978500006,1.5451084396534052
1H7,1.0,4.833,CWSH,1.415382524625,53.35,9.72,9.72,0.22,0.31138415541750003,1.5049196231327777
1H7,1.0,0.33299999999999996,CWSH,41.60632595625001,53.35,9.93,9.93,0.22,9.153391710375,3.048079439554875
1H7,1.0,4.0,CWSH,1.7157812943750002,53.35,10.11,10.11,0.22,0.37747188476250004,1.5098875390500002
1H7,1.0,0.33299999999999996,CWSH,0.93189399375,53.35,10.45,10.45,0.22,0.20501667862500003,0.068270553982125
1H7,1.0,5.5,CWSH,1.2169439212500002,53.35,10.52,10.52,0.22,0.2677276626750001,1.4725021447125004
3D9,6.0,2.114,BATH,5.0804667847500005,53.1125,134.81,14.81,0.7217875152147453,3.667017496695749,7.7520749880148125
3D9,6.0,4.0,CWSH,0.5722925467500001,53.1125,142.78,22.78,0.22,0.12590436028500002,0.5036174411400001
3D9,6.0,4.167,CWSH,0.185282452875,53.1125,142.86,22.86,0.22,0.0407621396325,0.1698558358486275
3D9,6.0,1.5,CWSH,0.31794030375000004,53.1125,142.96,22.96,0.22,0.06994686682500001,0.1049203002375
3D9,6.0,0.667,CWSH,0.7148175105000001,53.1125,143.01,23.01,0.22,0.15725985231000003,0.10489232149077003
3D9,6.0,2.833,CWSH,0.28614627337500004,53.1125,143.03,23.03,0.22,0.06295218014250001,0.17834352634370254
3D9,6.0,2.0,CWSH,0.5383058246250001,53.1125,143.07999999999998,23.08,0.22,0.11842728141750002,0.23685456283500003
3D9,6.0,2.833,CWSH,0.768538458375,53.1125,143.14,23.14,0.22,0.16907846084250003,0.4789992795668026
3D9,6.0,2.667,CWSH,0.8485717072500001,53.1125,143.2,23.2,0.22,0.18668577559500005,0.49789096351186507
3D9,6.0,4.0,CWSH,0.7959471052500001,53.1125,143.31,23.31,0.22,0.17510836315500003,0.7004334526200001
3D9,6.0,0.667,CWSH,0.5098008318750001,53.1125,143.5,23.5,0.22,0.11215618301250002,0.07480817406933751
1D2,8.0,4.0,CWSH,1.1292362512500003,53.006,176.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,8.0,3.0,CWSH,1.482259623,53.006,177.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,8.0,0.16699999999999998,CWSH,1.0108308967500002,53.006,177.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,8.0,0.16699999999999998,CWSH,1.5611965260000005,53.006,177.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,8.0,3.0,CWSH,1.4285386751250004,53.006,177.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,8.0,0.16699999999999998,CWSH,1.147874131125,53.006,177.93,9.93,0.22,0.2525323088475,0.042172895577532496
1D5,9.0,3.333,CWSH,1.9767116126250004,52.9875,199.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,9.0,0.33299999999999996,CWSH,1.0174089720000001,52.9875,199.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,9.0,3.0,CWSH,2.3132897962500003,52.9875,199.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,9.0,3.0,CWSH,2.2760140365000003,52.9875,202.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,9.0,0.5,CWSH,1.08099703275,52.9875,202.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,9.0,3.0,CWSH,2.1663794490000003,52.9875,202.71,10.71,0.22,0.47660347878000003,1.4298104363400002
2E7,11.0,3.667,CWSH,1.6883726475000003,52.919,249.84,9.84,0.22,0.37144198245000004,1.3620777496441498
2E7,11.0,1.167,CWSH,1.5326915332500004,52.919,250.1,10.1,0.22,0.3371921373150001,0.3935032242466051
2E7,11.0,3.5,CWSH,1.682890918125,52.919,250.13,10.13,0.22,0.37023600198750006,1.2958260069562502
2E7,11.0,3.667,CWSH,1.7037214897500004,52.919,250.38,10.38,0.22,0.3748187277450001,1.3744602746409151
2E7,11.0,1.167,CWSH,1.5041865405000001,52.919,250.63,10.63,0.22,0.33092103891,0.38618485240797007
2E7,11.0,3.5,CWSH,1.6763128428750003,52.919,250.67,10.67,0.22,0.3687888254325001,1.29076088901375
1D7,14.0,2.333,CWSH,2.8230906281250006,52.685500000000005,321.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,14.0,0.667,CWSH,1.3616615767500002,52.685500000000005,321.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,14.0,3.5,CWSH,1.8210304983750003,52.685500000000005,322.0,10.0,0.22,0.4006267096425001,1.4021934837487504
1D3,16.0,4.833,CWSH,1.47129616425,52.546499999999995,374.94,14.94,0.22,0.323685156135,1.564370359600455
1D3,16.0,3.5,CWSH,1.5491367213750002,52.546499999999995,375.55,15.55,0.22,0.3408100787025001,1.1928352754587503
1D3,16.0,0.5,CWSH,1.3485054262500002,52.546499999999995,375.71,15.71,0.22,0.29667119377500006,0.14833559688750003
1D3,16.0,0.5,CWSH,1.3189040876250002,52.546499999999995,375.72,15.72,0.22,0.29015889927750005,0.14507944963875002
4E6,17.0,5.667000000000001,CWSH,1.1917279661250002,52.5035,394.11,10.11,0.22,0.26218015254750004,1.4857749244866827
4E6,17.0,0.33299999999999996,CWSH,0.44730911700000003,52.5035,394.4,10.4,0.22,0.09840800574,0.03276986591142
4E6,17.0,10.333,CWSH,0.6424586827500001,52.5035,394.41,10.41,0.22,0.14134091020500003,1.4604756251482653
4E6,17.0,0.33299999999999996,CWSH,0.47471776387500003,52.5035,394.68,10.68,0.22,0.10443790805250001,0.0347778233814825
4E6,17.0,0.5,CWSH,0.34754164237500007,52.5035,394.69,10.69,0.22,0.07645916132250001,0.038229580661250005
4E6,17.0,5.667000000000001,CWSH,1.1884389285000003,52.5035,396.81,12.81,0.22,0.2614565642700001,1.4816743497180906
4E6,17.0,0.33299999999999996,CWSH,0.44511642525000006,52.5035,397.08,13.08,0.22,0.09792561355500003,0.032609229313815005
4E6,17.0,10.333,CWSH,0.6446513745000001,52.5035,397.09,13.09,0.22,0.14182330239000002,1.46546018359587
4E6,17.0,0.33299999999999996,CWSH,0.46375430512500004,52.5035,397.36,13.36,0.22,0.10202594712750002,0.0339746403934575
4E6,17.0,0.667,CWSH,0.251063205375,52.5035,397.37,13.37,0.22,0.0552339051825,0.0368410147567275
3E1,18.0,1.0,CWSH,1.2629904480000003,52.4885,422.38,14.38,0.22,0.2778578985600001,0.2778578985600001
3E1,18.0,1.3330000000000002,CWSH,1.8747514462500001,52.4885,422.43,14.43,0.22,0.412445318175,0.549789609127275
3E1,18.0,0.667,CWSH,1.54146230025,52.4885,422.45,14.45,0.22,0.339121706055,0.22619417793868501
3E1,18.0,1.0,CWSH,1.3813958025000002,52.4885,422.79,14.79,0.22,0.30390707655000004,0.30390707655000004
3E1,18.0,1.0,CWSH,1.7541534000000003,52.4885,422.94,14.94,0.22,0.3859137480000001,0.3859137480000001
3E1,18.0,1.167,CWSH,1.4866450065,52.4885,423.1,15.1,0.22,0.32706190143,0.38168123896881
3E1,18.0,0.5,CWSH,2.06770832025,52.4885,423.13,15.13,0.22,0.454895830455,0.2274479152275
3E1,18.0,1.3330000000000002,CWSH,1.2366781470000001,52.4885,423.16,15.16,0.22,0.27206919234,0.36266823338922
3E1,18.0,0.833,CWSH,1.8298012653750002,52.4885,423.23,15.23,0.22,0.4025562783825001,0.3353293798926225
3E1,18.0,0.833,CWSH,3.7977421110000003,52.4885,423.68,15.68,0.22,0.8355032644200001,0.69597421926186
3E1,18.0,1.167,CWSH,2.0008312218750004,52.4885,423.87,15.87,0.22,0.4401828688125,0.5136934079041875
3E1,18.0,1.0,CWSH,2.206944246375,52.4885,423.96,15.96,0.22,0.48552773420250006,0.48552773420250006
3E1,18.0,1.3330000000000002,CWSH,2.4174426543750003,52.4885,424.09,16.09,0.22,0.5318373839625001,0.7089392328220127
3E1,18.0,1.167,CWSH,2.5194028207500003,52.4885,424.21,16.21,0.22,0.554268620565,0.6468314801993551
3E1,18.0,1.0,CWSH,2.4448513012500004,52.4885,424.6,16.6,0.22,0.537867286275,0.537867286275
3E1,18.0,0.833,CWSH,1.5557147966250002,52.4885,424.62,16.62,0.22,0.34225725525750006,0.2851002936294975
3E1,18.0,1.167,CWSH,1.6916616851250004,52.4885,424.8,16.8,0.22,0.3721655707275001,0.4343172210389926
3E1,18.0,1.0,CWSH,1.8835222132500005,52.4885,424.89,16.89,0.22,0.4143748869150001,0.4143748869150001
3E1,18.0,1.3330000000000002,CWSH,1.7530570541250001,52.4885,425.0,17.0,0.22,0.38567255190750005,0.5141015116926976
3E1,18.0,1.0,CWSH,2.2058479005000002,52.4885,425.12,17.12,0.22,0.48528653811000005,0.48528653811000005
3E1,18.0,0.833,CWSH,2.0720937037500002,52.4885,425.28,17.28,0.22,0.45586061482500007,0.37973189214922504
3E1,18.0,0.833,CWSH,3.7878749981250004,52.4885,425.46,17.46,0.22,0.8333324995875001,0.6941659721563875
3E1,18.0,2.167,CWSH,1.4691034725000003,52.4885,425.65,17.65,0.22,0.32320276395,0.70038038947965
3E1,18.0,1.0,CWSH,1.9942531466250002,52.4885,425.75,17.75,0.22,0.43873569225750003,0.43873569225750003
3E1,18.0,1.167,CWSH,2.2146186675000004,52.4885,425.85,17.85,0.22,0.48721610685000005,0.5685811966939501
3E1,18.0,1.167,CWSH,2.529269933625,52.4885,425.96,17.96,0.22,0.5564393853975,0.6493647627588827
2H4,19.0,3.0,CWSH,1.9986385301250005,52.480000000000004,442.13,10.13,0.22,0.43970047662750006,1.3191014298825003
2H4,19.0,1.5,CWSH,1.4625253972500003,52.480000000000004,442.32,10.32,0.22,0.32175558739500004,0.48263338109250015
2H4,19.0,3.333,CWSH,1.5765453682500004,52.480000000000004,442.4,10.4,0.22,0.3468399810150001,1.1560176567229954
2H4,19.0,0.33299999999999996,CWSH,1.2684721773750003,52.480000000000004,442.5,10.5,0.22,0.2790638790225,0.0929282717144925
2D1,22.0,4.167,CWSH,1.5622928718750002,52.52900000000001,519.34,15.34,0.22,0.34370443181250004,1.4322163673626875
2D1,22.0,1.167,CWSH,1.4186715622500001,52.52900000000001,519.77,15.77,0.22,0.31210774369500005,0.364229736892065
2D1,22.0,3.667,CWSH,1.5557147966250002,52.52900000000001,519.8,15.8,0.22,0.34225725525750006,1.2550573550292525
2D1,22.0,3.833,CWSH,1.6390370831250003,52.52900000000001,520.06,16.06,0.22,0.36058815828750007,1.3821344107159879
2D1,22.0,1.167,CWSH,1.482259623,52.52900000000001,520.35,16.35,0.22,0.32609711706,0.38055533560902005
2D1,22.0,4.0,CWSH,1.463621743125,52.52900000000001,520.38,16.38,0.22,0.32199678348750005,1.2879871339500002
2D1,22.0,2.833,CWSH,2.1323927268750005,52.52900000000001,521.16,17.16,0.22,0.46912639991250005,1.329035090952113
2D1,22.0,1.167,CWSH,1.9394358528750004,52.52900000000001,521.54,17.54,0.22,0.4266758876325001,0.49793076086712756
2D1,22.0,2.667,CWSH,2.0863462001250004,52.52900000000001,521.57,17.57,0.22,0.4589961640275001,1.2241427694613425
1D5,23.0,3.333,CWSH,1.9767116126250004,52.457499999999996,535.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,23.0,0.33299999999999996,CWSH,1.0174089720000001,52.457499999999996,535.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,23.0,3.0,CWSH,2.3132897962500003,52.457499999999996,535.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,23.0,3.0,CWSH,2.2760140365000003,52.457499999999996,538.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,23.0,0.5,CWSH,1.08099703275,52.457499999999996,538.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,23.0,3.0,CWSH,2.1663794490000003,52.457499999999996,538.71,10.71,0.22,0.47660347878000003,1.4298104363400002
1E3,24.0,5.0,CWSH,1.7530570541250001,52.36149999999999,561.21,9.21,0.22,0.38567255190750005,1.9283627595375001
1E3,24.0,1.5,CWSH,1.4998011570000003,52.36149999999999,561.35,9.35,0.22,0.32995625454000005,0.49493438181000005
1E3,24.0,1.8330000000000002,CWSH,1.5579074883750001,52.36149999999999,561.45,9.45,0.22,0.3427396474425001,0.6282417737621027
3D5,26.0,1.4240000000000002,BATH,5.472958608000001,52.361999999999995,607.08,7.08,0.7246620226327818,3.9660452546587743,5.647648442634096
2D4,29.0,4.333,CWSH,1.657674963,52.269999999999996,685.38,13.38,0.22,0.36468849185999996,1.58019523522938
2D4,29.0,4.333,CWSH,1.4033227200000002,52.269999999999996,685.69,13.69,0.22,0.30873099840000007,1.3377314160672003
2D4,29.0,0.16699999999999998,CWSH,1.6478078501250004,52.269999999999996,685.86,13.86,0.22,0.36251772702750007,0.0605404604135925
2D4,29.0,0.833,CWSH,0.394684515,52.269999999999996,685.87,13.87,0.22,0.08683059330000001,0.0723298842189
2E9,31.0,5.0,CWSH,1.3024588995000002,52.210499999999996,730.36,10.36,0.22,0.28654095789,1.4327047894500002
2E9,31.0,0.5,CWSH,1.23448545525,52.210499999999996,730.45,10.45,0.22,0.271586800155,0.1357934000775
2E9,31.0,5.167000000000001,CWSH,1.30465159125,52.210499999999996,730.7,10.7,0.22,0.287023350075,1.4830496498375252
2E9,31.0,2.943,BATH,3.6420609967500006,52.210499999999996,741.12,21.12,0.7252350957212236,2.6413504556005214,7.773494390832335
4E2,32.0,7.167000000000001,CWSH,0.94066476075,52.174,754.93,10.93,0.22,0.20694624736500003,1.4831837548649556
4E2,32.0,8.167,CWSH,0.8080069098750001,52.174,755.43,11.43,0.22,0.17776152017250002,1.4517783352488076
4E2,32.0,0.5,CWSH,0.5383058246250001,52.174,755.66,11.66,0.22,0.11842728141750002,0.05921364070875001
4E2,32.0,0.33299999999999996,CWSH,0.798139797,52.174,755.67,11.67,0.22,0.17559075534000002,0.05847172152821999
4E2,32.0,6.832999999999999,CWSH,0.9976747462500002,52.174,755.83,11.83,0.22,0.21948844417500005,1.4997645390477752
4E2,32.0,6.667000000000001,CWSH,0.9790368663750001,52.174,756.24,12.24,0.22,0.21538811060250002,1.435992533386868
4E2,32.0,1.3330000000000002,CWSH,0.394684515,52.174,756.44,12.44,0.22,0.08683059330000001,0.11574518086890002
4E2,32.0,6.667000000000001,CWSH,1.0119272426250001,52.174,757.08,13.08,0.22,0.22262399337750002,1.4842341638477927
4E2,32.0,6.332999999999999,CWSH,1.0086382050000002,52.174,757.54,13.54,0.22,0.22190040510000003,1.4052952654983
4E2,32.0,0.5,CWSH,0.55475101275,52.174,757.74,13.74,0.22,0.12204522280500002,0.06102261140250001
4E2,32.0,0.5,CWSH,0.913256113875,52.174,757.75,13.75,0.22,0.20091634505250003,0.10045817252625001
4E2,32.0,6.832999999999999,CWSH,0.9954820545,52.174,759.26,15.26,0.22,0.21900605199000003,1.4964683532476701
4E2,32.0,6.5,CWSH,0.9954820545,52.174,759.72,15.72,0.22,0.21900605199000003,1.4235393379350003
4E2,32.0,0.5,CWSH,0.595315810125,52.174,759.93,15.93,0.22,0.1309694782275,0.06548473911375
4E2,32.0,0.33299999999999996,CWSH,0.8924255422500001,52.174,759.94,15.94,0.22,0.19633361929500004,0.06537909522523501
1D3,36.0,4.833,CWSH,1.47129616425,52.4705,854.94,14.94,0.22,0.323685156135,1.564370359600455
1D3,36.0,3.5,CWSH,1.5491367213750002,52.4705,855.55,15.55,0.22,0.3408100787025001,1.1928352754587503
1D3,36.0,0.5,CWSH,1.3485054262500002,52.4705,855.71,15.71,0.22,0.29667119377500006,0.14833559688750003
1D3,36.0,0.5,CWSH,1.3189040876250002,52.4705,855.72,15.72,0.22,0.29015889927750005,0.14507944963875002
1D7,37.0,2.333,CWSH,2.8230906281250006,52.545500000000004,873.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,37.0,0.667,CWSH,1.3616615767500002,52.545500000000004,873.93,9.93,0.22,0.29956554688500003,0.19981021977229504
1D7,37.0,3.5,CWSH,1.8210304983750003,52.545500000000004,874.0,10.0,0.22,0.4006267096425001,1.4021934837487504
2E8,39.0,3.333,CWSH,2.0128910265,52.510000000000005,922.88,10.88,0.22,0.44283602583,1.47597247409139
2E8,39.0,3.333,CWSH,1.9854823796250003,52.510000000000005,923.23,11.23,0.22,0.43680612351750003,1.4558748096838279
2E8,39.0,0.33299999999999996,CWSH,1.613821128,52.510000000000005,923.38,11.38,0.22,0.3550406481600001,0.11822853583728002
1D2,40.0,4.0,CWSH,1.1292362512500003,52.382000000000005,944.9,8.9,0.22,0.24843197527500002,0.9937279011000001
1D2,40.0,3.0,CWSH,1.482259623,52.382000000000005,945.64,9.64,0.22,0.32609711706,0.9782913511800001
1D2,40.0,0.16699999999999998,CWSH,1.0108308967500002,52.382000000000005,945.7,9.7,0.22,0.22238279728500004,0.037137927146595
1D2,40.0,0.16699999999999998,CWSH,1.5611965260000005,52.382000000000005,945.72,9.72,0.22,0.3434632357200001,0.05735836036524001
1D2,40.0,3.0,CWSH,1.4285386751250004,52.382000000000005,945.88,9.88,0.22,0.31427850852750006,0.9428355255825002
1D2,40.0,0.16699999999999998,CWSH,1.147874131125,52.382000000000005,945.93,9.93,0.22,0.2525323088475,0.042172895577532496
1D5,41.0,3.333,CWSH,1.9767116126250004,52.292,967.15,7.15,0.22,0.4348765547775001,1.4494435570734077
1D5,41.0,0.33299999999999996,CWSH,1.0174089720000001,52.292,967.58,7.58,0.22,0.22382997384,0.07453538128871999
1D5,41.0,3.0,CWSH,2.3132897962500003,52.292,967.65,7.65,0.22,0.5089237551750001,1.5267712655250003
1D5,41.0,3.0,CWSH,2.2760140365000003,52.292,970.21,10.21,0.22,0.5007230880300001,1.5021692640900002
1D5,41.0,0.5,CWSH,1.08099703275,52.292,970.64,10.64,0.22,0.23781934720500003,0.11890967360250002
1D5,41.0,3.0,CWSH,2.1663794490000003,52.292,970.71,10.71,0.22,0.47660347878000003,1.4298104363400002
2D8,44.0,3.833,CWSH,1.1730900862500002,52.2115,1044.66,12.66,0.22,0.25807981897500004,0.9892199461311753
2D8,44.0,0.33299999999999996,CWSH,0.19405321987500002,52.2115,1045.02,13.02,0.22,0.0426917083725,0.0142163388880425
2D8,44.0,0.667,CWSH,0.106345549875,52.2115,1045.03,13.03,0.22,0.0233960209725,0.015605145988657502
2D8,44.0,4.833,CWSH,0.9516282195000001,52.2115,1045.08,13.08,0.22,0.20935820829000001,1.01182822066557
2D8,44.0,0.33299999999999996,CWSH,0.167740918875,52.2115,1045.26,13.26,0.22,0.03690300215250001,0.012288699716782502
2D8,44.0,0.16699999999999998,CWSH,0.5470765916250001,52.2115,1045.27,13.27,0.22,0.12035685015750001,0.0200995939763025
2D8,44.0,0.16699999999999998,CWSH,0.035083068,52.2115,1045.27,13.27,0.22,0.007718274960000001,0.00128895191832
2D8,44.0,4.833,CWSH,0.928604956125,52.2115,1045.36,13.36,0.22,0.20429309034750004,0.9873485056494677
1E6,45.0,3.167,CWSH,4.3799017706250005,52.279,1073.09,17.09,0.22,0.9635783895375002,3.0516527596652625
1E6,45.0,3.333,CWSH,3.5718948607500005,52.279,1074.97,18.97,0.22,0.7858168693650001,2.6191276255935456
1E6,45.0,0.5,CWSH,2.061130245,52.279,1075.12,19.12,0.22,0.4534486539,0.22672432695
1E6,45.0,0.5,CWSH,1.8659806792500002,52.279,1075.13,19.13,0.22,0.410515749435,0.2052578747175
3E2,46.0,2.358,BATH,6.004686357375001,52.3605,1097.64,17.64,0.7246677083405034,4.351402301902428,10.260606627885924
1D7,48.0,2.333,CWSH,2.8230906281250006,52.394000000000005,1137.63,9.63,0.22,0.6210799381875001,1.4489794957914377
1D7,48.0,0.667,CWSH,1.3616615767500002,52.394000000000005,1137.93,9.93,0.22,0.29956554688500003,0.19981021977229504
