Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,0.16699999999999998,FAUC,0.5679071632500001,53.35,6.92,6.92,0.5,0.28395358162500006,0.047420248131375006
1H7,1.0,0.833,FAUC,1.6675420758750001,53.35,7.27,7.27,0.5,0.8337710379375001,0.6945312746019375
1H7,1.0,0.16699999999999998,FAUC,0.3793356727500001,53.35,7.91,7.91,0.5,0.18966783637500004,0.031674528674625
1H7,1.0,2.667,FAUC,1.7289374448750001,53.35,7.92,7.92,0.5,0.8644687224375001,2.3055380827408123
1H7,1.0,0.16699999999999998,FAUC,1.0108308967500002,53.35,7.98,7.98,0.5,0.5054154483750001,0.08440437987862501
1H7,1.0,0.16699999999999998,FAUC,1.0108308967500002,53.35,7.98,7.98,0.5,0.5054154483750001,0.08440437987862501
1H7,1.0,0.16699999999999998,FAUC,0.6950832847500001,53.35,8.0,8.0,0.5,0.34754164237500007,0.058039454276625
1H7,1.0,0.16699999999999998,FAUC,1.0733226116250003,53.35,8.02,8.02,0.5,0.5366613058125002,0.08962243807068751
1H7,1.0,0.16699999999999998,FAUC,0.5679071632500001,53.35,8.02,8.02,0.5,0.28395358162500006,0.047420248131375006
1H7,1.0,0.33299999999999996,FAUC,0.8211630603750002,53.35,8.07,8.07,0.5,0.4105815301875001,0.13672364955243752
1H7,1.0,0.33299999999999996,FAUC,0.88365477525,53.35,8.08,8.08,0.5,0.441827387625,0.147128520079125
1H7,1.0,0.16699999999999998,FAUC,0.6950832847500001,53.35,8.27,8.27,0.5,0.34754164237500007,0.058039454276625
1H7,1.0,2.0,FAUC,0.5054154483750001,53.35,8.79,8.79,0.5,0.25270772418750004,0.5054154483750001
1H7,1.0,0.833,FAUC,0.6446513745000001,53.35,8.83,8.83,0.5,0.32232568725000005,0.26849729747925
1H7,1.0,0.33299999999999996,FAUC,0.53720947875,53.35,8.87,8.87,0.5,0.268604739375,0.089445378211875
1H7,1.0,0.33299999999999996,FAUC,0.78936903,53.35,9.76,9.76,0.5,0.394684515,0.131429943495
1H7,1.0,0.33299999999999996,FAUC,1.8001999267500002,53.35,9.94,9.94,0.5,0.9000999633750001,0.299733287803875
1H7,1.0,0.33299999999999996,FAUC,0.7257809692500001,53.35,9.97,9.97,0.5,0.36289048462500006,0.120842531380125
1H7,1.0,0.16699999999999998,FAUC,1.0733226116250003,53.35,9.98,9.98,0.5,0.5366613058125002,0.08962243807068751
1H7,1.0,0.33299999999999996,FAUC,0.8211630603750002,53.35,10.21,10.21,0.5,0.4105815301875001,0.13672364955243752
1H7,1.0,0.16699999999999998,FAUC,0.3793356727500001,53.35,11.18,11.18,0.5,0.18966783637500004,0.031674528674625
1H7,1.0,0.16699999999999998,FAUC,0.7575749996250001,53.35,14.06,14.06,0.5,0.37878749981250004,0.0632575124686875
1H7,1.0,1.6669999999999998,FAUC,1.7936218515000002,53.35,14.08,14.08,0.5,0.8968109257500001,1.49498381322525
1H7,1.0,1.0,FAUC,0.9889039792500002,53.35,14.26,14.26,0.5,0.4944519896250001,0.4944519896250001
1H7,1.0,1.167,FAUC,1.7771766633750001,53.35,15.07,15.07,0.5,0.8885883316875001,1.0369825830793127
1H7,1.0,1.0,FAUC,1.4844523147500004,53.35,15.27,15.27,0.5,0.7422261573750002,0.7422261573750002
1H7,1.0,0.33299999999999996,FAUC,1.8001999267500002,53.35,15.31,15.31,0.5,0.9000999633750001,0.299733287803875
1H7,1.0,0.5,FAUC,1.0733226116250003,53.35,15.34,15.34,0.5,0.5366613058125002,0.2683306529062501
1H7,1.0,0.16699999999999998,FAUC,0.5054154483750001,53.35,15.35,15.35,0.5,0.25270772418750004,0.042202189939312504
1H7,1.0,0.33299999999999996,FAUC,0.6314952240000001,53.35,15.56,15.56,0.5,0.31574761200000007,0.10514395479600001
1H7,1.0,0.16699999999999998,FAUC,0.5679071632500001,53.35,15.63,15.63,0.5,0.28395358162500006,0.047420248131375006
1H7,1.0,0.33299999999999996,FAUC,0.88365477525,53.35,15.64,15.64,0.5,0.441827387625,0.147128520079125
1H7,1.0,0.5,FAUC,0.25215955125000006,53.35,15.8,15.8,0.5,0.12607977562500003,0.06303988781250001
1H7,1.0,0.33299999999999996,FAUC,0.53720947875,53.35,16.24,16.24,0.5,0.268604739375,0.089445378211875
1H7,1.0,0.16699999999999998,FAUC,1.3890702236250003,53.35,17.13,17.13,0.5,0.6945351118125002,0.11598736367268751
1H7,1.0,0.33299999999999996,FAUC,0.78936903,53.35,17.28,17.28,0.5,0.394684515,0.131429943495
1H7,1.0,0.16699999999999998,FAUC,0.5679071632500001,53.35,17.62,17.62,0.5,0.28395358162500006,0.047420248131375006
1H7,1.0,0.16699999999999998,FAUC,1.0733226116250003,53.35,17.63,17.63,0.5,0.5366613058125002,0.08962243807068751
1H7,1.0,4.833,FAUC,0.7531896161250001,53.35,21.67,21.67,0.5,0.37659480806250006,1.820082707366063
1H7,1.0,0.16699999999999998,FAUC,0.5054154483750001,53.35,21.78,21.78,0.5,0.25270772418750004,0.042202189939312504
1H7,1.0,0.667,FAUC,0.8365119026250001,53.35,21.79,21.79,0.5,0.41825595131250004,0.27897671952543757
1H7,1.0,0.33299999999999996,FAUC,0.5679071632500001,53.35,21.82,21.82,0.5,0.28395358162500006,0.094556542681125
1H7,1.0,0.16699999999999998,FAUC,0.5054154483750001,53.35,21.86,21.86,0.5,0.25270772418750004,0.042202189939312504
1D4,2.0,1.239,FAUC,1.57873806,53.3915,29.87,5.87,0.5,0.78936903,0.9780282281700002
1D4,2.0,0.31,FAUC,0.18966783637500004,53.3915,30.17,6.17,0.5,0.09483391818750002,0.029398514638125005
1D4,2.0,0.155,FAUC,0.3793356727500001,53.3915,30.18,6.18,0.5,0.18966783637500004,0.029398514638125005
1D4,2.0,3.0980000000000003,SHWR,1.8023926185000003,53.3915,30.94,6.94,0.7207035477631846,1.2989907546151265,4.024273357797662
1D4,2.0,0.31,FAUC,1.2947844783750002,53.3915,31.16,7.16,0.5,0.6473922391875001,0.200691594148125
1D4,2.0,0.62,FAUC,1.4998011570000003,53.3915,31.19,7.19,0.5,0.7499005785000001,0.46493835867000005
1D4,2.0,0.155,FAUC,0.441827387625,53.3915,31.28,7.28,0.5,0.2209136938125,0.0342416225409375
1D4,2.0,3.717,FAUC,1.2103658460000002,53.3915,31.61,7.61,0.5,0.6051829230000001,2.2494649247910004
1D4,2.0,0.465,FAUC,1.1577412440000001,53.3915,32.38,8.38,0.5,0.5788706220000001,0.2691748392300001
1D4,2.0,0.929,FAUC,1.8418610700000002,53.3915,32.4,8.4,0.5,0.9209305350000001,0.8555444670150002
1D4,2.0,0.155,FAUC,0.3793356727500001,53.3915,32.519999999999996,8.52,0.5,0.18966783637500004,0.029398514638125005
1D4,2.0,0.155,FAUC,1.2629904480000003,53.3915,32.59,8.59,0.5,0.6314952240000001,0.09788175972000003
1D4,2.0,0.465,FAUC,0.6950832847500001,53.3915,41.56,17.56,0.5,0.34754164237500007,0.16160686370437502
1D4,2.0,0.465,FAUC,1.8736551003750004,53.3915,42.08,18.08,0.5,0.9368275501875002,0.4356248108371876
1E2,3.0,0.131,FAUC,0.6314952240000001,53.338499999999996,53.68,5.68,0.5,0.31574761200000007,0.04136293717200001
1E2,3.0,0.262,FAUC,1.0733226116250003,53.338499999999996,53.7,5.7,0.5,0.5366613058125002,0.14060526212287505
1E2,3.0,0.39299999999999996,FAUC,0.88365477525,53.338499999999996,61.2,13.2,0.5,0.441827387625,0.173638163336625
1E2,3.0,1.31,FAUC,1.42744232925,53.338499999999996,62.94,14.94,0.5,0.713721164625,0.9349747256587501
1E2,3.0,0.655,FAUC,3.1958482256250003,53.338499999999996,63.21,15.21,0.5,1.5979241128125001,1.0466402938921877
1E2,3.0,0.131,FAUC,0.8211630603750002,53.338499999999996,63.33,15.33,0.5,0.4105815301875001,0.053786180454562516
1E2,3.0,1.4409999999999998,FAUC,1.4175752163750004,53.338499999999996,64.6,16.6,0.5,0.7087876081875002,1.0213629433981877
1E2,3.0,0.131,FAUC,0.9472428360000003,53.338499999999996,64.75,16.75,0.5,0.4736214180000001,0.06204440575800002
1E2,3.0,0.39299999999999996,FAUC,1.5151499992500002,53.338499999999996,64.75,16.75,0.5,0.7575749996250001,0.29772697485262495
1E2,3.0,0.917,FAUC,1.1994023872500001,53.338499999999996,66.36,18.36,0.5,0.5997011936250001,0.549925994554125
1E2,3.0,0.262,FAUC,1.0108308967500002,53.338499999999996,66.42,18.42,0.5,0.5054154483750001,0.13241884747425003
1E2,3.0,0.39299999999999996,FAUC,1.4099007952500002,53.338499999999996,66.69,18.69,0.5,0.7049503976250001,0.27704550626662505
1E2,3.0,0.39299999999999996,FAUC,2.7573098756250003,53.338499999999996,66.75,18.75,0.5,1.3786549378125001,0.5418113905603125
1E4,4.0,0.155,FAUC,0.31574761200000007,53.239999999999995,79.53,7.53,0.5,0.15787380600000003,0.024470439930000008
1E4,4.0,0.774,FAUC,1.3638542685000001,53.239999999999995,79.96,7.96,0.5,0.6819271342500001,0.5278116019095
1E4,4.0,0.155,FAUC,1.0733226116250003,53.239999999999995,79.98,7.98,0.5,0.5366613058125002,0.08318250240093752
1E4,4.0,0.155,FAUC,0.6314952240000001,53.239999999999995,81.24,9.24,0.5,0.31574761200000007,0.048940879860000015
1E4,4.0,0.155,FAUC,1.0733226116250003,53.239999999999995,81.47,9.47,0.5,0.5366613058125002,0.08318250240093752
