Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H1,1.0,4.0,CWSH,1.5173426910000003,53.35,6.78,6.78,0.22,0.33381539202000005,1.3352615680800002
2H1,1.0,0.5,CWSH,0.702757705875,53.35,7.0,7.0,0.22,0.15460669529249998,0.07730334764624999
2H1,1.0,0.33299999999999996,CWSH,1.1467777852500003,53.35,7.01,7.01,0.22,0.25229111275500005,0.08401294054741501
2H1,1.0,4.167,CWSH,1.526113458,53.35,7.06,7.06,0.22,0.33574496076,1.39904925148692
2H1,1.0,0.33299999999999996,CWSH,0.9527245653750003,53.35,7.23,7.23,0.22,0.20959940438250005,0.06979660165937251
2H1,1.0,0.33299999999999996,CWSH,1.1566448981250002,53.35,7.24,7.24,0.22,0.25446187758750005,0.0847358052366375
2H1,1.0,1.6669999999999998,CWSH,2.5468114676250004,53.35,7.44,7.44,0.22,0.5602985228775,0.9340176376367925
2H1,1.0,0.5,CWSH,0.78936903,53.35,7.67,7.67,0.22,0.17366118660000002,0.08683059330000001
2H1,1.0,0.33299999999999996,CWSH,1.2947844783750002,53.35,7.68,7.68,0.22,0.2848525852425,0.09485591088575249
2H1,1.0,2.667,CWSH,1.5173426910000003,53.35,7.73,7.73,0.22,0.33381539202000005,0.8902856505173401
2H1,1.0,0.5,CWSH,0.768538458375,53.35,7.87,7.87,0.22,0.16907846084250003,0.08453923042125001
2H1,1.0,0.5,CWSH,0.8968109257500001,53.35,7.89,7.89,0.22,0.197298403665,0.0986492018325
2H1,1.0,2.667,CWSH,1.2893027490000002,53.35,8.08,8.08,0.22,0.28364660478000003,0.7564854949482601
2H1,1.0,0.5,CWSH,0.9636880241250001,53.35,8.48,8.48,0.22,0.21201136530750003,0.10600568265375002
2H1,1.0,2.62,BATH,4.410599455125,53.35,16.87,16.87,0.7208653175157013,3.1794481766532625,8.330154222831547
3E2,3.0,2.358,BATH,6.004686357375001,53.338499999999996,65.64,17.64,0.7209101121243625,4.328839115166842,10.207402633563413
4E1,4.0,5.421,BATH,4.9467125880000005,53.239999999999995,91.53999999999999,19.54,0.7212931995540691,3.5680301498729095,19.342291442461043
4E1,4.0,6.167000000000001,CWSH,1.136910672375,53.239999999999995,94.35,22.35,0.22,0.2501203479225,1.5424921856380578
