Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H1,1.0,0.131,FAUC,0.3793356727500001,53.35,2.78,2.78,0.5,0.18966783637500004,0.024846486565125007
2H1,1.0,0.131,FAUC,0.3793356727500001,53.35,4.87,4.87,0.5,0.18966783637500004,0.024846486565125007
2H1,1.0,14.673,SHWR,2.1926917500000003,53.35,5.57,5.57,0.7208653175157013,1.5806354345778089,23.192663731560188
2H1,1.0,0.131,FAUC,0.6314952240000001,53.35,5.92,5.92,0.5,0.31574761200000007,0.04136293717200001
2H1,1.0,0.131,FAUC,0.3793356727500001,53.35,5.97,5.97,0.5,0.18966783637500004,0.024846486565125007
2H1,1.0,0.131,FAUC,0.3793356727500001,53.35,5.99,5.99,0.5,0.18966783637500004,0.024846486565125007
2H1,1.0,0.131,FAUC,0.5054154483750001,53.35,6.01,6.01,0.5,0.25270772418750004,0.03310471186856251
2H1,1.0,0.262,FAUC,1.136910672375,53.35,6.04,6.04,0.5,0.5684553361875,0.14893529808112502
2H1,1.0,0.131,FAUC,0.6950832847500001,53.35,6.09,6.09,0.5,0.34754164237500007,0.04552795515112501
2H1,1.0,0.917,FAUC,1.154452206375,53.35,6.11,6.11,0.5,0.5772261031875,0.5293163366229375
2H1,1.0,0.131,FAUC,0.5054154483750001,53.35,6.14,6.14,0.5,0.25270772418750004,0.03310471186856251
2H1,1.0,0.524,FAUC,1.4362130962500002,53.35,6.18,6.18,0.5,0.7181065481250001,0.3762878312175001
2H1,1.0,0.262,FAUC,1.136910672375,53.35,6.19,6.19,0.5,0.5684553361875,0.14893529808112502
2H1,1.0,0.131,FAUC,0.9472428360000003,53.35,6.21,6.21,0.5,0.4736214180000001,0.06204440575800002
2H1,1.0,0.131,FAUC,0.6950832847500001,53.35,6.25,6.25,0.5,0.34754164237500007,0.04552795515112501
2H1,1.0,0.131,FAUC,0.3793356727500001,53.35,6.27,6.27,0.5,0.18966783637500004,0.024846486565125007
2H1,1.0,0.131,FAUC,0.6314952240000001,53.35,6.28,6.28,0.5,0.31574761200000007,0.04136293717200001
2H1,1.0,0.131,FAUC,0.5054154483750001,53.35,6.3,6.3,0.5,0.25270772418750004,0.03310471186856251
