Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,0.16699999999999998,FAUC,0.589724352,53.35,6.92,6.92,0.5,0.294862176,0.049241983392
1H7,1.0,0.833,FAUC,1.7316037439999998,53.35,7.27,7.27,0.5,0.8658018719999999,0.7212129593759998
1H7,1.0,0.16699999999999998,FAUC,0.393908544,53.35,7.91,7.91,0.5,0.196954272,0.032891363423999995
1H7,1.0,2.667,FAUC,1.795357728,53.35,7.92,7.92,0.5,0.897678864,2.3941095302879996
1H7,1.0,0.16699999999999998,FAUC,1.049663808,53.35,7.98,7.98,0.5,0.524831904,0.087646927968
1H7,1.0,0.16699999999999998,FAUC,1.049663808,53.35,7.98,7.98,0.5,0.524831904,0.087646927968
1H7,1.0,0.16699999999999998,FAUC,0.721786176,53.35,8.0,8.0,0.5,0.360893088,0.06026914569599999
1H7,1.0,0.16699999999999998,FAUC,0.589724352,53.35,8.02,8.02,0.5,0.294862176,0.049241983392
1H7,1.0,0.16699999999999998,FAUC,1.114556256,53.35,8.02,8.02,0.5,0.557278128,0.09306544737599999
1H7,1.0,0.33299999999999996,FAUC,0.8527095360000001,53.35,8.07,8.07,0.5,0.42635476800000005,0.141976137744
1H7,1.0,0.33299999999999996,FAUC,0.9176019839999998,53.35,8.08,8.08,0.5,0.4588009919999999,0.15278073033599998
1H7,1.0,0.16699999999999998,FAUC,0.721786176,53.35,8.27,8.27,0.5,0.360893088,0.06026914569599999
1H7,1.0,2.0,FAUC,0.524831904,53.35,8.79,8.79,0.5,0.262415952,0.524831904
1H7,1.0,0.833,FAUC,0.6694168319999999,53.35,8.83,8.83,0.5,0.33470841599999995,0.278812110528
1H7,1.0,0.33299999999999996,FAUC,0.5578473599999999,53.35,8.87,8.87,0.5,0.27892367999999995,0.09288158543999998
1H7,1.0,0.33299999999999996,FAUC,0.8196940799999999,53.35,9.76,9.76,0.5,0.40984703999999994,0.13647906431999998
1H7,1.0,0.33299999999999996,FAUC,1.8693578879999997,53.35,9.94,9.94,0.5,0.9346789439999998,0.3112480883519999
1H7,1.0,0.33299999999999996,FAUC,0.753663168,53.35,9.97,9.97,0.5,0.376831584,0.12548491747199997
1H7,1.0,0.16699999999999998,FAUC,1.114556256,53.35,9.98,9.98,0.5,0.557278128,0.09306544737599999
1H7,1.0,0.33299999999999996,FAUC,0.8527095360000001,53.35,10.21,10.21,0.5,0.42635476800000005,0.141976137744
1H7,1.0,0.16699999999999998,FAUC,0.393908544,53.35,11.18,11.18,0.5,0.196954272,0.032891363423999995
1H7,1.0,0.16699999999999998,FAUC,0.7866786239999999,53.35,14.06,14.06,0.5,0.39333931199999994,0.06568766510399998
1H7,1.0,1.6669999999999998,FAUC,1.8625271039999998,53.35,14.08,14.08,0.5,0.9312635519999999,1.5524163411839997
1H7,1.0,1.0,FAUC,1.026894528,53.35,14.26,14.26,0.5,0.513447264,0.513447264
1H7,1.0,1.167,FAUC,1.845450144,53.35,15.07,15.07,0.5,0.922725072,1.0768201590239999
1H7,1.0,1.0,FAUC,1.541480256,53.35,15.27,15.27,0.5,0.770740128,0.770740128
1H7,1.0,0.33299999999999996,FAUC,1.8693578879999997,53.35,15.31,15.31,0.5,0.9346789439999998,0.3112480883519999
1H7,1.0,0.5,FAUC,1.114556256,53.35,15.34,15.34,0.5,0.557278128,0.278639064
1H7,1.0,0.16699999999999998,FAUC,0.524831904,53.35,15.35,15.35,0.5,0.262415952,0.043823463984
1H7,1.0,0.33299999999999996,FAUC,0.6557552640000001,53.35,15.56,15.56,0.5,0.32787763200000003,0.109183251456
1H7,1.0,0.16699999999999998,FAUC,0.589724352,53.35,15.63,15.63,0.5,0.294862176,0.049241983392
1H7,1.0,0.33299999999999996,FAUC,0.9176019839999998,53.35,15.64,15.64,0.5,0.4588009919999999,0.15278073033599998
1H7,1.0,0.5,FAUC,0.26184672,53.35,15.8,15.8,0.5,0.13092336,0.06546168
1H7,1.0,0.33299999999999996,FAUC,0.5578473599999999,53.35,16.24,16.24,0.5,0.27892367999999995,0.09288158543999998
1H7,1.0,0.16699999999999998,FAUC,1.442433888,53.35,17.13,17.13,0.5,0.721216944,0.12044322964799999
1H7,1.0,0.33299999999999996,FAUC,0.8196940799999999,53.35,17.28,17.28,0.5,0.40984703999999994,0.13647906431999998
1H7,1.0,0.16699999999999998,FAUC,0.589724352,53.35,17.62,17.62,0.5,0.294862176,0.049241983392
1H7,1.0,0.16699999999999998,FAUC,1.114556256,53.35,17.63,17.63,0.5,0.557278128,0.09306544737599999
