Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H7,1.0,0.42700000000000005,FAUC,0.12733329,53.35,1.54,1.54,0.5,0.063666645,0.027185657415000005
2H7,1.0,0.142,FAUC,1.275547392,53.35,6.67,6.67,0.5,0.637773696,0.090563864832
2H7,1.0,0.142,FAUC,0.637773696,53.35,6.83,6.83,0.5,0.318886848,0.045281932416
2H7,1.0,0.42700000000000005,FAUC,1.509176298,53.35,7.6,7.6,0.5,0.754588149,0.322209139623
2H7,1.0,0.42700000000000005,FAUC,0.6588113699999999,53.35,7.84,7.84,0.5,0.32940568499999995,0.140656227495
2H7,1.0,1.5659999999999998,FAUC,1.252295226,53.35,11.73,11.73,0.5,0.626147613,0.9805471619579998
2H7,1.0,2.278,FAUC,1.215756108,53.35,11.78,11.78,0.5,0.607878054,1.3847462070119998
2H7,1.0,0.285,FAUC,0.47833027200000006,53.35,12.11,12.11,0.5,0.23916513600000003,0.06816206376
2H7,1.0,2.167,DWSH,0.79168089,53.35,12.17,12.17,1.0,0.79168089,1.7155724886299997
2H7,1.0,0.42700000000000005,FAUC,0.998735892,53.35,12.22,12.22,0.5,0.499367946,0.21323011294200003
2H7,1.0,0.8540000000000001,FAUC,1.9454312219999998,53.35,12.24,12.24,0.5,0.9727156109999999,0.8306991317939999
2H7,1.0,0.285,FAUC,1.3707705479999999,53.35,12.26,12.26,0.5,0.6853852739999999,0.19533480308999998
2H7,1.0,2.167,DWSH,0.785037414,53.35,12.34,12.34,1.0,0.785037414,1.701176076138
2H7,1.0,0.5,DWSH,0.751820034,53.35,12.61,12.61,1.0,0.751820034,0.375910017
2H7,1.0,2.167,DWSH,0.8049678419999999,53.35,12.64,12.64,1.0,0.8049678419999999,1.7443653136139998
2H7,1.0,0.285,FAUC,0.573553428,53.35,12.87,12.87,0.5,0.286776714,0.08173136348999999
2H7,1.0,0.569,FAUC,1.3707705479999999,53.35,12.88,12.88,0.5,0.6853852739999999,0.38998422090599993
2H7,1.0,0.142,FAUC,1.5302139719999999,53.35,12.89,12.89,0.5,0.7651069859999999,0.10864519201199999
2H7,1.0,0.142,FAUC,0.510440406,53.35,12.97,12.97,0.5,0.255220203,0.036241268826
2H7,1.0,0.7120000000000001,FAUC,1.5689675819999997,53.35,12.99,12.99,0.5,0.7844837909999999,0.558552459192
2H7,1.0,0.285,FAUC,1.1803242359999997,53.35,13.0,13.0,0.5,0.5901621179999998,0.16819620362999996
2H7,1.0,0.42700000000000005,FAUC,0.7651069859999999,53.35,13.03,13.03,0.5,0.38255349299999997,0.163350341511
2H7,1.0,10.963,SHWR,2.214492,53.35,13.93,13.93,0.83779399837794,1.855288107055961,20.3395235176545
2H7,1.0,0.142,FAUC,1.020880812,53.35,14.28,14.28,0.5,0.510440406,0.072482537652
2H7,1.0,0.42700000000000005,FAUC,1.275547392,53.35,14.33,14.33,0.5,0.637773696,0.27232936819200004
2H7,1.0,0.142,FAUC,0.8293272540000001,53.35,14.4,14.4,0.5,0.41466362700000003,0.058882235034
2H7,1.0,0.142,FAUC,0.44622013799999993,53.35,14.42,14.42,0.5,0.22311006899999997,0.031681629797999995
2H7,1.0,0.142,FAUC,0.383107116,53.35,14.64,14.64,0.5,0.191553558,0.027200605236
2H7,1.0,0.142,FAUC,0.383107116,53.35,15.21,15.21,0.5,0.191553558,0.027200605236
2H7,1.0,0.142,FAUC,0.510440406,53.35,15.27,15.27,0.5,0.255220203,0.036241268826
2H7,1.0,0.285,FAUC,1.1803242359999997,53.35,15.6,15.6,0.5,0.5901621179999998,0.16819620362999996
2H7,1.0,1.139,FAUC,1.841350098,53.35,15.6,15.6,0.5,0.920675049,1.048648880811
2H7,1.0,1.139,FAUC,1.698515364,53.35,17.78,17.78,0.5,0.849257682,0.9673044997979999
2H7,1.0,0.42700000000000005,FAUC,1.06295616,53.35,17.86,17.86,0.5,0.53147808,0.22694114016
2H7,1.0,0.142,FAUC,0.637773696,53.35,19.73,19.73,0.5,0.318886848,0.045281932416
2H7,1.0,0.142,FAUC,0.7651069859999999,53.35,19.77,19.77,0.5,0.38255349299999997,0.05432259600599999
2H7,1.0,1.139,FAUC,1.171466268,53.35,20.25,20.25,0.5,0.585733134,0.6671500396260001
2H7,1.0,0.142,FAUC,0.701993964,53.35,20.62,20.62,0.5,0.350996982,0.049841571444
2H7,1.0,0.142,FAUC,0.383107116,53.35,20.88,20.88,0.5,0.191553558,0.027200605236
2H7,1.0,0.42700000000000005,FAUC,0.9145851959999999,53.35,21.09,21.09,0.5,0.45729259799999994,0.195263939346
2H7,1.0,2.278,FAUC,1.69408638,53.35,21.1,21.1,0.5,0.84704319,1.9295643868199999
2H7,1.0,1.5659999999999998,FAUC,1.5534661379999999,53.35,21.14,21.14,0.5,0.7767330689999999,1.2163639860539999
2H7,1.0,3.1319999999999997,FAUC,0.947802576,53.35,22.52,22.52,0.5,0.473901288,1.484258834016
2D4,2.0,4.476,SHWR,2.214492,53.3915,32.47,8.47,0.8376847350609088,1.8550461443145019,8.30318654195171
2D4,2.0,0.249,FAUC,0.573553428,53.3915,32.78,8.78,0.5,0.286776714,0.07140740178600001
2D4,2.0,0.124,FAUC,0.318886848,53.3915,33.269999999999996,9.27,0.5,0.159443424,0.019770984576
2D4,2.0,1.6159999999999999,FAUC,1.182538728,53.3915,33.46,9.46,0.5,0.591269364,0.9554912922239999
