Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
1H4,1.0,1.31,FAUC,1.9180000000000001,48.9095,5.93,5.93
1H4,1.0,0.131,FAUC,0.634,48.9095,6.48,6.48
1H4,1.0,0.131,FAUC,0.5760000000000001,48.9095,7.07,7.07
1H4,1.0,0.655,FAUC,1.2790000000000001,48.9095,7.08,7.08
1H4,1.0,0.524,FAUC,1.0659999999999998,48.9095,7.23,7.23
1H4,1.0,0.262,FAUC,1.037,48.9095,7.28,7.28
1H4,1.0,0.131,FAUC,0.7490000000000001,48.9095,7.31,7.31
1H4,1.0,0.655,FAUC,2.696,48.9095,7.67,7.67
1H4,1.0,0.262,FAUC,1.094,48.9095,7.95,7.95
1H4,1.0,0.39299999999999996,FAUC,0.8059999999999999,48.9095,8.16,8.16
1H4,1.0,1.179,FAUC,2.1630000000000003,48.9095,8.25,8.25
1H4,1.0,0.131,FAUC,1.21,48.9095,9.33,9.33
1H4,1.0,0.131,FAUC,0.9790000000000001,48.9095,9.87,9.87
1H4,1.0,0.131,FAUC,0.5760000000000001,48.9095,11.29,11.29
1H4,1.0,0.131,FAUC,0.8640000000000001,48.9095,11.73,11.73
1H4,1.0,0.262,FAUC,0.662,48.9095,11.97,11.97
1H4,1.0,0.524,FAUC,2.131,48.9095,12.14,12.14
1H4,1.0,0.131,FAUC,0.518,48.9095,12.52,12.52
1H4,1.0,0.7859999999999999,FAUC,1.392,48.9095,12.53,12.53
1H4,1.0,0.7859999999999999,FAUC,1.133,48.9095,12.55,12.55
1H4,1.0,0.131,FAUC,1.325,48.9095,12.58,12.58
1H4,1.0,0.655,FAUC,1.359,48.9095,12.59,12.59
1H4,1.0,0.262,FAUC,1.757,48.9095,14.45,14.45
1H4,1.0,0.262,FAUC,1.21,48.9095,16.06,16.06
1H4,1.0,0.131,FAUC,0.634,48.9095,17.13,17.13
1H4,1.0,0.524,FAUC,2.218,48.9095,17.15,17.15
1H4,1.0,0.131,FAUC,0.691,48.9095,17.17,17.17
1H4,1.0,0.131,FAUC,0.7490000000000001,48.9095,17.21,17.21
1H4,1.0,0.262,FAUC,0.8640000000000001,48.9095,17.53,17.53
1H4,1.0,1.179,FAUC,1.504,48.9095,20.04,20.04
1D6,2.0,0.31,FAUC,0.9790000000000001,48.9325,26.52,2.52
1D6,2.0,0.155,FAUC,1.037,48.9325,26.53,2.53
1D6,2.0,1.3940000000000001,FAUC,0.9279999999999999,48.9325,26.56,2.56
1D6,2.0,0.62,FAUC,1.051,48.9325,31.78,7.78
1D6,2.0,0.31,FAUC,0.547,48.9325,31.93,7.93
1D6,2.0,0.31,FAUC,0.835,48.9325,32.01,8.01
1D6,2.0,0.31,FAUC,0.691,48.9325,32.12,8.12
1D6,2.0,1.859,FAUC,0.816,48.9325,32.14,8.14
1D6,2.0,1.239,FAUC,0.965,48.9325,32.18,8.18
1D6,2.0,0.31,FAUC,0.893,48.9325,32.26,8.26
1D6,2.0,2.0140000000000002,FAUC,0.9129999999999999,48.9325,32.59,8.59
1D6,2.0,0.31,FAUC,0.518,48.9325,32.63,8.63
1D6,2.0,0.31,FAUC,0.8059999999999999,48.9325,32.86,8.86
1D6,2.0,1.3940000000000001,FAUC,1.05,48.9325,33.34,9.34
1D6,2.0,11.772,SHWR,1.492,48.9325,33.39,9.39
1D6,2.0,0.465,FAUC,0.787,48.9325,34.7,10.7
1D6,2.0,1.239,FAUC,0.8059999999999999,48.9325,34.72,10.72
2E6,3.0,21.355999999999998,SHWR,1.3630000000000002,48.8645,54.78,6.78
2E6,3.0,0.142,FAUC,0.40299999999999997,48.8645,55.95,7.95
2E6,3.0,0.285,FAUC,0.461,48.8645,56.019999999999996,8.02
