Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr)
1H7,1.0,0.16699999999999998,FAUC,0.518,6.92,6.92
1H7,1.0,0.833,FAUC,1.521,7.27,7.27
1H7,1.0,0.16699999999999998,FAUC,0.34600000000000003,7.91,7.91
1H7,1.0,2.667,FAUC,1.577,7.92,7.92
1H7,1.0,0.16699999999999998,FAUC,0.922,7.98,7.98
1H7,1.0,0.16699999999999998,FAUC,0.922,7.98,7.98
1H7,1.0,0.16699999999999998,FAUC,0.634,8.0,8.0
1H7,1.0,0.16699999999999998,FAUC,0.9790000000000001,8.02,8.02
1H7,1.0,0.16699999999999998,FAUC,0.518,8.02,8.02
1H7,1.0,0.33299999999999996,FAUC,0.7490000000000001,8.07,8.07
1H7,1.0,0.33299999999999996,FAUC,0.8059999999999999,8.08,8.08
1H7,1.0,0.16699999999999998,FAUC,0.634,8.27,8.27
1H7,1.0,2.0,FAUC,0.461,8.79,8.79
1H7,1.0,0.833,FAUC,0.588,8.83,8.83
1H7,1.0,0.33299999999999996,FAUC,0.49,8.87,8.87
1H7,1.0,3.333,CWSH,1.922,9.37,9.37
1H7,1.0,4.833,CWSH,1.291,9.72,9.72
1H7,1.0,0.33299999999999996,FAUC,0.72,9.76,9.76
1H7,1.0,0.33299999999999996,CWSH,37.95,9.93,9.93
1H7,1.0,0.33299999999999996,FAUC,1.642,9.94,9.94
1H7,1.0,0.33299999999999996,FAUC,0.662,9.97,9.97
1H7,1.0,0.16699999999999998,FAUC,0.9790000000000001,9.98,9.98
1H7,1.0,4.0,CWSH,1.565,10.11,10.11
1H7,1.0,0.33299999999999996,FAUC,0.7490000000000001,10.21,10.21
1H7,1.0,0.33299999999999996,CWSH,0.85,10.45,10.45
1H7,1.0,5.5,CWSH,1.11,10.52,10.52
1H7,1.0,0.16699999999999998,FAUC,0.34600000000000003,11.18,11.18
1H7,1.0,0.16699999999999998,FAUC,0.691,14.06,14.06
1H7,1.0,1.6669999999999998,FAUC,1.636,14.08,14.08
1H7,1.0,1.0,FAUC,0.902,14.26,14.26
1H7,1.0,1.167,FAUC,1.621,15.07,15.07
1H7,1.0,1.0,FAUC,1.354,15.27,15.27
1H7,1.0,0.33299999999999996,FAUC,1.642,15.31,15.31
1H7,1.0,0.5,FAUC,0.9790000000000001,15.34,15.34
1H7,1.0,0.16699999999999998,FAUC,0.461,15.35,15.35
1H7,1.0,0.33299999999999996,FAUC,0.5760000000000001,15.56,15.56
1H7,1.0,0.16699999999999998,FAUC,0.518,15.63,15.63
1H7,1.0,0.33299999999999996,FAUC,0.8059999999999999,15.64,15.64
1H7,1.0,0.5,FAUC,0.23,15.8,15.8
1H7,1.0,0.33299999999999996,FAUC,0.49,16.24,16.24
1H7,1.0,0.16699999999999998,FAUC,1.2670000000000001,17.13,17.13
1H7,1.0,0.33299999999999996,FAUC,0.72,17.28,17.28
1H7,1.0,0.16699999999999998,FAUC,0.518,17.62,17.62
1H7,1.0,0.16699999999999998,FAUC,0.9790000000000001,17.63,17.63
1H7,1.0,4.833,FAUC,0.687,21.67,21.67
1H7,1.0,0.16699999999999998,FAUC,0.461,21.78,21.78
1H7,1.0,0.667,FAUC,0.763,21.79,21.79
1H7,1.0,0.33299999999999996,FAUC,0.518,21.82,21.82
1H7,1.0,0.16699999999999998,FAUC,0.461,21.86,21.86
1D9,2.0,1.6669999999999998,DWSH,1.145,25.3,1.3
1D9,2.0,1.5,DWSH,1.014,25.87,1.87
1D9,2.0,0.131,FAUC,0.40299999999999997,26.09,2.09
1D9,2.0,1.3330000000000002,DWSH,1.179,26.1,2.1
1D9,2.0,0.131,FAUC,0.28800000000000003,30.75,6.75
1D9,2.0,0.39299999999999996,FAUC,1.44,30.759999999999998,6.76
1D9,2.0,0.524,FAUC,1.426,30.77,6.77
1D9,2.0,0.7859999999999999,FAUC,1.018,31.02,7.02
1D9,2.0,0.262,FAUC,1.9869999999999999,31.22,7.22
1D9,2.0,0.655,FAUC,1.452,31.23,7.23
1D9,2.0,0.39299999999999996,FAUC,1.037,31.509999999999998,7.51
1D9,2.0,0.917,FAUC,1.16,33.37,9.37
1D9,2.0,0.131,FAUC,2.3040000000000003,33.38,9.38
1D9,2.0,0.262,FAUC,1.094,33.8,9.8
1D9,2.0,0.524,FAUC,1.44,33.82,9.82
1D9,2.0,0.131,FAUC,0.28800000000000003,34.19,10.19
1D9,2.0,0.131,FAUC,0.922,34.78,10.78
1D9,2.0,0.131,FAUC,0.5760000000000001,34.81,10.81
1D9,2.0,0.655,FAUC,1.2790000000000001,35.269999999999996,11.27
1D9,2.0,0.131,FAUC,0.8059999999999999,36.5,12.5
1D9,2.0,0.655,FAUC,1.1520000000000001,36.68,12.68
1D9,2.0,0.131,FAUC,0.28800000000000003,36.730000000000004,12.73
1D9,2.0,0.262,FAUC,0.605,36.75,12.75
1D9,2.0,0.131,FAUC,1.325,36.99,12.99
1D9,2.0,0.7859999999999999,FAUC,1.037,37.25,13.25
1D9,2.0,0.39299999999999996,FAUC,1.133,37.26,13.26
1D9,2.0,1.4409999999999998,FAUC,1.6019999999999999,38.26,14.26
1D9,2.0,0.39299999999999996,FAUC,0.672,38.3,14.3
1D9,2.0,0.131,FAUC,0.40299999999999997,38.46,14.46
1D9,2.0,0.131,FAUC,0.28800000000000003,38.5,14.5
1D9,2.0,0.131,FAUC,1.094,38.75,14.75
1D9,2.0,0.7859999999999999,FAUC,1.6130000000000002,38.769999999999996,14.77
1D9,2.0,0.131,FAUC,0.28800000000000003,38.8,14.8
1D9,2.0,0.131,FAUC,0.28800000000000003,38.8,14.8
1D9,2.0,0.131,FAUC,2.131,39.07,15.07
1D9,2.0,0.262,FAUC,0.893,40.47,16.47
1D9,2.0,0.131,FAUC,0.518,41.29,17.29
1D9,2.0,0.262,FAUC,0.835,41.39,17.39
1D9,2.0,0.131,FAUC,0.8059999999999999,41.43,17.43
1D9,2.0,0.131,FAUC,0.922,41.44,17.44
1D9,2.0,0.39299999999999996,FAUC,1.229,41.44,17.44
1D9,2.0,0.262,FAUC,0.49,41.61,17.61
1D9,2.0,0.524,FAUC,1.123,41.989999999999995,17.99
1D9,2.0,0.131,FAUC,0.9790000000000001,42.04,18.04
1D9,2.0,0.131,FAUC,0.518,42.17,18.17
1D9,2.0,0.262,FAUC,1.037,42.31,18.31
1D9,2.0,0.131,FAUC,0.5760000000000001,42.32,18.32
1D9,2.0,1.834,FAUC,1.469,42.33,18.33
1D9,2.0,0.262,FAUC,0.893,42.39,18.39
1D9,2.0,0.524,FAUC,1.3969999999999998,42.4,18.4
1D9,2.0,0.131,FAUC,0.518,42.59,18.59
