Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr),End Time of Year (hr),Type
1H4,1.0,1.31,FAUC,1.9180000000000001,5.93,5.93,5.951833333333333,1.0
1H4,1.0,0.131,FAUC,0.634,6.48,6.48,6.482183333333333,1.0
1H7,1.0,0.16699999999999998,FAUC,0.518,6.92,6.92,6.922783333333333,1.0
1H4,1.0,0.131,FAUC,0.5760000000000001,7.07,7.07,7.072183333333333,1.0
1H4,1.0,0.655,FAUC,1.2790000000000001,7.08,7.08,7.090916666666667,1.0
1H4,1.0,0.524,FAUC,1.0659999999999998,7.23,7.23,7.238733333333334,1.0
1H7,1.0,0.6000000000000405,FAUC,1.521,7.27,7.27,7.28,4.0
1H4,1.0,0.23299999999995435,FAUC,2.558,7.28,7.28,7.283883333333333,4.0
1H4,1.0,0.029000000000056758,FAUC,1.037,7.283883333333333,7.283883333333333,7.284366666666667,4.0
1H4,1.0,0.131,FAUC,0.7490000000000001,7.31,7.31,7.312183333333333,1.0
1H4,1.0,0.655,FAUC,2.696,7.67,7.67,7.680916666666667,1.0
1H7,1.0,0.16699999999999998,FAUC,0.34600000000000003,7.91,7.91,7.9127833333333335,1.0
1H7,1.0,1.800000000000015,FAUC,1.577,7.92,7.92,7.95,3.0
1H4,1.0,0.262,FAUC & FAUC,2.6710000000000003,7.95,7.95,7.954366666666667,3.0
1H7,1.0,0.6049999999999933,FAUC,1.577,7.954366666666667,7.954366666666667,7.96445,3.0
1H7,1.0,0.16699999999999998,FAUC,1.844,7.98,7.98,7.982783333333334,2.0
1H7,1.0,0.16699999999999998,FAUC,0.634,8.0,8.0,8.002783333333333,1.0
1H7,1.0,0.16699999999999998,FAUC,1.497,8.02,8.02,8.022783333333333,2.0
1H7,1.0,0.33299999999999996,FAUC,0.7490000000000001,8.07,8.07,8.07555,1.0
1H7,1.0,0.33299999999999996,FAUC,0.8059999999999999,8.08,8.08,8.08555,1.0
1H4,1.0,0.39299999999999996,FAUC,0.8059999999999999,8.16,8.16,8.16655,1.0
1H4,1.0,1.179,FAUC,2.1630000000000003,8.25,8.25,8.26965,1.0
1H7,1.0,0.16699999999999998,FAUC,0.634,8.27,8.27,8.272783333333333,1.0
1H7,1.0,2.0,FAUC,0.461,8.79,8.79,8.823333333333332,1.0
1H7,1.0,0.833,FAUC,0.588,8.83,8.83,8.843883333333334,1.0
1H7,1.0,0.33299999999999996,FAUC,0.49,8.87,8.87,8.875549999999999,1.0
1H4,1.0,0.131,FAUC,1.21,9.33,9.33,9.332183333333333,1.0
1H7,1.0,3.333,CWSH,1.922,9.37,9.37,9.42555,1.0
1H7,1.0,2.399999999999949,CWSH,1.291,9.72,9.72,9.76,3.0
1H7,1.0,0.33299999999999996,CWSH & FAUC,2.011,9.76,9.76,9.76555,3.0
