Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H1,1.0,1.048,FAUC,3.44362752,48.9095,2.22,2.22,0.5,1.72181376,1.8044608204800001
1H1,1.0,3.275,FAUC,1.4683245120000001,48.9095,5.97,5.97,0.5,0.7341622560000001,2.4043813884
1H1,1.0,0.131,FAUC,1.1024390880000001,48.9095,6.22,6.22,0.5,0.5512195440000001,0.07220976026400001
1H1,1.0,1.4409999999999998,FAUC,4.163441328,48.9095,6.95,6.95,0.5,2.081720664,2.9997594768239995
1H1,1.0,0.39299999999999996,FAUC,2.0661765120000006,48.9095,6.96,6.96,0.5,1.0330882560000003,0.40600368460800007
1H1,1.0,1.703,FAUC,2.6544628800000005,48.9095,6.99,6.99,0.5,1.3272314400000003,2.2602751423200007
1H1,1.0,1.4409999999999998,FAUC,4.025935368000001,48.9095,7.29,7.29,0.5,2.0129676840000004,2.900686432644
1H1,1.0,1.834,FAUC,1.4025607920000003,48.9095,7.33,7.33,0.5,0.7012803960000001,1.2861482462640002
1H1,1.0,0.39299999999999996,FAUC,1.0330882560000003,48.9095,7.39,7.39,0.5,0.5165441280000002,0.20300184230400004
1H1,1.0,0.131,FAUC,1.0330882560000003,48.9095,7.45,7.45,0.5,0.5165441280000002,0.06766728076800002
1H1,1.0,0.917,FAUC,2.135527344,48.9095,7.46,7.46,0.5,1.067763672,0.9791392872240002
1H1,1.0,0.262,FAUC,2.0661765120000006,48.9095,7.79,7.79,0.5,1.0330882560000003,0.2706691230720001
1H1,1.0,0.131,FAUC,0.5512195440000001,48.9095,7.86,7.86,0.5,0.27560977200000003,0.03610488013200001
1H1,1.0,0.131,FAUC,1.0330882560000003,48.9095,7.89,7.89,0.5,0.5165441280000002,0.06766728076800002
1H1,1.0,0.262,FAUC,1.5496323840000001,48.9095,7.9,7.9,0.5,0.7748161920000001,0.20300184230400004
1H1,1.0,0.262,FAUC,0.826231464,48.9095,7.96,7.96,0.5,0.413115732,0.108236321784
1H1,1.0,0.262,FAUC,4.132353024000001,48.9095,7.97,7.97,0.5,2.0661765120000006,0.5413382461440002
1H1,1.0,1.5719999999999998,FAUC,1.9346490720000002,48.9095,7.98,7.98,0.5,0.9673245360000001,1.520634170592
1H1,1.0,0.524,FAUC,1.9286705520000005,48.9095,8.02,8.02,0.5,0.9643352760000002,0.5053116846240001
1H1,1.0,0.262,FAUC,1.5496323840000001,48.9095,8.03,8.03,0.5,0.7748161920000001,0.20300184230400004
1H1,1.0,0.39299999999999996,FAUC,2.0661765120000006,48.9095,8.06,8.06,0.5,1.0330882560000003,0.40600368460800007
