Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2D7,2.0,5.5020000000000024,SHWR,1.2329999999999999,52.2385,32.91,8.91,0.8406666507333317,1.0365419803541978,5.703053975908799
2D7,2.0,8.123,SHWR,1.237,52.2385,38.3,14.3,0.8406666507333317,1.0399046469571314,8.447145447232778
2D7,2.0,3.668,SHWR,1.881,52.2385,40.93,16.93,0.8406666507333317,1.5812939700293969,5.800186282067828
2D7,2.0,3.93,BATH,1.77,52.2385,45.63,21.63,0.8406666507333317,1.4879799717979971,5.847761289166129
5E4,3.0,5.24,SHWR,2.0,52.1445,57.57,9.57,0.8409049327425603,1.6818098654851206,8.812683695142033
5E4,3.0,9.302,SHWR,2.0,52.1445,58.46,10.46,0.8409049327425603,1.6818098654851206,15.64419536874259
6D9,5.0,13.0,SHWR,2.0,51.988,102.53,6.53,0.8413000698279692,1.6826001396559385,21.8738018155272
6D9,5.0,4.167,SHWR,1.9340000000000002,51.988,108.47,12.47,0.8413000698279692,1.6270743350472927,6.780018754142068
6D9,5.0,9.667,SHWR,1.355,51.988,110.59,14.59,0.8413000698279692,1.1399615946168984,11.020008735161557
6D9,5.0,7.1670000000000025,SHWR,1.8869999999999998,51.988,119.24,23.24,0.8413000698279692,1.5875332317653779,11.377850672062467
4D2,6.0,6.8329999999999975,SHWR,1.311,51.8935,127.93,7.93,0.8415377179846767,1.1032559482779112,7.5385478945829645
4D2,6.0,2.833,BATH,3.406,51.8935,129.1,9.1,0.8415377179846767,2.866277467455809,8.120164065302307
2D4,7.0,4.476,SHWR,2.0,51.852000000000004,152.47,8.47,0.8416418572242985,1.683283714448597,7.534377905871921
4D7,8.0,3.275,SHWR,2.0,51.77499999999999,174.5,6.5,0.8418347172795572,1.6836694345591143,5.5140173981811
4D7,8.0,7.336,SHWR,1.632,51.77499999999999,188.63,20.63,0.8418347172795572,1.3738742586002373,10.078741561091341
4D7,8.0,7.205,SHWR,1.81,51.77499999999999,188.63,20.63,0.8418347172795572,1.5237208382759986,10.97840863977857
2D0,9.0,3.9789999999999996,SHWR,2.0,51.663,213.08,21.08,0.8421144039029319,1.6842288078058638,6.701546426259531
4E6,10.0,9.564,SHWR,2.0,51.527,227.68,11.68,0.8424526964221007,1.6849053928442015,16.114435177161944
4E6,10.0,6.812,SHWR,2.0,51.527,232.16,16.16,0.8424526964221007,1.6849053928442015,11.477575536054701
2D3,12.0,2.705,SHWR,1.746,51.443,270.21,6.21,0.8426609185455576,1.4712859637805435,3.9798285320263704
2D3,12.0,4.129,SHWR,2.0,51.443,271.27,7.27,0.8426609185455576,1.6853218370911152,6.958693865349214
3D1,13.0,4.103,SHWR,1.635,51.3695,295.9,7.9,0.8428426619309922,1.3780477522571724,5.654129927511178
3D1,13.0,4.725,SHWR,2.0,51.3695,304.57,16.57,0.8428426619309922,1.6856853238619844,7.964863155247876
3D1,13.0,6.837999999999999,SHWR,2.0,51.3695,305.16,17.16,0.8428426619309922,1.6856853238619844,11.526716244568249
3D1,13.0,4.973,SHWR,2.0,51.3695,309.5,21.5,0.8428426619309922,1.6856853238619844,8.382913115565648
5D4,14.0,7.335,SHWR,2.0,51.25749999999999,323.63,11.63,0.8431187982899949,1.6862375965799898,12.368552770914226
5D4,14.0,5.968,SHWR,1.2590000000000001,51.25749999999999,331.03,19.03,0.8431187982899949,1.0614865670471036,6.334951832137114
2D6,16.0,6.837999999999999,SHWR,2.0,51.1065,367.31,7.31,0.8434895568406802,1.6869791136813603,11.53556317935314
3E0,18.0,6.506,SHWR,1.393,51.134,426.22,18.22,0.8434221651583002,1.1748870760655121,7.643815316882222
3H1,19.0,9.04,SHWR,1.79,51.144,432.19,0.19,0.8433976447005763,1.5096817840140317,13.647523327486846
3H1,19.0,4.8469999999999995,BATH,3.5660000000000003,51.144,448.87,16.87,0.8433976447005763,3.0075560010022553,14.57762393685793
3H1,19.0,1.4409999999999998,BATH,3.125,51.144,448.97,16.97,0.8433976447005763,2.635617639689301,3.797925018792282
3H1,19.0,1.965,BATH,3.108,51.144,449.01,17.01,0.8433976447005763,2.6212798797293915,5.150814963668254
3H1,19.0,2.7510000000000003,BATH,3.9339999999999997,51.144,449.07,17.07,0.8433976447005763,3.317926334252067,9.127615345527436
3H1,19.0,3.275,SHWR,2.0,51.144,453.03,21.03,0.8433976447005763,1.6867952894011526,5.524254572788775
3H1,19.0,7.992000000000001,SHWR,1.034,51.144,455.14,23.14,0.8433976447005763,0.872073164620396,6.969608731646205
3H1,19.0,6.287999999999999,SHWR,1.5190000000000001,51.144,455.67,23.67,0.8433976447005763,1.2811210223001754,8.055688988223503
2D5,20.0,9.833,SHWR,1.411,51.185500000000005,465.06,9.06,0.8432958026780747,1.1898903775787635,11.70019208273198
2D5,20.0,6.5,SHWR,2.0,51.185500000000005,466.68,10.68,0.8432958026780747,1.6865916053561494,10.962845434814971
2D8,21.0,5.47,SHWR,1.443,51.22,486.42,6.42,0.8432110379429288,1.2167535277516464,6.655641796801505
2D8,21.0,3.8539999999999996,SHWR,2.0,51.22,491.12,11.12,0.8432110379429288,1.6864220758858577,6.4994706804640945
2D8,21.0,7.9570000000000025,SHWR,1.474,51.22,500.58,20.58,0.8432110379429288,1.242893069927877,9.88970015741612
2D9,22.0,12.237,SHWR,2.0,51.1845,512.79,8.79,0.8432982582601406,1.6865965165202812,20.638881572658683
2D9,22.0,6.66,SHWR,2.0,51.1845,522.04,18.04,0.8432982582601406,1.6865965165202812,11.232732800025072
2D9,22.0,1.5490000000000002,BATH,6.666,51.1845,524.24,20.24,0.8432982582601406,5.621426189562097,8.707589167631689
2D1,23.0,5.5760000000000005,SHWR,2.0,51.0475,536.14,8.14,0.8436339470700911,1.6872678941401822,9.408205777725657
2D1,23.0,10.378,SHWR,1.916,51.0475,536.4,8.4,0.8436339470700911,1.6164026425862945,16.775026624760564
4E5,24.0,6.5889999999999995,SHWR,1.874,50.8685,560.85,8.85,0.8440703866274764,1.5817879045398908,10.422400503013339
4E5,24.0,7.0870000000000015,SHWR,1.9140000000000001,50.8685,569.72,17.72,0.8440703866274764,1.61555072000499,11.449407952675365
4E5,24.0,3.73,SHWR,2.0,50.8685,569.73,17.73,0.8440703866274764,1.6881407732549527,6.296765084240974
4E5,24.0,3.4810000000000003,BATH,3.056,50.8685,570.89,18.89,0.8440703866274764,2.579479101533568,8.979166752438351
3E9,25.0,4.454,SHWR,2.0,50.8925,585.5,9.5,0.8440120110751472,1.6880240221502945,7.518458994657411
3E9,25.0,14.935,SHWR,2.0,50.8925,586.11,10.11,0.8440120110751472,1.6880240221502945,25.210638770814647
3E9,25.0,4.061,SHWR,1.663,50.8925,587.58,11.58,0.8440120110751472,1.40359197441797,5.699987008111376
5D5,26.0,4.973,SHWR,2.0,50.93,607.43,7.43,0.8439207117215547,1.6878414234431094,8.393635398782584
5D5,26.0,4.849,SHWR,2.0,50.93,618.6,18.6,0.8439207117215547,1.6878414234431094,8.184343062275637
5D5,26.0,1.492,SHWR,1.42,50.93,618.91,18.91,0.8439207117215547,1.1983674106446076,1.7879641766817544
5D5,26.0,4.476,SHWR,2.0,50.93,618.96,18.96,0.8439207117215547,1.6878414234431094,7.5547782113313575
5D5,26.0,3.9789999999999996,BATH,3.094,50.93,622.14,22.14,0.8439207117215547,2.6110906820664903,10.389529823942564
