Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
6H0,1.0,0.87,FAUC,0.938,52.926,0.34,0.34,0.5,0.469,0.40802999999999995
6H0,1.0,0.124,FAUC,0.691,52.926,0.37,0.37,0.5,0.3455,0.042842
6H0,1.0,0.373,FAUC,0.595,52.926,0.38,0.38,0.5,0.2975,0.1109675
6H0,1.0,0.249,FAUC,0.8059999999999999,52.926,0.55,0.55,0.5,0.40299999999999997,0.10034699999999999
6H0,1.0,0.373,FAUC,0.787,52.926,0.58,0.58,0.5,0.3935,0.1467755
6H0,1.0,0.249,FAUC,0.34600000000000003,52.926,0.71,0.71,0.5,0.17300000000000001,0.043077000000000004
6H0,1.0,0.124,FAUC,0.922,52.926,7.56,7.56,0.5,0.461,0.057164
6H0,1.0,0.124,FAUC,0.691,52.926,7.84,7.84,0.5,0.3455,0.042842
6H0,1.0,0.249,FAUC,0.72,52.926,8.75,8.75,0.5,0.36,0.08964
6H0,1.0,0.124,FAUC,1.2670000000000001,52.926,11.0,11.0,0.5,0.6335000000000001,0.07855400000000001
6H0,1.0,0.124,FAUC,0.518,52.926,11.92,11.92,0.5,0.259,0.032116
6H0,1.0,0.249,FAUC,1.0659999999999998,52.926,12.86,12.86,0.5,0.5329999999999999,0.13271699999999997
6H0,1.0,0.124,FAUC,0.518,52.926,12.95,12.95,0.5,0.259,0.032116
6H0,1.0,0.124,FAUC,0.518,52.926,13.13,13.13,0.5,0.259,0.032116
6H0,1.0,0.249,FAUC,1.0659999999999998,52.926,13.36,13.36,0.5,0.5329999999999999,0.13271699999999997
6H0,1.0,0.373,FAUC,0.653,52.926,13.54,13.54,0.5,0.3265,0.1217845
6H0,1.0,0.249,FAUC,0.634,52.926,13.56,13.56,0.5,0.317,0.078933
6H0,1.0,7.46,SHWR,1.761,52.926,13.62,13.62,0.8389019557302574,1.4773063440409833,11.020705326545736
6H0,1.0,0.249,FAUC,0.34600000000000003,52.926,13.85,13.85,0.5,0.17300000000000001,0.043077000000000004
6H0,1.0,0.249,FAUC,0.691,52.926,13.86,13.86,0.5,0.3455,0.0860295
6H0,1.0,0.249,FAUC,0.461,52.926,13.88,13.88,0.5,0.2305,0.0573945
6H0,1.0,0.124,FAUC,0.518,52.926,13.89,13.89,0.5,0.259,0.032116
6H0,1.0,0.373,FAUC,0.595,52.926,13.9,13.9,0.5,0.2975,0.1109675
6H0,1.0,0.49700000000000005,FAUC,0.9359999999999999,52.926,13.95,13.95,0.5,0.46799999999999997,0.232596
6H0,1.0,0.622,FAUC,1.82,52.926,15.24,15.24,0.5,0.91,0.56602
6H0,1.0,0.746,FAUC,0.5379999999999999,52.926,15.66,15.66,0.5,0.26899999999999996,0.20067399999999996
6H0,1.0,0.373,FAUC,0.5379999999999999,52.926,15.68,15.68,0.5,0.26899999999999996,0.10033699999999998
6H0,1.0,0.249,FAUC,0.547,52.926,15.7,15.7,0.5,0.2735,0.06810150000000001
6H0,1.0,1.6669999999999998,CWSH,1.048,52.926,16.83,16.83,0.22,0.23056000000000001,0.38434352
6H0,1.0,1.0,CWSH,1.494,52.926,17.14,17.14,0.22,0.32868,0.32868
6H0,1.0,1.167,CWSH,1.3230000000000002,52.926,17.2,17.2,0.22,0.29106000000000004,0.33966702000000004
6H0,1.0,1.0,CWSH,1.5590000000000002,52.926,17.32,17.32,0.22,0.34298000000000006,0.34298000000000006
6H0,1.0,0.5,CWSH,1.645,52.926,17.4,17.4,0.22,0.3619,0.18095
6H0,1.0,1.0,CWSH,1.5590000000000002,52.926,17.48,17.48,0.22,0.34298000000000006,0.34298000000000006
6H0,1.0,0.833,CWSH,1.405,52.926,17.57,17.57,0.22,0.3091,0.2574803
6H0,1.0,1.0,CWSH,1.524,52.926,17.66,17.66,0.22,0.33528,0.33528
6H0,1.0,0.249,FAUC,0.893,52.926,17.73,17.73,0.5,0.4465,0.1111785
6H0,1.0,1.167,CWSH,1.055,52.926,17.74,17.74,0.22,0.2321,0.2708607
6H0,1.0,0.249,FAUC,0.634,52.926,17.89,17.89,0.5,0.317,0.078933
6H0,1.0,0.124,FAUC,1.094,52.926,18.09,18.09,0.5,0.547,0.067828
6H0,1.0,2.667,CWSH,1.665,52.926,18.67,18.67,0.22,0.3663,0.9769221
6H0,1.0,1.167,CWSH,1.8130000000000002,52.926,18.97,18.97,0.22,0.39886000000000005,0.4654696200000001
6H0,1.0,1.0,CWSH,2.025,52.926,19.03,19.03,0.22,0.4455,0.4455
6H0,1.0,1.167,CWSH,2.011,52.926,19.15,19.15,0.22,0.44242000000000004,0.51630414
6H0,1.0,1.0,CWSH,1.724,52.926,19.23,19.23,0.22,0.37928,0.37928
6H0,1.0,2.611,BATH,3.2289999999999996,52.926,19.33,19.33,0.8389019557302574,2.7088144150530007,7.072714437703385
6H0,1.0,0.249,FAUC,0.72,52.926,19.76,19.76,0.5,0.36,0.08964
6H0,1.0,0.249,FAUC,0.634,52.926,19.78,19.78,0.5,0.317,0.078933
6H0,1.0,0.124,FAUC,0.691,52.926,20.32,20.32,0.5,0.3455,0.042842
6H0,1.0,0.124,FAUC,0.518,52.926,20.89,20.89,0.5,0.259,0.032116
6H0,1.0,0.87,FAUC,1.119,52.926,20.91,20.91,0.5,0.5595,0.486765
6H0,1.0,0.373,FAUC,0.826,52.926,20.98,20.98,0.5,0.413,0.154049
6H0,1.0,0.249,FAUC,0.72,52.926,21.03,21.03,0.5,0.36,0.08964
6H0,1.0,0.249,FAUC,0.461,52.926,21.04,21.04,0.5,0.2305,0.0573945
6H0,1.0,3.5,CWSH,1.246,52.926,21.19,21.19,0.22,0.27412,0.9594199999999999
6H0,1.0,1.167,CWSH,1.163,52.926,21.49,21.49,0.22,0.25586000000000003,0.29858862
