Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
1H8,1.0,0.262,FAUC,0.778,53.35,9.2,9.2
1H8,1.0,0.262,FAUC,0.49,53.35,9.22,9.22
1H8,1.0,0.262,FAUC,1.008,53.35,9.23,9.23
1H8,1.0,0.262,FAUC,0.634,53.35,9.23,9.23
1H8,1.0,0.262,FAUC,0.8059999999999999,53.35,9.25,9.25
1H8,1.0,0.262,FAUC,0.605,53.35,9.3,9.3
1H8,1.0,0.131,FAUC,0.518,53.35,9.63,9.63
1H8,1.0,0.131,FAUC,1.094,53.35,9.68,9.68
1H8,1.0,0.262,FAUC,0.5760000000000001,53.35,9.94,9.94
1H8,1.0,1.5,DWSH,1.358,53.35,9.97,9.97
1H8,1.0,0.262,FAUC,0.9790000000000001,53.35,10.01,10.01
1H8,1.0,0.262,FAUC,0.461,53.35,10.02,10.02
1H8,1.0,0.131,FAUC,0.8059999999999999,53.35,10.07,10.07
1H8,1.0,0.262,FAUC,0.34600000000000003,53.35,10.07,10.07
1H8,1.0,1.0,DWSH,1.162,53.35,10.11,10.11
1H8,1.0,1.3330000000000002,DWSH,1.35,53.35,10.22,10.22
1H8,1.0,0.131,FAUC,0.7490000000000001,53.35,10.4,10.4
1H8,1.0,0.131,FAUC,0.7490000000000001,53.35,11.36,11.36
1H8,1.0,0.262,FAUC,0.605,53.35,11.49,11.49
1H8,1.0,0.39299999999999996,FAUC,0.787,53.35,11.55,11.55
1H8,1.0,0.131,FAUC,0.461,53.35,11.61,11.61
1H8,1.0,0.131,FAUC,0.40299999999999997,53.35,14.3,14.3
1H8,1.0,0.262,FAUC,0.835,53.35,14.42,14.42
1H8,1.0,0.131,FAUC,0.9790000000000001,53.35,15.62,15.62
1H8,1.0,0.262,FAUC,0.43200000000000005,53.35,15.65,15.65
1H8,1.0,0.131,FAUC,0.461,53.35,15.67,15.67
1H8,1.0,0.262,FAUC,0.662,53.35,17.8,17.8
1H8,1.0,0.524,FAUC,0.8059999999999999,53.35,17.85,17.85
1H8,1.0,0.262,FAUC,0.49,53.35,17.89,17.89
1H8,1.0,0.7859999999999999,FAUC,0.826,53.35,18.03,18.03
1H8,1.0,0.39299999999999996,FAUC,0.8640000000000001,53.35,18.98,18.98
1H8,1.0,0.262,FAUC,1.181,53.35,18.99,18.99
1H8,1.0,0.131,FAUC,0.40299999999999997,53.35,19.06,19.06
1H8,1.0,0.39299999999999996,FAUC,0.42200000000000004,53.35,19.07,19.07
1H8,1.0,0.262,FAUC,0.922,53.35,19.12,19.12
1H8,1.0,2.096,FAUC,1.156,53.35,19.5,19.5
1H8,1.0,0.262,FAUC,0.605,53.35,19.55,19.55
1H8,1.0,0.262,FAUC,0.7490000000000001,53.35,19.57,19.57
1H8,1.0,0.917,FAUC,1.1520000000000001,53.35,19.58,19.58
1H8,1.0,0.524,FAUC,1.195,53.35,19.6,19.6
1D4,2.0,1.239,FAUC,1.44,53.3915,29.87,5.87
1D4,2.0,0.31,FAUC,0.17300000000000001,53.3915,30.17,6.17
1D4,2.0,0.155,FAUC,0.34600000000000003,53.3915,30.18,6.18
1D4,2.0,0.31,FAUC,1.181,53.3915,31.16,7.16
1D4,2.0,0.62,FAUC,1.368,53.3915,31.19,7.19
1D4,2.0,0.155,FAUC,0.40299999999999997,53.3915,31.28,7.28
1D4,2.0,3.717,FAUC,1.104,53.3915,31.61,7.61
1D4,2.0,0.465,FAUC,1.056,53.3915,32.38,8.38
1D4,2.0,0.929,FAUC,1.68,53.3915,32.4,8.4
1D4,2.0,0.155,FAUC,0.34600000000000003,53.3915,32.519999999999996,8.52
1D4,2.0,0.155,FAUC,1.1520000000000001,53.3915,32.59,8.59
1D4,2.0,0.465,FAUC,0.634,53.3915,41.56,17.56
1D4,2.0,0.465,FAUC,1.709,53.3915,42.08,18.08
4E6,3.0,1.703,FAUC,1.298,53.338499999999996,50.21,2.21
4E6,3.0,0.262,FAUC,1.382,53.338499999999996,55.68,7.68
4E6,3.0,0.131,FAUC,0.5760000000000001,53.338499999999996,56.66,8.66
4E6,3.0,1.703,FAUC,0.04,53.338499999999996,56.87,8.87
4E6,3.0,13.494000000000002,FAUC,1.14,53.338499999999996,57.78,9.78
4E6,3.0,0.524,FAUC,1.6269999999999998,53.338499999999996,58.26,10.26
4E6,3.0,0.39299999999999996,FAUC,0.691,53.338499999999996,59.59,11.59
4E6,3.0,0.131,FAUC,0.40299999999999997,53.338499999999996,60.22,12.22
4E6,3.0,0.524,FAUC,0.7340000000000001,53.338499999999996,60.69,12.69
4E6,3.0,0.262,FAUC,1.094,53.338499999999996,60.69,12.69
4E6,3.0,0.524,FAUC,1.483,53.338499999999996,61.71,13.71
4E6,3.0,0.39299999999999996,FAUC,3.533,53.338499999999996,62.01,14.01
4E6,3.0,0.524,FAUC,1.21,53.338499999999996,62.44,14.44
4E6,3.0,0.39299999999999996,FAUC,1.248,53.338499999999996,65.37,17.37
4E6,3.0,0.655,FAUC,1.601,53.338499999999996,65.51,17.51
4E6,3.0,0.917,FAUC,1.218,53.338499999999996,65.53999999999999,17.54
4E6,3.0,0.262,FAUC,0.259,53.338499999999996,65.56,17.56
4E6,3.0,0.39299999999999996,FAUC,0.653,53.338499999999996,65.57,17.57
4E6,3.0,0.655,FAUC,1.014,53.338499999999996,65.58,17.58
4E6,3.0,0.524,FAUC,1.238,53.338499999999996,65.61,17.61
4E6,3.0,0.131,FAUC,0.634,53.338499999999996,65.63,17.63
4E6,3.0,0.262,FAUC,0.547,53.338499999999996,65.65,17.65
4E6,3.0,0.39299999999999996,FAUC,1.286,53.338499999999996,65.78999999999999,17.79
4E6,3.0,0.262,FAUC,0.49,53.338499999999996,65.82,17.82
4E6,3.0,0.7859999999999999,FAUC,0.97,53.338499999999996,65.83,17.83
4E6,3.0,0.131,FAUC,0.5760000000000001,53.338499999999996,65.94,17.94
4E6,3.0,0.917,FAUC,1.061,53.338499999999996,66.11,18.11
4E6,3.0,0.524,FAUC,0.95,53.338499999999996,66.53999999999999,18.54
4E6,3.0,0.131,FAUC,0.28800000000000003,53.338499999999996,66.55,18.55
4E6,3.0,0.131,FAUC,0.634,53.338499999999996,67.16,19.16
4E6,3.0,0.524,FAUC,1.037,53.338499999999996,67.17,19.17
4E6,3.0,0.39299999999999996,FAUC,1.459,53.338499999999996,67.23,19.23
4E6,3.0,0.524,FAUC,1.6269999999999998,53.338499999999996,67.4,19.4
4E6,3.0,0.131,FAUC,0.40299999999999997,53.338499999999996,67.44,19.44
4E6,3.0,0.917,FAUC,1.2670000000000001,53.338499999999996,67.62,19.62
4E6,3.0,0.131,FAUC,0.461,53.338499999999996,68.53,20.53
4E6,3.0,0.7859999999999999,FAUC,0.9309999999999999,53.338499999999996,68.65,20.65
4E6,3.0,0.655,FAUC,0.8640000000000001,53.338499999999996,68.72,20.72
4E6,3.0,1.179,FAUC,1.7469999999999999,53.338499999999996,68.74,20.74
4E6,3.0,1.179,FAUC,1.472,53.338499999999996,68.77,20.77
1E6,4.0,0.285,FAUC,0.20199999999999999,53.239999999999995,78.57,6.57
1E6,4.0,0.569,FAUC,0.086,53.239999999999995,80.42,8.42
1E6,4.0,0.997,FAUC,1.374,53.239999999999995,83.56,11.56
1E6,4.0,0.142,FAUC,0.518,53.239999999999995,83.62,11.62
1E6,4.0,0.42700000000000005,FAUC,1.171,53.239999999999995,84.03999999999999,12.04
1E6,4.0,0.569,FAUC,0.893,53.239999999999995,84.56,12.56
1E6,4.0,0.142,FAUC,0.40299999999999997,53.239999999999995,84.61,12.61
1E6,4.0,0.142,FAUC,0.691,53.239999999999995,84.64,12.64
1E6,4.0,0.42700000000000005,FAUC,1.056,53.239999999999995,84.71000000000001,12.71
1E6,4.0,0.285,FAUC,0.40299999999999997,53.239999999999995,85.28999999999999,13.29
1E6,4.0,0.142,FAUC,0.518,53.239999999999995,86.41,14.41
1E6,4.0,1.993,FAUC,0.889,53.239999999999995,86.42,14.42
1E6,4.0,0.569,FAUC,0.8059999999999999,53.239999999999995,86.47,14.47
1E6,4.0,1.851,FAUC,0.9129999999999999,53.239999999999995,86.49,14.49
1E6,4.0,0.142,FAUC,0.40299999999999997,53.239999999999995,86.53999999999999,14.54
1E6,4.0,0.285,FAUC,0.835,53.239999999999995,86.58,14.58
1E6,4.0,0.8540000000000001,FAUC,0.835,53.239999999999995,86.6,14.6
