Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H1,1.0,1.048,FAUC,3.256767,53.35,2.22,2.22,0.5,1.6283835,1.706545908
1H1,1.0,3.275,FAUC,1.3886492625,53.35,5.97,5.97,0.5,0.69432463125,2.2739131673437503
1H1,1.0,0.131,FAUC,1.0426177687500002,53.35,6.22,6.22,0.5,0.5213088843750001,0.06829146385312501
1H1,1.0,1.4409999999999998,FAUC,3.93752176875,53.35,6.95,6.95,0.5,1.968760884375,2.8369844343843744
1H1,1.0,0.39299999999999996,FAUC,1.9540602000000005,53.35,6.96,6.96,0.5,0.9770301000000002,0.38397282930000004
1H1,1.0,1.703,FAUC,2.5104245625000003,53.35,6.99,6.99,0.5,1.2552122812500002,2.1376265149687503
1H1,1.0,1.4409999999999998,FAUC,3.807477253125,53.35,7.29,7.29,0.5,1.9037386265625,2.7432873608765624
1H1,1.0,1.834,FAUC,1.326454059375,53.35,7.33,7.33,0.5,0.6632270296875,1.2163583724468752
1H1,1.0,0.39299999999999996,FAUC,0.9770301000000002,53.35,7.39,7.39,0.5,0.4885150500000001,0.19198641465000002
1H1,1.0,0.131,FAUC,0.9770301000000002,53.35,7.45,7.45,0.5,0.4885150500000001,0.06399547155000002
1H1,1.0,0.917,FAUC,2.0196478687500004,53.35,7.46,7.46,0.5,1.0098239343750002,0.9260085478218751
1H1,1.0,0.262,FAUC,1.9540602000000005,53.35,7.79,7.79,0.5,0.9770301000000002,0.25598188620000006
1H1,1.0,0.131,FAUC,0.5213088843750001,53.35,7.86,7.86,0.5,0.26065444218750006,0.034145731926562506
1H1,1.0,0.131,FAUC,0.9770301000000002,53.35,7.89,7.89,0.5,0.4885150500000001,0.06399547155000002
1H1,1.0,0.262,FAUC,1.46554515,53.35,7.9,7.9,0.5,0.732772575,0.19198641465000002
1H1,1.0,0.262,FAUC,0.781397915625,53.35,7.96,7.96,0.5,0.3906989578125,0.102363126946875
1H1,1.0,0.262,FAUC,3.908120400000001,53.35,7.97,7.97,0.5,1.9540602000000005,0.5119637724000001
1H1,1.0,1.5719999999999998,FAUC,1.8296697937500002,53.35,7.98,7.98,0.5,0.9148348968750001,1.4381204578875
1H1,1.0,0.524,FAUC,1.8240156843750004,53.35,8.02,8.02,0.5,0.9120078421875002,0.47789210930625015
1H1,1.0,0.262,FAUC,1.46554515,53.35,8.03,8.03,0.5,0.732772575,0.19198641465000002
1H1,1.0,0.39299999999999996,FAUC,1.9540602000000005,53.35,8.06,8.06,0.5,0.9770301000000002,0.38397282930000004
1H1,1.0,0.262,FAUC,0.7486040812500001,53.35,8.19,8.19,0.5,0.37430204062500005,0.09806713464375001
1H1,1.0,0.524,FAUC,3.40377384375,53.35,8.4,8.4,0.5,1.701886921875,0.8917887470625001
1H1,1.0,0.917,FAUC,3.34044781875,53.35,8.41,8.41,0.5,1.670223909375,1.531595324896875
1H1,1.0,0.524,FAUC,1.9540602000000005,53.35,8.44,8.44,0.5,0.9770301000000002,0.5119637724000001
1H1,1.0,1.048,FAUC,1.946144446875,53.35,8.46,8.46,0.5,0.9730722234375,1.0197796901625
1H1,1.0,0.655,FAUC,2.8270546875000004,53.35,8.98,8.98,0.5,1.4135273437500002,0.9258604101562502
1H1,1.0,1.179,FAUC,5.304685415625,53.35,9.13,9.13,0.5,2.6523427078125,3.1271120525109377
1H1,1.0,1.5719999999999998,FAUC,2.6438615437500004,53.35,9.25,9.25,0.5,1.3219307718750002,2.0780751733875
1H1,1.0,0.262,FAUC,2.1824862187500003,53.35,10.01,10.01,0.5,1.0912431093750001,0.28590569465625004
1H1,1.0,0.39299999999999996,FAUC,1.3027068000000002,53.35,10.05,10.05,0.5,0.6513534000000001,0.2559818862
1H1,1.0,0.262,FAUC,1.46554515,53.35,10.2,10.2,0.5,0.732772575,0.19198641465000002
