Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H4,1.0,1.31,FAUC,2.2618196059200004,53.35,5.93,5.93,0.5,1.1309098029600002,1.4814918418776002
1H4,1.0,0.131,FAUC,0.7476504849600001,53.35,6.48,6.48,0.5,0.37382524248000004,0.04897110676488001
1H4,1.0,0.131,FAUC,0.6792534374400001,53.35,7.07,7.07,0.5,0.33962671872000005,0.04449110015232001
1H4,1.0,0.655,FAUC,1.5082728237600003,53.35,7.08,7.08,0.5,0.7541364118800001,0.49395934978140005
1H4,1.0,0.524,FAUC,1.2570905630399998,53.35,7.23,7.23,0.5,0.6285452815199999,0.32935772751648
1H4,1.0,0.262,FAUC,1.22289203928,53.35,7.28,7.28,0.5,0.61144601964,0.16019885714568
1H4,1.0,0.131,FAUC,0.8832653205600002,53.35,7.31,7.31,0.5,0.4416326602800001,0.05785387849668001
1H4,1.0,0.655,FAUC,3.1792834502400003,53.35,7.67,7.67,0.5,1.5896417251200001,1.0412153299536002
1H4,1.0,0.262,FAUC,1.2901098273600002,53.35,7.95,7.95,0.5,0.6450549136800001,0.16900438738416004
1H4,1.0,0.39299999999999996,FAUC,0.95048310864,53.35,8.16,8.16,0.5,0.47524155432,0.18676993084775997
1H4,1.0,1.179,FAUC,2.5507381687200006,53.35,8.25,8.25,0.5,1.2753690843600003,1.5036601504604403
1H4,1.0,0.131,FAUC,1.4269039224,53.35,9.33,9.33,0.5,0.7134519612,0.09346220691720002
1H4,1.0,0.131,FAUC,1.1544949917600003,53.35,9.87,9.87,0.5,0.5772474958800001,0.07561942196028001
1H4,1.0,0.131,FAUC,0.6792534374400001,53.35,11.29,11.29,0.5,0.33962671872000005,0.04449110015232001
1H4,1.0,0.131,FAUC,1.01888015616,53.35,11.73,11.73,0.5,0.50944007808,0.06673665022848002
1H4,1.0,0.262,FAUC,0.7806697492800001,53.35,11.97,11.97,0.5,0.39033487464000005,0.10226773715568001
1H4,1.0,0.524,FAUC,2.51300186664,53.35,12.14,12.14,0.5,1.25650093332,0.65840648905968
1H4,1.0,0.131,FAUC,0.61085638992,53.35,12.52,12.52,0.5,0.30542819496,0.040011093539760005
1H4,1.0,0.7859999999999999,FAUC,1.6415291404799999,53.35,12.53,12.53,0.5,0.8207645702399999,0.6451209522086399
1H4,1.0,0.7859999999999999,FAUC,1.3361009455200001,53.35,12.55,12.55,0.5,0.6680504727600001,0.52508767158936
1H4,1.0,0.131,FAUC,1.562518758,53.35,12.58,12.58,0.5,0.781259379,0.10234497864900001
1H4,1.0,0.655,FAUC,1.60261357896,53.35,12.59,12.59,0.5,0.80130678948,0.5248559471094001
1H4,1.0,0.262,FAUC,2.07195883608,53.35,14.45,14.45,0.5,1.03597941804,0.27142660752648
1H4,1.0,0.262,FAUC,1.4269039224,53.35,16.06,16.06,0.5,0.7134519612,0.18692441383440003
1H4,1.0,0.131,FAUC,0.7476504849600001,53.35,17.13,17.13,0.5,0.37382524248000004,0.04897110676488001
1H4,1.0,0.524,FAUC,2.61559743792,53.35,17.15,17.15,0.5,1.30779871896,0.68528652873504
1H4,1.0,0.131,FAUC,0.81486827304,53.35,17.17,17.17,0.5,0.40743413652,0.053373871884119996
1H4,1.0,0.131,FAUC,0.8832653205600002,53.35,17.21,17.21,0.5,0.4416326602800001,0.05785387849668001
1H4,1.0,0.262,FAUC,1.01888015616,53.35,17.53,17.53,0.5,0.50944007808,0.13347330045696004
1H4,1.0,1.179,FAUC,1.7736061977600002,53.35,20.04,20.04,0.5,0.8868030988800001,1.04554085357952
