Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
1H7,1.0,0.16699999999999998,FAUC,0.61085638992,53.35,6.92,6.92,0.5,0.30542819496,0.05100650855832
1H7,1.0,0.833,FAUC,1.7936536082399999,53.35,7.27,7.27,0.5,0.8968268041199999,0.7470567278319599
1H7,1.0,0.16699999999999998,FAUC,0.40802376624000003,53.35,7.91,7.91,0.5,0.20401188312000001,0.034069984481040004
1H7,1.0,2.667,FAUC,1.8596921368800001,53.35,7.92,7.92,0.5,0.9298460684400001,2.47989946452948
1H7,1.0,0.16699999999999998,FAUC,1.08727720368,53.35,7.98,7.98,0.5,0.54363860184,0.09078764650728001
1H7,1.0,0.16699999999999998,FAUC,1.08727720368,53.35,7.98,7.98,0.5,0.54363860184,0.09078764650728001
1H7,1.0,0.16699999999999998,FAUC,0.7476504849600001,53.35,8.0,8.0,0.5,0.37382524248000004,0.062428815494159996
1H7,1.0,0.16699999999999998,FAUC,1.1544949917600003,53.35,8.02,8.02,0.5,0.5772474958800001,0.09640033181196
1H7,1.0,0.16699999999999998,FAUC,0.61085638992,53.35,8.02,8.02,0.5,0.30542819496,0.05100650855832
1H7,1.0,0.33299999999999996,FAUC,0.8832653205600002,53.35,8.07,8.07,0.5,0.4416326602800001,0.14706367587324
1H7,1.0,0.33299999999999996,FAUC,0.95048310864,53.35,8.08,8.08,0.5,0.47524155432,0.15825543758855998
1H7,1.0,0.16699999999999998,FAUC,0.7476504849600001,53.35,8.27,8.27,0.5,0.37382524248000004,0.062428815494159996
1H7,1.0,2.0,FAUC,0.54363860184,53.35,8.79,8.79,0.5,0.27181930092,0.54363860184
1H7,1.0,0.833,FAUC,0.69340455072,53.35,8.83,8.83,0.5,0.34670227536,0.28880299537487997
1H7,1.0,0.33299999999999996,FAUC,0.5778371256,53.35,8.87,8.87,0.5,0.2889185628,0.09620988141239999
1H7,1.0,0.33299999999999996,FAUC,0.8490667968,53.35,9.76,9.76,0.5,0.4245333984,0.1413696216672
1H7,1.0,0.33299999999999996,FAUC,1.9363440004799999,53.35,9.94,9.94,0.5,0.9681720002399999,0.3224012760799199
1H7,1.0,0.33299999999999996,FAUC,0.7806697492800001,53.35,9.97,9.97,0.5,0.39033487464000005,0.12998151325512
1H7,1.0,0.16699999999999998,FAUC,1.1544949917600003,53.35,9.98,9.98,0.5,0.5772474958800001,0.09640033181196
1H7,1.0,0.33299999999999996,FAUC,0.8832653205600002,53.35,10.21,10.21,0.5,0.4416326602800001,0.14706367587324
1H7,1.0,0.16699999999999998,FAUC,0.40802376624000003,53.35,11.18,11.18,0.5,0.20401188312000001,0.034069984481040004
1H7,1.0,0.16699999999999998,FAUC,0.81486827304,53.35,14.06,14.06,0.5,0.40743413652,0.06804150079883999
1H7,1.0,1.6669999999999998,FAUC,1.92926844384,53.35,14.08,14.08,0.5,0.96463422192,1.60804524794064
1H7,1.0,1.0,FAUC,1.06369201488,53.35,14.26,14.26,0.5,0.53184600744,0.53184600744
1H7,1.0,1.167,FAUC,1.91157955224,53.35,15.07,15.07,0.5,0.95578977612,1.11540666873204
1H7,1.0,1.0,FAUC,1.5967172817600002,53.35,15.27,15.27,0.5,0.7983586408800001,0.7983586408800001
1H7,1.0,0.33299999999999996,FAUC,1.9363440004799999,53.35,15.31,15.31,0.5,0.9681720002399999,0.3224012760799199
1H7,1.0,0.5,FAUC,1.1544949917600003,53.35,15.34,15.34,0.5,0.5772474958800001,0.28862374794000006
1H7,1.0,0.16699999999999998,FAUC,0.54363860184,53.35,15.35,15.35,0.5,0.27181930092,0.045393823253640005
1H7,1.0,0.33299999999999996,FAUC,0.6792534374400001,53.35,15.56,15.56,0.5,0.33962671872000005,0.11309569733376001
1H7,1.0,0.16699999999999998,FAUC,0.61085638992,53.35,15.63,15.63,0.5,0.30542819496,0.05100650855832
1H7,1.0,0.33299999999999996,FAUC,0.95048310864,53.35,15.64,15.64,0.5,0.47524155432,0.15825543758855998
1H7,1.0,0.5,FAUC,0.2712296712,53.35,15.8,15.8,0.5,0.1356148356,0.0678074178
1H7,1.0,0.33299999999999996,FAUC,0.5778371256,53.35,16.24,16.24,0.5,0.2889185628,0.09620988141239999
1H7,1.0,0.16699999999999998,FAUC,1.4941217104800002,53.35,17.13,17.13,0.5,0.7470608552400001,0.12475916282508001
1H7,1.0,0.33299999999999996,FAUC,0.8490667968,53.35,17.28,17.28,0.5,0.4245333984,0.1413696216672
