Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,2.78,2.78,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,4.87,4.87,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,14.673,SHWR,2.1950857200000002,53.35,5.57,5.57,0.83779399837794,1.8390296421411194,26.984081939136644
2H1,1.0,0.131,FAUC,0.6321846873600001,53.35,5.92,5.92,0.5,0.31609234368000005,0.04140809702208001
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,5.97,5.97,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,5.99,5.99,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,6.01,6.01,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,0.262,FAUC,1.13815194582,53.35,6.04,6.04,0.5,0.56907597291,0.14909790490242
2H1,1.0,0.131,FAUC,0.6958421732400001,53.35,6.09,6.09,0.5,0.34792108662000004,0.04557766234722001
2H1,1.0,0.917,FAUC,1.1557126315800001,53.35,6.11,6.11,0.5,0.5778563157900001,0.52989424157943
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,6.14,6.14,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,0.524,FAUC,1.4377811466000001,53.35,6.18,6.18,0.5,0.7188905733000001,0.3766986604092001
2H1,1.0,0.262,FAUC,1.13815194582,53.35,6.19,6.19,0.5,0.56907597291,0.14909790490242
2H1,1.0,0.131,FAUC,0.9482770310400002,53.35,6.21,6.21,0.5,0.4741385155200001,0.06211214553312002
2H1,1.0,0.131,FAUC,0.6958421732400001,53.35,6.25,6.25,0.5,0.34792108662000004,0.04557766234722001
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,6.27,6.27,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.6321846873600001,53.35,6.28,6.28,0.5,0.31609234368000005,0.04140809702208001
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,6.3,6.3,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,6.34,6.34,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.655,FAUC,1.1249814315,53.35,6.35,6.35,0.5,0.56249071575,0.36843141881625
2H1,1.0,0.262,FAUC,0.5059672584600001,53.35,6.75,6.75,0.5,0.25298362923000006,0.06628171085826001
2H1,1.0,0.131,FAUC,0.6321846873600001,53.35,6.88,6.88,0.5,0.31609234368000005,0.04140809702208001
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,6.97,6.97,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,0.917,FAUC,1.8789933763200002,53.35,7.14,7.14,0.5,0.9394966881600001,0.8615184630427201
2H1,1.0,0.524,FAUC,1.51680423252,53.35,7.16,7.16,0.5,0.75840211626,0.39740270892024
2H1,1.0,0.39299999999999996,FAUC,0.9482770310400002,53.35,7.19,7.19,0.5,0.4741385155200001,0.18633643659936003
2H1,1.0,0.131,FAUC,0.6321846873600001,53.35,7.22,7.22,0.5,0.31609234368000005,0.04140809702208001
2H1,1.0,0.262,FAUC,0.6640134303,53.35,7.27,7.27,0.5,0.33200671515,0.08698575936930002
2H1,1.0,0.262,FAUC,0.41048102964000005,53.35,7.32,7.32,0.5,0.20524051482000003,0.05377301488284001
2H1,1.0,0.131,FAUC,0.8220596021400002,53.35,7.36,7.36,0.5,0.4110298010700001,0.05384490394017001
2H1,1.0,0.131,FAUC,1.3280268606,53.35,7.45,7.45,0.5,0.6640134303,0.08698575936930002
2H1,1.0,0.131,FAUC,0.9482770310400002,53.35,7.52,7.52,0.5,0.4741385155200001,0.06211214553312002
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,7.59,7.59,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,1.965,FAUC,1.5672912040800004,53.35,7.95,7.95,0.5,0.7836456020400002,1.5398636080086006
2H1,1.0,0.131,FAUC,0.75840211626,53.35,8.04,8.04,0.5,0.37920105813,0.04967533861503
2H1,1.0,0.262,FAUC,1.0119345169200002,53.35,8.05,8.05,0.5,0.5059672584600001,0.13256342171652002
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,8.07,8.07,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.655,FAUC,0.79681611636,53.35,8.13,8.13,0.5,0.39840805818,0.26095727810790004
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,8.15,8.15,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.262,FAUC,0.4741385155200001,53.35,8.18,8.18,0.5,0.23706925776000004,0.06211214553312002
2H1,1.0,0.262,FAUC,0.7902308592,53.35,8.21,8.21,0.5,0.3951154296,0.10352024255520001
2H1,1.0,1.179,FAUC,0.73096354476,53.35,8.23,8.23,0.5,0.36548177238,0.43090300963602
2H1,1.0,1.965,FAUC,0.6190141730400001,53.35,8.27,8.27,0.5,0.30950708652000003,0.6081814250118001
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,8.32,8.32,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.6958421732400001,53.35,8.33,8.33,0.5,0.34792108662000004,0.04557766234722001
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,8.39,8.39,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,8.44,8.44,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,0.524,FAUC,0.58499034438,53.35,8.46,8.46,0.5,0.29249517219,0.15326747022756002
2H1,1.0,0.131,FAUC,0.6321846873600001,53.35,8.59,8.59,0.5,0.31609234368000005,0.04140809702208001
2H1,1.0,0.131,FAUC,1.5804617184,53.35,8.76,8.76,0.5,0.7902308592,0.10352024255520001
2H1,1.0,0.39299999999999996,FAUC,1.4333909751600002,53.35,8.8,8.8,0.5,0.7166954875800001,0.28166132661894
2H1,1.0,1.048,FAUC,1.37522120358,53.35,10.15,10.15,0.5,0.68761060179,0.72061591067592
2H1,1.0,0.39299999999999996,FAUC,1.0953477742800002,53.35,10.19,10.19,0.5,0.5476738871400001,0.21523583764602
2H1,1.0,0.131,FAUC,1.3280268606,53.35,10.22,10.22,0.5,0.6640134303,0.08698575936930002
2H1,1.0,0.131,FAUC,1.3280268606,53.35,10.24,10.24,0.5,0.6640134303,0.08698575936930002
2H1,1.0,0.655,FAUC,1.71984966162,53.35,11.05,11.05,0.5,0.85992483081,0.5632507641805501
2H1,1.0,0.524,FAUC,1.59582731844,53.35,11.22,11.22,0.5,0.79791365922,0.41810675743128006
2H1,1.0,0.131,FAUC,0.6321846873600001,53.35,13.07,13.07,0.5,0.31609234368000005,0.04140809702208001
2H1,1.0,0.131,FAUC,0.6958421732400001,53.35,13.51,13.51,0.5,0.34792108662000004,0.04557766234722001
2H1,1.0,0.262,FAUC,0.5685272014800001,53.35,13.62,13.62,0.5,0.28426360074000007,0.07447706339388001
2H1,1.0,0.131,FAUC,1.3280268606,53.35,13.65,13.65,0.5,0.6640134303,0.08698575936930002
2H1,1.0,1.703,FAUC,1.2841251462,53.35,13.9,13.9,0.5,0.6420625731,1.0934325619893002
2H1,1.0,0.262,FAUC,0.34792108662000004,53.35,14.04,14.04,0.5,0.17396054331000002,0.04557766234722001
2H1,1.0,0.131,FAUC,0.5059672584600001,53.35,14.06,14.06,0.5,0.25298362923000006,0.033140855429130006
2H1,1.0,0.131,FAUC,1.0119345169200002,53.35,14.07,14.07,0.5,0.5059672584600001,0.06628171085826001
2H1,1.0,0.131,FAUC,1.0119345169200002,53.35,14.09,14.09,0.5,0.5059672584600001,0.06628171085826001
2H1,1.0,0.131,FAUC,1.3280268606,53.35,14.09,14.09,0.5,0.6640134303,0.08698575936930002
2H1,1.0,0.655,FAUC,0.9482770310400002,53.35,14.12,14.12,0.5,0.4741385155200001,0.31056072766560006
2H1,1.0,0.262,FAUC,0.6321846873600001,53.35,14.73,14.73,0.5,0.31609234368000005,0.08281619404416002
2H1,1.0,1.5719999999999998,FAUC,1.5694862898000002,53.35,14.96,14.96,0.5,0.7847431449000001,1.2336162237828
2H1,1.0,1.31,FAUC,3.4517722947000005,53.35,15.04,15.04,0.5,1.7258861473500002,2.2609108530285003
2H1,1.0,1.4409999999999998,FAUC,1.1776634887800002,53.35,15.26,15.26,0.5,0.5888317443900001,0.8485065436659899
2H1,1.0,0.131,FAUC,1.4542442895,53.35,16.37,16.37,0.5,0.72712214475,0.09525300096225002
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,16.38,16.38,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.131,FAUC,0.9482770310400002,53.35,16.45,16.45,0.5,0.4741385155200001,0.06211214553312002
2H1,1.0,0.39299999999999996,FAUC,1.2435160603800002,53.35,16.7,16.7,0.5,0.6217580301900001,0.24435090586467
2H1,1.0,0.917,FAUC,1.2369308032200002,53.35,16.71,16.71,0.5,0.6184654016100001,0.5671327732763701
2H1,1.0,4.585,SHWR,2.1950857200000002,53.35,16.87,16.87,0.83779399837794,1.8390296421411194,8.431950909217033
2H1,1.0,0.262,FAUC,1.3905868036200002,53.35,17.03,17.03,0.5,0.6952934018100001,0.18216687127422004
2H1,1.0,0.262,FAUC,0.7902308592,53.35,17.13,17.13,0.5,0.3951154296,0.10352024255520001
2H1,1.0,0.131,FAUC,0.3797498295600001,53.35,18.34,18.34,0.5,0.18987491478000004,0.024873613836180006
2H1,1.0,0.262,FAUC,0.8846195451600001,53.35,18.37,18.37,0.5,0.44230977258000004,0.11588516041596002
2H1,1.0,0.262,FAUC,0.8220596021400002,53.35,18.38,18.38,0.5,0.4110298010700001,0.10768980788034002
2H1,1.0,0.262,FAUC,0.4741385155200001,53.35,18.43,18.43,0.5,0.23706925776000004,0.06211214553312002
