Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,2.78,2.78,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,4.87,4.87,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,14.673,SHWR,2.26164375,53.35,5.57,5.57,0.83779399837794,1.8947915602189782,27.802276563093066
2H1,1.0,0.131,FAUC,0.6513534000000001,53.35,5.92,5.92,0.5,0.32567670000000004,0.04266364770000001
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,5.97,5.97,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,5.99,5.99,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.131,FAUC,0.5213088843750001,53.35,6.01,6.01,0.5,0.26065444218750006,0.034145731926562506
2H1,1.0,0.262,FAUC,1.172662284375,53.35,6.04,6.04,0.5,0.5863311421875,0.15361875925312501
2H1,1.0,0.131,FAUC,0.7169410687500001,53.35,6.09,6.09,0.5,0.35847053437500004,0.046959640003125004
2H1,1.0,0.917,FAUC,1.190755434375,53.35,6.11,6.11,0.5,0.5953777171875,0.5459613666609375
2H1,1.0,0.131,FAUC,0.5213088843750001,53.35,6.14,6.14,0.5,0.26065444218750006,0.034145731926562506
2H1,1.0,0.524,FAUC,1.4813766562500001,53.35,6.18,6.18,0.5,0.7406883281250001,0.38812068393750004
2H1,1.0,0.262,FAUC,1.172662284375,53.35,6.19,6.19,0.5,0.5863311421875,0.15361875925312501
2H1,1.0,0.131,FAUC,0.9770301000000002,53.35,6.21,6.21,0.5,0.4885150500000001,0.06399547155000002
2H1,1.0,0.131,FAUC,0.7169410687500001,53.35,6.25,6.25,0.5,0.35847053437500004,0.046959640003125004
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,6.27,6.27,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.131,FAUC,0.6513534000000001,53.35,6.28,6.28,0.5,0.32567670000000004,0.04266364770000001
2H1,1.0,0.131,FAUC,0.5213088843750001,53.35,6.3,6.3,0.5,0.26065444218750006,0.034145731926562506
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,6.34,6.34,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.655,FAUC,1.159092421875,53.35,6.35,6.35,0.5,0.5795462109375,0.3796027681640625
2H1,1.0,0.262,FAUC,0.5213088843750001,53.35,6.75,6.75,0.5,0.26065444218750006,0.06829146385312501
2H1,1.0,0.131,FAUC,0.6513534000000001,53.35,6.88,6.88,0.5,0.32567670000000004,0.04266364770000001
2H1,1.0,0.131,FAUC,0.5213088843750001,53.35,6.97,6.97,0.5,0.26065444218750006,0.034145731926562506
2H1,1.0,0.917,FAUC,1.9359670500000001,53.35,7.14,7.14,0.5,0.9679835250000001,0.887640892425
2H1,1.0,0.524,FAUC,1.56279583125,53.35,7.16,7.16,0.5,0.781397915625,0.4094525077875
2H1,1.0,0.39299999999999996,FAUC,0.9770301000000002,53.35,7.19,7.19,0.5,0.4885150500000001,0.19198641465000002
2H1,1.0,0.131,FAUC,0.6513534000000001,53.35,7.22,7.22,0.5,0.32567670000000004,0.04266364770000001
2H1,1.0,0.262,FAUC,0.684147234375,53.35,7.27,7.27,0.5,0.3420736171875,0.08962328770312501
2H1,1.0,0.262,FAUC,0.42292738125,53.35,7.32,7.32,0.5,0.211463690625,0.05540348694375001
2H1,1.0,0.131,FAUC,0.8469855843750002,53.35,7.36,7.36,0.5,0.4234927921875001,0.055477555776562514
2H1,1.0,0.131,FAUC,1.36829446875,53.35,7.45,7.45,0.5,0.684147234375,0.08962328770312501
2H1,1.0,0.131,FAUC,0.9770301000000002,53.35,7.52,7.52,0.5,0.4885150500000001,0.06399547155000002
2H1,1.0,0.131,FAUC,0.5213088843750001,53.35,7.59,7.59,0.5,0.26065444218750006,0.034145731926562506
2H1,1.0,1.965,FAUC,1.6148136375000004,53.35,7.95,7.95,0.5,0.8074068187500002,1.5865543988437505
2H1,1.0,0.131,FAUC,0.781397915625,53.35,8.04,8.04,0.5,0.3906989578125,0.0511815634734375
2H1,1.0,0.262,FAUC,1.0426177687500002,53.35,8.05,8.05,0.5,0.5213088843750001,0.13658292770625002
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,8.07,8.07,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.655,FAUC,0.82097668125,53.35,8.13,8.13,0.5,0.410488340625,0.26886986310937505
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,8.15,8.15,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.262,FAUC,0.4885150500000001,53.35,8.18,8.18,0.5,0.24425752500000006,0.06399547155000002
2H1,1.0,0.262,FAUC,0.81419175,53.35,8.21,8.21,0.5,0.407095875,0.10665911925
2H1,1.0,1.179,FAUC,0.75312736875,53.35,8.23,8.23,0.5,0.376563684375,0.443968583878125
2H1,1.0,1.965,FAUC,0.6377835374999999,53.35,8.27,8.27,0.5,0.31889176874999997,0.6266223255937501
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,8.32,8.32,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.131,FAUC,0.7169410687500001,53.35,8.33,8.33,0.5,0.35847053437500004,0.046959640003125004
2H1,1.0,0.131,FAUC,0.3912643687500001,53.35,8.39,8.39,0.5,0.19563218437500005,0.025627816153125003
2H1,1.0,0.131,FAUC,0.5213088843750001,53.35,8.44,8.44,0.5,0.26065444218750006,0.034145731926562506
2H1,1.0,0.524,FAUC,0.602728059375,53.35,8.46,8.46,0.5,0.3013640296875,0.15791475155625
2H1,1.0,0.131,FAUC,0.6513534000000001,53.35,8.59,8.59,0.5,0.32567670000000004,0.04266364770000001
2H1,1.0,0.131,FAUC,1.6283835,53.35,8.76,8.76,0.5,0.81419175,0.10665911925
