Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H3,1.0,7.992000000000001,SHWR,2.35851888,53.35,7.78,7.78,0.83779399837794,1.975952962725061,15.79181607809869
2H3,1.0,0.131,FAUC,0.40802376624000003,53.35,8.07,8.07,0.5,0.20401188312000001,0.026725556688720006
2H3,1.0,0.39299999999999996,FAUC,0.6792534374400001,53.35,8.11,8.11,0.5,0.33962671872000005,0.13347330045696001
2H3,1.0,0.131,FAUC,0.95048310864,53.35,8.22,8.22,0.5,0.47524155432,0.06225664361592
2H3,1.0,0.39299999999999996,FAUC,1.3585068748800002,53.35,8.35,8.35,0.5,0.6792534374400001,0.26694660091392003
2H3,1.0,0.39299999999999996,FAUC,1.0412860855200001,53.35,8.92,8.92,0.5,0.5206430427600001,0.20461271580468
2H3,1.0,0.39299999999999996,FAUC,1.17690092112,53.35,9.2,9.2,0.5,0.58845046056,0.23126103100007997
2H3,1.0,0.131,FAUC,1.4941217104800002,53.35,9.31,9.31,0.5,0.7470608552400001,0.09786497203644001
2H3,1.0,0.131,FAUC,1.1544949917600003,53.35,9.33,9.33,0.5,0.5772474958800001,0.07561942196028001
2H3,1.0,0.262,FAUC,1.120296468,53.35,9.49,9.49,0.5,0.560148234,0.14675883730800002
2H3,1.0,0.131,FAUC,0.61085638992,53.35,9.67,9.67,0.5,0.30542819496,0.040011093539760005
2H3,1.0,0.262,FAUC,0.8490667968,53.35,10.83,10.83,0.5,0.4245333984,0.1112277503808
2H3,1.0,0.524,FAUC,1.8337484292,53.35,11.23,11.23,0.5,0.9168742146,0.48044208845040004
2H3,1.0,0.262,FAUC,0.5778371256,53.35,12.12,12.12,0.5,0.2889185628,0.0756966634536
2H3,1.0,0.39299999999999996,FAUC,0.8832653205600002,53.35,13.93,13.93,0.5,0.4416326602800001,0.17356163549004003
2H3,1.0,0.39299999999999996,FAUC,1.4717157811200001,53.35,15.34,15.34,0.5,0.7358578905600001,0.28919215099008
2H3,1.0,0.131,FAUC,0.54363860184,53.35,16.52,16.52,0.5,0.27181930092,0.03560832842052
2H3,1.0,0.524,FAUC,1.6132269139200002,53.35,17.02,17.02,0.5,0.8066134569600001,0.4226654514470401
2H3,1.0,0.131,FAUC,0.54363860184,53.35,17.05,17.05,0.5,0.27181930092,0.03560832842052
2H3,1.0,0.131,FAUC,0.61085638992,53.35,17.23,17.23,0.5,0.30542819496,0.040011093539760005
2H3,1.0,0.131,FAUC,1.4941217104800002,53.35,17.46,17.46,0.5,0.7470608552400001,0.09786497203644001
2H3,1.0,0.131,FAUC,0.8832653205600002,53.35,17.58,17.58,0.5,0.4416326602800001,0.05785387849668001
2H3,1.0,0.262,FAUC,0.7476504849600001,53.35,18.28,18.28,0.5,0.37382524248000004,0.09794221352976001
2H3,1.0,0.131,FAUC,0.61085638992,53.35,22.22,22.22,0.5,0.30542819496,0.040011093539760005
2H3,1.0,0.262,FAUC,0.7134519612,53.35,22.98,22.98,0.5,0.3567259806,0.09346220691720002
2H3,1.0,0.262,FAUC,0.54363860184,53.35,22.99,22.99,0.5,0.27181930092,0.07121665684104
2H3,1.0,0.131,FAUC,0.8832653205600002,53.35,23.09,23.09,0.5,0.4416326602800001,0.05785387849668001
2D4,2.0,4.476,SHWR,2.35851888,53.3915,32.47,8.47,0.8376847350609088,1.9756952631289515,8.843211997765186
2D4,2.0,0.249,FAUC,0.61085638992,53.3915,32.78,8.78,0.5,0.30542819496,0.07605162054504001
2D4,2.0,0.124,FAUC,0.33962671872000005,53.3915,33.269999999999996,9.27,0.5,0.16981335936000003,0.021056856560640002
2D4,2.0,1.6159999999999999,FAUC,1.2594490819200002,53.3915,33.46,9.46,0.5,0.6297245409600001,1.01763485819136
2D4,2.0,0.124,FAUC,0.81486827304,53.3915,33.94,9.94,0.5,0.40743413652,0.05052183292848
2D4,2.0,0.124,FAUC,0.6792534374400001,53.3915,33.95,9.95,0.5,0.33962671872000005,0.042113713121280004
2D4,2.0,1.492,FAUC,2.06606253888,53.3915,33.96,9.96,0.5,1.03303126944,1.54128265400448
2D4,2.0,0.373,FAUC,1.3585068748800002,53.3915,34.0,10.0,0.5,0.6792534374400001,0.25336153216512003
2D4,2.0,0.249,FAUC,0.81486827304,53.3915,37.269999999999996,13.27,0.5,0.40743413652,0.10145109999348
2D4,2.0,0.124,FAUC,0.95048310864,53.3915,37.28,13.28,0.5,0.47524155432,0.05892995273568
