Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
2H9,1.0,0.373,FAUC,0.31609234368000005,53.35,0.91,0.91,0.5,0.15804617184000003,0.05895122209632001
2H9,1.0,0.622,FAUC,0.7836456020400002,53.35,0.93,0.93,0.5,0.3918228010200001,0.24371378223444007
2H9,1.0,0.995,FAUC,0.33145794372000004,53.35,0.94,0.94,0.5,0.16572897186000002,0.1649003270007
2H9,1.0,0.87,FAUC,1.6891184615400003,53.35,1.0,1.0,0.5,0.8445592307700002,0.7347665307699002
2H9,1.0,0.995,FAUC,1.0514460598800002,53.35,1.31,1.31,0.5,0.5257230299400001,0.5230944147903
2H9,1.0,0.249,FAUC,0.75840211626,53.35,1.4,1.4,0.5,0.37920105813,0.09442106347437
2H9,1.0,0.249,FAUC,0.41048102964000005,53.35,1.41,1.41,0.5,0.20524051482000003,0.051104888190180005
2H9,1.0,0.249,FAUC,0.5377960014000001,53.35,6.13,6.13,0.5,0.26889800070000003,0.06695560217430001
2H9,1.0,0.249,FAUC,0.6958421732400001,53.35,6.87,6.87,0.5,0.34792108662000004,0.08663235056838
2H9,1.0,0.622,FAUC,2.0359420053000004,53.35,6.88,6.88,0.5,1.0179710026500002,0.6331779636483
2H9,1.0,0.622,FAUC,0.64535520168,53.35,6.92,6.92,0.5,0.32267760084,0.20070546772248002
2H9,1.0,0.249,FAUC,0.9801057739800001,53.35,6.92,6.92,0.5,0.49005288699000005,0.12202316886051001
2H9,1.0,0.249,FAUC,1.51680423252,53.35,7.09,7.09,0.5,0.75840211626,0.18884212694874
2H9,1.0,0.249,FAUC,1.5804617184,53.35,8.05,8.05,0.5,0.7902308592,0.19676748394080001
2H9,1.0,0.124,FAUC,0.3797498295600001,53.35,8.08,8.08,0.5,0.18987491478000004,0.023544489432720004
2H9,1.0,0.249,FAUC,0.41048102964000005,53.35,8.12,8.12,0.5,0.20524051482000003,0.051104888190180005
2H9,1.0,0.49700000000000005,FAUC,1.34339246064,53.35,8.16,8.16,0.5,0.67169623032,0.33383302646904006
2H9,1.0,0.124,FAUC,0.9482770310400002,53.35,8.19,8.19,0.5,0.4741385155200001,0.05879317592448001
2H9,1.0,1.368,FAUC,1.4421713180400002,53.35,8.36,8.36,0.5,0.7210856590200001,0.9864451815393602
2H9,1.0,1.492,FAUC,1.4224155465600001,53.35,8.39,8.39,0.5,0.7112077732800001,1.06112199773376
2H9,1.0,9.076,SHWR,2.1950857200000002,53.35,8.45,8.45,0.83779399837794,1.8390296421411194,16.691033032072802
2H9,1.0,1.368,FAUC,1.1776634887800002,53.35,8.51,8.51,0.5,0.5888317443900001,0.8055218263255202
2H9,1.0,0.124,FAUC,0.44230977258000004,53.35,8.72,8.72,0.5,0.22115488629000002,0.02742320589996
2H9,1.0,0.124,FAUC,0.3797498295600001,53.35,8.76,8.76,0.5,0.18987491478000004,0.023544489432720004
2H9,1.0,0.249,FAUC,0.5685272014800001,53.35,9.29,9.29,0.5,0.28426360074000007,0.07078163658426001
2H9,1.0,0.124,FAUC,0.31609234368000005,53.35,9.34,9.34,0.5,0.15804617184000003,0.01959772530816
