Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
3H1,1.0,0.917,FAUC,1.31814897486,53.35,0.08,0.08,0.5,0.65907448743,0.60437130497331
3H1,1.0,9.04,SHWR,1.9646017194000003,53.35,0.19,0.19,0.83779399837794,1.645931529716302,14.879221028635369
3H1,1.0,0.262,FAUC,0.8846195451600001,53.35,0.39,0.39,0.5,0.44230977258000004,0.11588516041596002
3H1,1.0,1.5719999999999998,FAUC,1.59582731844,53.35,0.45,0.45,0.5,0.79791365922,1.2543202722938398
3H1,1.0,0.131,FAUC,1.4542442895,53.35,0.5,0.5,0.5,0.72712214475,0.09525300096225002
3H1,1.0,0.39299999999999996,FAUC,1.51680423252,53.35,5.83,5.83,0.5,0.75840211626,0.29805203169017996
3H1,1.0,0.7859999999999999,FAUC,0.8429129164800001,53.35,8.1,8.1,0.5,0.42145645824000005,0.33126477617664
3H1,1.0,0.262,FAUC,0.9801057739800001,53.35,8.18,8.18,0.5,0.49005288699000005,0.12839385639138
3H1,1.0,2.358,FAUC,0.9373016024400002,53.35,8.23,8.23,0.5,0.4686508012200001,1.1050785892767605
3H1,1.0,1.31,FAUC,1.46631726096,53.35,8.32,8.32,0.5,0.73315863048,0.9604378059288001
3H1,1.0,0.131,FAUC,0.9482770310400002,53.35,8.37,8.37,0.5,0.4741385155200001,0.06211214553312002
3H1,1.0,0.39299999999999996,FAUC,1.0536411456,53.35,8.44,8.44,0.5,0.5268205728,0.2070404851104
3H1,1.0,0.262,FAUC,0.8846195451600001,53.35,8.52,8.52,0.5,0.44230977258000004,0.11588516041596002
3H1,1.0,0.131,FAUC,1.0119345169200002,53.35,8.61,8.61,0.5,0.5059672584600001,0.06628171085826001
3H1,1.0,0.262,FAUC,1.0744944599400001,53.35,8.61,8.61,0.5,0.5372472299700001,0.14075877425214003
3H1,1.0,0.7859999999999999,FAUC,1.4860730324400002,53.35,8.62,8.62,0.5,0.7430365162200001,0.58402670174892
3H1,1.0,0.262,FAUC,0.5377960014000001,53.35,8.64,8.64,0.5,0.26889800070000003,0.07045127618340001
3H1,1.0,0.39299999999999996,FAUC,0.8220596021400002,53.35,8.65,8.65,0.5,0.4110298010700001,0.16153471182051005
3H1,1.0,0.39299999999999996,FAUC,0.9899836597200001,53.35,8.69,8.69,0.5,0.49499182986000007,0.19453178913498
3H1,1.0,0.262,FAUC,0.9801057739800001,53.35,8.7,8.7,0.5,0.49005288699000005,0.12839385639138
3H1,1.0,0.131,FAUC,0.8846195451600001,53.35,8.75,8.75,0.5,0.44230977258000004,0.05794258020798001
3H1,1.0,2.489,FAUC,1.9700894337000001,53.35,8.79,8.79,0.5,0.9850447168500001,2.4517763002396498
3H1,1.0,0.262,FAUC,0.44230977258000004,53.35,8.91,8.91,0.5,0.22115488629000002,0.05794258020798001
