Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr),Fraction Hot Water,Hot Water Flow Rate (gpm),Hot Water Volume (gal)
6H0,1.0,0.87,FAUC,1.0607109187500001,53.35,0.34,0.34,0.5,0.5303554593750001,0.46140924965624996
6H0,1.0,0.124,FAUC,0.781397915625,53.35,0.37,0.37,0.5,0.3906989578125,0.04844667076875
6H0,1.0,0.373,FAUC,0.672839015625,53.35,0.38,0.38,0.5,0.3364195078125,0.12548447641406252
6H0,1.0,0.249,FAUC,0.91144243125,53.35,0.55,0.55,0.5,0.455721215625,0.113474582690625
6H0,1.0,0.373,FAUC,0.8899568156250001,53.35,0.58,0.58,0.5,0.44497840781250003,0.16597694611406252
6H0,1.0,0.249,FAUC,0.3912643687500001,53.35,0.71,0.71,0.5,0.19563218437500005,0.04871241390937501
6H0,1.0,0.124,FAUC,1.0426177687500002,53.35,7.56,7.56,0.5,0.5213088843750001,0.0646423016625
6H0,1.0,0.124,FAUC,0.781397915625,53.35,7.84,7.84,0.5,0.3906989578125,0.04844667076875
6H0,1.0,0.249,FAUC,0.81419175,53.35,8.75,8.75,0.5,0.407095875,0.101366872875
6H0,1.0,0.124,FAUC,1.4327513156250002,53.35,11.0,11.0,0.5,0.7163756578125001,0.08883058156875002
6H0,1.0,0.124,FAUC,0.5857657312500001,53.35,11.92,11.92,0.5,0.29288286562500004,0.0363174753375
6H0,1.0,0.249,FAUC,1.20545611875,53.35,12.86,12.86,0.5,0.602728059375,0.150079286784375
6H0,1.0,0.124,FAUC,0.5857657312500001,53.35,12.95,12.95,0.5,0.29288286562500004,0.0363174753375
6H0,1.0,0.124,FAUC,0.5857657312500001,53.35,13.13,13.13,0.5,0.29288286562500004,0.0363174753375
6H0,1.0,0.249,FAUC,1.20545611875,53.35,13.36,13.36,0.5,0.602728059375,0.150079286784375
6H0,1.0,0.373,FAUC,0.738426684375,53.35,13.54,13.54,0.5,0.3692133421875,0.1377165766359375
6H0,1.0,0.249,FAUC,0.7169410687500001,53.35,13.56,13.56,0.5,0.35847053437500004,0.08925916305937501
6H0,1.0,7.46,SHWR,1.991377321875,53.35,13.62,13.62,0.83779399837794,1.6683639687728102,12.445995207045165
6H0,1.0,0.249,FAUC,0.3912643687500001,53.35,13.85,13.85,0.5,0.19563218437500005,0.04871241390937501
6H0,1.0,0.249,FAUC,0.781397915625,53.35,13.86,13.86,0.5,0.3906989578125,0.0972840404953125
6H0,1.0,0.249,FAUC,0.5213088843750001,53.35,13.88,13.88,0.5,0.26065444218750006,0.0649029561046875
6H0,1.0,0.124,FAUC,0.5857657312500001,53.35,13.89,13.89,0.5,0.29288286562500004,0.0363174753375
6H0,1.0,0.373,FAUC,0.672839015625,53.35,13.9,13.9,0.5,0.3364195078125,0.12548447641406252
6H0,1.0,0.49700000000000005,FAUC,1.058449275,53.35,13.95,13.95,0.5,0.5292246375,0.26302464483750004
6H0,1.0,0.622,FAUC,2.0580958125000004,53.35,15.24,15.24,0.5,1.0290479062500002,0.6400677976875
6H0,1.0,0.746,FAUC,0.60838216875,53.35,15.66,15.66,0.5,0.304191084375,0.22692654894374997
6H0,1.0,0.373,FAUC,0.60838216875,53.35,15.68,15.68,0.5,0.304191084375,0.11346327447187499
6H0,1.0,0.249,FAUC,0.6185595656250001,53.35,15.7,15.7,0.5,0.30927978281250007,0.07701066592031251
6H0,1.0,0.249,FAUC,1.0098239343750002,53.35,17.73,17.73,0.5,0.5049119671875001,0.1257230798296875
6H0,1.0,0.249,FAUC,0.7169410687500001,53.35,17.89,17.89,0.5,0.35847053437500004,0.08925916305937501
6H0,1.0,0.124,FAUC,1.2371191312500003,53.35,18.09,18.09,0.5,0.6185595656250001,0.07670138613750001
6H0,1.0,0.249,FAUC,0.81419175,53.35,19.76,19.76,0.5,0.407095875,0.101366872875
6H0,1.0,0.249,FAUC,0.7169410687500001,53.35,19.78,19.78,0.5,0.35847053437500004,0.08925916305937501
6H0,1.0,0.124,FAUC,0.781397915625,53.35,20.32,20.32,0.5,0.3906989578125,0.04844667076875
6H0,1.0,0.124,FAUC,0.5857657312500001,53.35,20.89,20.89,0.5,0.29288286562500004,0.0363174753375
6H0,1.0,0.87,FAUC,1.265389678125,53.35,20.91,20.91,0.5,0.6326948390625,0.550444509984375
6H0,1.0,0.373,FAUC,0.93405886875,53.35,20.98,20.98,0.5,0.467029434375,0.174201979021875
6H0,1.0,0.249,FAUC,0.81419175,53.35,21.03,21.03,0.5,0.407095875,0.101366872875
