Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
1H1,1.0,1.048,FAUC,2.88,53.35,2.22,2.22
1H1,1.0,3.275,FAUC,1.228,53.35,5.97,5.97
1H1,1.0,0.131,FAUC,0.922,53.35,6.22,6.22
1H1,1.0,1.4409999999999998,FAUC,3.4819999999999998,53.35,6.95,6.95
1H1,1.0,0.39299999999999996,FAUC,1.7280000000000002,53.35,6.96,6.96
1H1,1.0,1.703,FAUC,2.22,53.35,6.99,6.99
1H1,1.0,1.4409999999999998,FAUC,3.367,53.35,7.29,7.29
1H1,1.0,1.834,FAUC,1.173,53.35,7.33,7.33
1H1,1.0,0.39299999999999996,FAUC,0.8640000000000001,53.35,7.39,7.39
1H1,1.0,0.131,FAUC,0.8640000000000001,53.35,7.45,7.45
1H1,1.0,0.917,FAUC,1.786,53.35,7.46,7.46
1H1,1.0,0.262,FAUC,1.7280000000000002,53.35,7.79,7.79
1H1,1.0,0.131,FAUC,0.461,53.35,7.86,7.86
1H1,1.0,0.131,FAUC,0.8640000000000001,53.35,7.89,7.89
1H1,1.0,0.262,FAUC,1.296,53.35,7.9,7.9
1H1,1.0,0.262,FAUC,0.691,53.35,7.96,7.96
1H1,1.0,0.262,FAUC,3.4560000000000004,53.35,7.97,7.97
1H1,1.0,1.5719999999999998,FAUC,1.618,53.35,7.98,7.98
1H1,1.0,0.524,FAUC,1.6130000000000002,53.35,8.02,8.02
1H1,1.0,0.262,FAUC,1.296,53.35,8.03,8.03
1H1,1.0,0.39299999999999996,FAUC,1.7280000000000002,53.35,8.06,8.06
1H1,1.0,0.262,FAUC,0.662,53.35,8.19,8.19
1H1,1.0,4.0,CWSH,1.391,53.35,8.31,8.31
1H1,1.0,0.524,FAUC,3.01,53.35,8.4,8.4
1H1,1.0,0.917,FAUC,2.9539999999999997,53.35,8.41,8.41
1H1,1.0,0.524,FAUC,1.7280000000000002,53.35,8.44,8.44
1H1,1.0,1.048,FAUC,1.7209999999999999,53.35,8.46,8.46
1H1,1.0,1.167,CWSH,1.2670000000000001,53.35,8.59,8.59
1H1,1.0,4.167,CWSH,1.3459999999999999,53.35,8.62,8.62
1H1,1.0,0.655,FAUC,2.5,53.35,8.98,8.98
1H1,1.0,1.179,FAUC,4.691,53.35,9.13,9.13
1H1,1.0,1.5719999999999998,FAUC,2.338,53.35,9.25,9.25
1H1,1.0,0.262,FAUC,1.93,53.35,10.01,10.01
1H1,1.0,0.39299999999999996,FAUC,1.1520000000000001,53.35,10.05,10.05
1H1,1.0,0.262,FAUC,1.296,53.35,10.2,10.2
1H1,1.0,0.262,FAUC,0.8640000000000001,53.35,10.67,10.67
1H1,1.0,0.131,FAUC,0.8640000000000001,53.35,10.71,10.71
1H1,1.0,0.39299999999999996,FAUC,0.5760000000000001,53.35,10.92,10.92
1H1,1.0,0.262,FAUC,0.8640000000000001,53.35,11.01,11.01
1H1,1.0,0.262,FAUC,1.094,53.35,11.02,11.02
1H1,1.0,0.131,FAUC,1.2670000000000001,53.35,11.13,11.13
1H1,1.0,1.703,FAUC,2.481,53.35,11.22,11.22
1H1,1.0,0.131,FAUC,0.461,53.35,11.25,11.25
1H1,1.0,0.39299999999999996,FAUC,1.8619999999999999,53.35,11.44,11.44
1H1,1.0,0.131,FAUC,1.2670000000000001,53.35,11.46,11.46
1H1,1.0,0.262,FAUC,0.43200000000000005,53.35,11.63,11.63
1H1,1.0,0.262,FAUC,0.43200000000000005,53.35,13.84,13.84
1H1,1.0,0.262,FAUC,0.922,53.35,13.85,13.85
1H1,1.0,0.39299999999999996,FAUC,0.73,53.35,16.03,16.03
1H1,1.0,0.131,FAUC,0.28800000000000003,53.35,16.66,16.66
1H1,1.0,1.4409999999999998,FAUC,2.314,53.35,16.89,16.89
1H1,1.0,0.39299999999999996,FAUC,0.73,53.35,16.95,16.95
1H1,1.0,0.131,FAUC,0.8640000000000001,53.35,17.59,17.59
1H1,1.0,0.39299999999999996,FAUC,2.438,53.35,17.6,17.6
1H1,1.0,0.262,FAUC,1.4980000000000002,53.35,17.62,17.62
1H1,1.0,0.524,FAUC,0.9790000000000001,53.35,17.68,17.68
1H1,1.0,0.655,FAUC,2.408,53.35,17.73,17.73
1H1,1.0,0.262,FAUC,0.662,53.35,18.1,18.1
1H1,1.0,0.7859999999999999,FAUC,1.1520000000000001,53.35,18.23,18.23
1H1,1.0,0.262,FAUC,0.662,53.35,18.38,18.38
1H1,1.0,0.39299999999999996,FAUC,0.998,53.35,18.43,18.43
1H1,1.0,1.703,FAUC,1.2890000000000001,53.35,18.48,18.48
1H1,1.0,1.048,FAUC,1.4040000000000001,53.35,19.22,19.22
1H1,1.0,0.262,FAUC,1.4980000000000002,53.35,19.25,19.25
1H1,1.0,0.917,FAUC,1.234,53.35,19.25,19.25
1H1,1.0,0.131,FAUC,0.8640000000000001,53.35,19.28,19.28
1H1,1.0,0.262,FAUC,0.662,53.35,19.72,19.72
1H1,1.0,0.262,FAUC,0.547,53.35,20.3,20.3
1H1,1.0,0.262,FAUC,0.662,53.35,20.31,20.31
1H1,1.0,8.516,SHWR,1.794,53.35,20.41,20.41
1H1,1.0,0.262,FAUC,1.296,53.35,20.96,20.96
1H1,1.0,0.262,FAUC,0.43200000000000005,53.35,21.0,21.0
1H1,1.0,0.39299999999999996,FAUC,1.44,53.35,21.02,21.02
1H1,1.0,0.655,FAUC,0.818,53.35,22.51,22.51
1E2,3.0,0.131,FAUC,0.5760000000000001,53.338499999999996,53.68,5.68
1E2,3.0,0.262,FAUC,0.9790000000000001,53.338499999999996,53.7,5.7
1E2,3.0,0.39299999999999996,FAUC,0.8059999999999999,53.338499999999996,61.2,13.2
1E2,3.0,1.31,FAUC,1.3019999999999998,53.338499999999996,62.94,14.94
1E2,3.0,0.655,FAUC,2.915,53.338499999999996,63.21,15.21
