Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,2.78,2.78
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,4.87,4.87
2H1,1.0,14.673,SHWR,2.0,53.35,5.57,5.57
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,5.92,5.92
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,5.97,5.97
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,5.99,5.99
2H1,1.0,0.131,FAUC,0.461,53.35,6.01,6.01
2H1,1.0,0.262,FAUC,1.037,53.35,6.04,6.04
2H1,1.0,0.131,FAUC,0.634,53.35,6.09,6.09
2H1,1.0,0.917,FAUC,1.053,53.35,6.11,6.11
2H1,1.0,0.131,FAUC,0.461,53.35,6.14,6.14
2H1,1.0,0.524,FAUC,1.31,53.35,6.18,6.18
2H1,1.0,0.262,FAUC,1.037,53.35,6.19,6.19
2H1,1.0,0.131,FAUC,0.8640000000000001,53.35,6.21,6.21
2H1,1.0,0.131,FAUC,0.634,53.35,6.25,6.25
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,6.27,6.27
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,6.28,6.28
2H1,1.0,0.131,FAUC,0.461,53.35,6.3,6.3
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,6.34,6.34
2H1,1.0,0.655,FAUC,1.025,53.35,6.35,6.35
2H1,1.0,0.262,FAUC,0.461,53.35,6.75,6.75
2H1,1.0,4.0,CWSH,1.3840000000000001,53.35,6.78,6.78
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,6.88,6.88
2H1,1.0,0.131,FAUC,0.461,53.35,6.97,6.97
2H1,1.0,0.5,CWSH,0.6409999999999999,53.35,7.0,7.0
2H1,1.0,0.33299999999999996,CWSH,1.046,53.35,7.01,7.01
2H1,1.0,4.167,CWSH,1.392,53.35,7.06,7.06
2H1,1.0,0.917,FAUC,1.712,53.35,7.14,7.14
2H1,1.0,0.524,FAUC,1.382,53.35,7.16,7.16
2H1,1.0,0.39299999999999996,FAUC,0.8640000000000001,53.35,7.19,7.19
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,7.22,7.22
2H1,1.0,0.33299999999999996,CWSH,0.8690000000000001,53.35,7.23,7.23
2H1,1.0,0.33299999999999996,CWSH,1.055,53.35,7.24,7.24
2H1,1.0,0.262,FAUC,0.605,53.35,7.27,7.27
2H1,1.0,0.262,FAUC,0.374,53.35,7.32,7.32
2H1,1.0,0.131,FAUC,0.7490000000000001,53.35,7.36,7.36
2H1,1.0,1.6669999999999998,CWSH,2.323,53.35,7.44,7.44
2H1,1.0,0.131,FAUC,1.21,53.35,7.45,7.45
2H1,1.0,0.131,FAUC,0.8640000000000001,53.35,7.52,7.52
2H1,1.0,0.131,FAUC,0.461,53.35,7.59,7.59
2H1,1.0,0.5,CWSH,0.72,53.35,7.67,7.67
2H1,1.0,0.33299999999999996,CWSH,1.181,53.35,7.68,7.68
2H1,1.0,2.667,CWSH,1.3840000000000001,53.35,7.73,7.73
2H1,1.0,0.5,CWSH,0.701,53.35,7.87,7.87
2H1,1.0,0.5,CWSH,0.818,53.35,7.89,7.89
2H1,1.0,1.965,FAUC,1.4280000000000002,53.35,7.95,7.95
2H1,1.0,0.131,FAUC,0.691,53.35,8.04,8.04
2H1,1.0,0.262,FAUC,0.922,53.35,8.05,8.05
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,8.07,8.07
2H1,1.0,2.667,CWSH,1.176,53.35,8.08,8.08
2H1,1.0,0.655,FAUC,0.726,53.35,8.13,8.13
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,8.15,8.15
2H1,1.0,0.262,FAUC,0.43200000000000005,53.35,8.18,8.18
2H1,1.0,0.262,FAUC,0.72,53.35,8.21,8.21
2H1,1.0,1.179,FAUC,0.6659999999999999,53.35,8.23,8.23
2H1,1.0,1.965,FAUC,0.564,53.35,8.27,8.27
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,8.32,8.32
2H1,1.0,0.131,FAUC,0.634,53.35,8.33,8.33
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,8.39,8.39
2H1,1.0,0.131,FAUC,0.461,53.35,8.44,8.44
2H1,1.0,0.524,FAUC,0.5329999999999999,53.35,8.46,8.46
2H1,1.0,0.5,CWSH,0.879,53.35,8.48,8.48
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,8.59,8.59
2H1,1.0,0.131,FAUC,1.44,53.35,8.76,8.76
2H1,1.0,0.39299999999999996,FAUC,1.306,53.35,8.8,8.8
2H1,1.0,1.048,FAUC,1.253,53.35,10.15,10.15
2H1,1.0,0.39299999999999996,FAUC,0.998,53.35,10.19,10.19
2H1,1.0,0.131,FAUC,1.21,53.35,10.22,10.22
2H1,1.0,0.131,FAUC,1.21,53.35,10.24,10.24
2H1,1.0,0.655,FAUC,1.567,53.35,11.05,11.05
2H1,1.0,0.524,FAUC,1.454,53.35,11.22,11.22
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,13.07,13.07
2H1,1.0,0.131,FAUC,0.634,53.35,13.51,13.51
2H1,1.0,0.262,FAUC,0.518,53.35,13.62,13.62
2H1,1.0,0.131,FAUC,1.21,53.35,13.65,13.65
2H1,1.0,1.703,FAUC,1.17,53.35,13.9,13.9
2H1,1.0,0.262,FAUC,0.317,53.35,14.04,14.04
2H1,1.0,0.131,FAUC,0.461,53.35,14.06,14.06
2H1,1.0,0.131,FAUC,0.922,53.35,14.07,14.07
2H1,1.0,0.131,FAUC,0.922,53.35,14.09,14.09
2H1,1.0,0.131,FAUC,1.21,53.35,14.09,14.09
2H1,1.0,0.655,FAUC,0.8640000000000001,53.35,14.12,14.12
2H1,1.0,0.262,FAUC,0.5760000000000001,53.35,14.73,14.73
2H1,1.0,1.5719999999999998,FAUC,1.43,53.35,14.96,14.96
2H1,1.0,1.31,FAUC,3.145,53.35,15.04,15.04
2H1,1.0,1.4409999999999998,FAUC,1.073,53.35,15.26,15.26
2H1,1.0,0.131,FAUC,1.325,53.35,16.37,16.37
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,16.38,16.38
2H1,1.0,0.131,FAUC,0.8640000000000001,53.35,16.45,16.45
2H1,1.0,0.39299999999999996,FAUC,1.133,53.35,16.7,16.7
2H1,1.0,0.917,FAUC,1.127,53.35,16.71,16.71
2H1,1.0,2.62,BATH,4.023,53.35,16.87,16.87
2H1,1.0,4.585,SHWR,2.0,53.35,16.87,16.87
2H1,1.0,0.262,FAUC,1.2670000000000001,53.35,17.03,17.03
2H1,1.0,0.262,FAUC,0.72,53.35,17.13,17.13
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,18.34,18.34
2H1,1.0,0.262,FAUC,0.8059999999999999,53.35,18.37,18.37
2H1,1.0,0.262,FAUC,0.7490000000000001,53.35,18.38,18.38
2H1,1.0,0.262,FAUC,0.43200000000000005,53.35,18.43,18.43
2H1,1.0,0.917,FAUC,0.485,53.35,18.44,18.44
2H1,1.0,0.39299999999999996,FAUC,0.442,53.35,18.47,18.47
2H1,1.0,0.39299999999999996,FAUC,1.037,53.35,18.61,18.61
2H1,1.0,0.131,FAUC,0.461,53.35,18.62,18.62
2H1,1.0,0.131,FAUC,0.461,53.35,18.69,18.69
2H1,1.0,2.358,FAUC,1.91,53.35,19.11,19.11
2H1,1.0,0.131,FAUC,0.40299999999999997,53.35,19.17,19.17
2H1,1.0,1.048,FAUC,0.785,53.35,19.21,19.21
2H1,1.0,0.7859999999999999,FAUC,1.594,53.35,19.24,19.24
2H1,1.0,2.167,DWSH,1.167,53.35,19.29,19.29
2H1,1.0,0.39299999999999996,FAUC,0.883,53.35,19.38,19.38
2H1,1.0,0.262,FAUC,0.547,53.35,19.43,19.43
2H1,1.0,0.131,FAUC,1.6130000000000002,53.35,19.48,19.48
2H1,1.0,0.131,FAUC,0.634,53.35,19.5,19.5
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,19.5,19.5
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,19.51,19.51
2H1,1.0,0.262,FAUC,0.8059999999999999,53.35,19.51,19.51
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,19.53,19.53
2H1,1.0,0.131,FAUC,0.518,53.35,19.58,19.58
2H1,1.0,0.7859999999999999,FAUC,0.682,53.35,19.58,19.58
2H1,1.0,0.262,FAUC,0.893,53.35,19.61,19.61
2H1,1.0,0.131,FAUC,0.461,53.35,19.61,19.61
2H1,1.0,2.167,DWSH,1.141,53.35,19.69,19.69
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,19.9,19.9
2H1,1.0,0.131,FAUC,0.461,53.35,20.29,20.29
2H1,1.0,0.262,FAUC,1.354,53.35,20.92,20.92
2H1,1.0,0.262,FAUC,0.461,53.35,20.94,20.94
2H1,1.0,0.131,FAUC,0.518,53.35,20.98,20.98
2H1,1.0,0.524,FAUC,1.123,53.35,20.99,20.99
2H1,1.0,0.917,FAUC,1.5219999999999998,53.35,21.02,21.02
2H1,1.0,0.131,FAUC,0.34600000000000003,53.35,21.12,21.12
2H1,1.0,0.131,FAUC,0.8640000000000001,53.35,21.2,21.2
2H1,1.0,0.262,FAUC,1.0659999999999998,53.35,21.21,21.21
2H1,1.0,0.131,FAUC,0.461,53.35,21.24,21.24
2H1,1.0,3.93,SHWR,2.0,53.35,21.29,21.29
2H1,1.0,0.131,FAUC,0.5760000000000001,53.35,21.47,21.47
2H1,1.0,0.7859999999999999,FAUC,0.43200000000000005,53.35,21.54,21.54
2H1,1.0,0.39299999999999996,FAUC,0.71,53.35,21.59,21.59
2H1,1.0,0.131,FAUC,0.461,53.35,23.81,23.81
1D7,2.0,0.285,FAUC,0.9790000000000001,53.3915,26.63,2.63
1D7,2.0,1.281,FAUC,1.139,53.3915,32.04,8.04
1D7,2.0,6.263999999999999,SHWR,2.0,53.3915,33.05,9.05
1D7,2.0,0.285,FAUC,0.547,53.3915,33.25,9.25
1D7,2.0,0.285,FAUC,0.634,53.3915,33.269999999999996,9.27
1D7,2.0,0.142,FAUC,0.691,53.3915,33.6,9.6
1D7,2.0,2.333,CWSH,2.575,53.3915,33.63,9.63
1D7,2.0,0.667,CWSH,1.242,53.3915,33.93,9.93
1D7,2.0,3.5,CWSH,1.661,53.3915,34.0,10.0
1D7,2.0,0.569,FAUC,1.31,53.3915,34.43,10.43
1D7,2.0,0.7120000000000001,FAUC,0.991,53.3915,34.86,10.86
1D7,2.0,0.285,FAUC,0.43200000000000005,53.3915,36.66,12.66
1D7,2.0,0.142,FAUC,0.8640000000000001,53.3915,36.72,12.72
1D7,2.0,0.42700000000000005,FAUC,0.5379999999999999,53.3915,36.89,12.89
1D7,2.0,0.569,FAUC,1.685,53.3915,36.99,12.99
1D7,2.0,0.42700000000000005,FAUC,0.998,53.3915,37.17,13.17
1D7,2.0,1.7080000000000002,FAUC,1.325,53.3915,38.88,14.88
1D7,2.0,0.42700000000000005,FAUC,1.766,53.3915,38.91,14.91
1D7,2.0,0.42700000000000005,FAUC,1.229,53.3915,39.11,15.11
1D7,2.0,0.42700000000000005,FAUC,0.998,53.3915,39.24,15.24
1D7,2.0,0.42700000000000005,FAUC,0.998,53.3915,39.47,15.47
1D7,2.0,0.142,FAUC,0.518,53.3915,39.51,15.51
