Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
2H2,1.0,5.0,CWSH,0.857,53.35,8.31,8.31
2H2,1.0,0.131,FAUC,0.691,53.35,8.47,8.47
2H2,1.0,0.5,CWSH,0.441,53.35,8.79,8.79
2H2,1.0,4.833,CWSH,0.8109999999999999,53.35,8.81,8.81
2H2,1.0,0.33299999999999996,CWSH,0.655,53.35,8.96,8.96
2H2,1.0,4.833,CWSH,0.8290000000000001,53.35,9.08,9.08
2H2,1.0,0.7859999999999999,FAUC,1.574,53.35,9.17,9.17
2H2,1.0,0.131,FAUC,0.518,53.35,9.2,9.2
2H2,1.0,0.7859999999999999,FAUC,0.778,53.35,9.22,9.22
2H2,1.0,0.262,FAUC,1.21,53.35,9.23,9.23
2H2,1.0,0.131,FAUC,0.9790000000000001,53.35,9.45,9.45
2H2,1.0,0.131,FAUC,0.691,53.35,9.46,9.46
2H2,1.0,0.262,FAUC,0.95,53.35,10.08,10.08
2H2,1.0,0.39299999999999996,FAUC,1.286,53.35,10.16,10.16
2H2,1.0,0.262,FAUC,0.72,53.35,10.32,10.32
2H2,1.0,0.131,FAUC,0.518,53.35,10.34,10.34
2H2,1.0,0.262,FAUC,1.526,53.35,10.46,10.46
2H2,1.0,0.39299999999999996,FAUC,1.344,53.35,10.5,10.5
2H2,1.0,0.131,FAUC,0.461,53.35,10.51,10.51
2H2,1.0,0.39299999999999996,FAUC,1.651,53.35,11.07,11.07
2H2,1.0,0.131,FAUC,0.5760000000000001,53.35,16.03,16.03
2H2,1.0,0.39299999999999996,FAUC,1.402,53.35,16.92,16.92
2H2,1.0,0.39299999999999996,FAUC,1.2670000000000001,53.35,17.39,17.39
2H2,1.0,0.131,FAUC,0.691,53.35,17.85,17.85
2H2,1.0,0.131,FAUC,0.5760000000000001,53.35,17.89,17.89
2H2,1.0,0.524,FAUC,1.224,53.35,18.04,18.04
2H2,1.0,0.131,FAUC,0.461,53.35,18.74,18.74
2H2,1.0,0.131,FAUC,1.2670000000000001,53.35,19.44,19.44
2H2,1.0,0.131,FAUC,0.9790000000000001,53.35,19.46,19.46
2H2,1.0,0.39299999999999996,FAUC,1.037,53.35,20.26,20.26
2H2,1.0,0.39299999999999996,FAUC,1.6130000000000002,53.35,20.29,20.29
2H2,1.0,0.39299999999999996,FAUC,1.018,53.35,20.4,20.4
2H2,1.0,0.917,FAUC,1.605,53.35,20.46,20.46
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,24.13,0.13
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,24.86,0.86
2D6,2.0,0.249,FAUC,0.7490000000000001,53.3915,26.02,2.02
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,27.7,3.7
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,29.61,5.61
2D6,2.0,0.249,FAUC,0.518,53.3915,29.759999999999998,5.76
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,30.63,6.63
2D6,2.0,0.124,FAUC,0.691,53.3915,30.88,6.88
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,31.23,7.23
2D6,2.0,6.837999999999999,SHWR,2.0,53.3915,31.31,7.31
2D6,2.0,2.487,FAUC,1.768,53.3915,31.490000000000002,7.49
2D6,2.0,0.124,FAUC,0.7490000000000001,53.3915,31.6,7.6
2D6,2.0,0.249,FAUC,0.72,53.3915,31.61,7.61
2D6,2.0,0.249,FAUC,0.662,53.3915,31.63,7.63
2D6,2.0,0.124,FAUC,0.691,53.3915,31.7,7.7
2D6,2.0,0.249,FAUC,0.5760000000000001,53.3915,32.08,8.08
2D6,2.0,0.249,FAUC,0.49,53.3915,32.11,8.11
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,32.15,8.15
2D6,2.0,0.249,FAUC,0.461,53.3915,32.17,8.17
2D6,2.0,0.49700000000000005,FAUC,0.49,53.3915,32.2,8.2
2D6,2.0,0.373,FAUC,0.48,53.3915,32.22,8.22
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,32.3,8.3
2D6,2.0,0.373,FAUC,0.5379999999999999,53.3915,32.38,8.38
2D6,2.0,0.622,FAUC,0.415,53.3915,32.42,8.42
2D6,2.0,0.49700000000000005,FAUC,0.446,53.3915,32.54,8.54
2D6,2.0,0.124,FAUC,0.7490000000000001,53.3915,32.58,8.58
2D6,2.0,0.373,FAUC,0.48,53.3915,32.62,8.62
2D6,2.0,0.373,FAUC,0.557,53.3915,32.66,8.66
2D6,2.0,0.49700000000000005,FAUC,0.547,53.3915,32.7,8.7
2D6,2.0,0.124,FAUC,0.691,53.3915,32.730000000000004,8.73
2D6,2.0,0.249,FAUC,0.461,53.3915,32.76,8.76
2D6,2.0,0.124,FAUC,0.691,53.3915,33.019999999999996,9.02
2D6,2.0,0.249,FAUC,0.461,53.3915,33.11,9.11
2D6,2.0,0.124,FAUC,0.7490000000000001,53.3915,33.26,9.26
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,33.36,9.36
2D6,2.0,0.249,FAUC,0.49,53.3915,33.76,9.76
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,34.1,10.1
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,34.19,10.19
2D6,2.0,0.249,FAUC,0.461,53.3915,34.33,10.33
2D6,2.0,0.124,FAUC,0.691,53.3915,34.519999999999996,10.52
2D6,2.0,1.2429999999999999,FAUC,0.68,53.3915,34.66,10.66
2D6,2.0,0.49700000000000005,FAUC,0.475,53.3915,35.06,11.06
2D6,2.0,0.249,FAUC,0.518,53.3915,35.11,11.11
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,35.25,11.25
2D6,2.0,0.373,FAUC,0.518,53.3915,35.61,11.61
2D6,2.0,0.249,FAUC,0.461,53.3915,35.62,11.62
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,35.68,11.68
2D6,2.0,0.49700000000000005,FAUC,0.374,53.3915,35.69,11.69
2D6,2.0,0.49700000000000005,FAUC,0.547,53.3915,35.71,11.71
2D6,2.0,0.249,FAUC,0.518,53.3915,35.75,11.75
2D6,2.0,0.373,FAUC,0.499,53.3915,35.97,11.97
2D6,2.0,0.49700000000000005,FAUC,0.49,53.3915,36.04,12.04
2D6,2.0,0.249,FAUC,0.49,53.3915,36.07,12.07
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,36.230000000000004,12.23
2D6,2.0,0.373,FAUC,0.518,53.3915,36.28,12.28
2D6,2.0,0.124,FAUC,0.691,53.3915,36.31,12.31
2D6,2.0,0.249,FAUC,0.518,53.3915,36.37,12.37
2D6,2.0,0.49700000000000005,FAUC,0.43200000000000005,53.3915,36.38,12.38
2D6,2.0,0.124,FAUC,1.037,53.3915,36.45,12.45
2D6,2.0,0.373,FAUC,0.5379999999999999,53.3915,36.6,12.6
2D6,2.0,0.49700000000000005,FAUC,0.547,53.3915,36.68,12.68
2D6,2.0,0.249,FAUC,0.461,53.3915,36.730000000000004,12.73
2D6,2.0,0.249,FAUC,0.605,53.3915,36.94,12.94
2D6,2.0,0.373,FAUC,0.499,53.3915,36.95,12.95
2D6,2.0,0.373,FAUC,0.442,53.3915,37.16,13.16
2D6,2.0,0.249,FAUC,0.5760000000000001,53.3915,37.230000000000004,13.23
2D6,2.0,0.373,FAUC,0.48,53.3915,37.26,13.26
2D6,2.0,0.373,FAUC,0.42200000000000004,53.3915,37.55,13.55
2D6,2.0,0.373,FAUC,0.499,53.3915,37.57,13.57
2D6,2.0,0.249,FAUC,0.5760000000000001,53.3915,38.01,14.01
2D6,2.0,0.249,FAUC,0.49,53.3915,38.019999999999996,14.02
2D6,2.0,0.373,FAUC,0.557,53.3915,38.09,14.09
2D6,2.0,0.373,FAUC,0.48,53.3915,38.3,14.3
2D6,2.0,0.124,FAUC,0.5760000000000001,53.3915,38.39,14.39
2D6,2.0,0.373,FAUC,0.461,53.3915,38.46,14.46
