Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
2H9,1.0,0.373,FAUC,0.28800000000000003,53.35,0.91,0.91
2H9,1.0,0.622,FAUC,0.7140000000000001,53.35,0.93,0.93
2H9,1.0,0.995,FAUC,0.302,53.35,0.94,0.94
2H9,1.0,0.87,FAUC,1.5390000000000001,53.35,1.0,1.0
2H9,1.0,0.995,FAUC,0.958,53.35,1.31,1.31
2H9,1.0,0.249,FAUC,0.691,53.35,1.4,1.4
2H9,1.0,0.249,FAUC,0.374,53.35,1.41,1.41
2H9,1.0,0.249,FAUC,0.49,53.35,6.13,6.13
2H9,1.0,0.249,FAUC,0.634,53.35,6.87,6.87
2H9,1.0,0.622,FAUC,1.855,53.35,6.88,6.88
2H9,1.0,0.249,FAUC,0.893,53.35,6.92,6.92
2H9,1.0,0.622,FAUC,0.588,53.35,6.92,6.92
2H9,1.0,0.249,FAUC,1.382,53.35,7.09,7.09
2H9,1.0,0.249,FAUC,1.44,53.35,8.05,8.05
2H9,1.0,0.124,FAUC,0.34600000000000003,53.35,8.08,8.08
2H9,1.0,0.249,FAUC,0.374,53.35,8.12,8.12
2H9,1.0,0.49700000000000005,FAUC,1.224,53.35,8.16,8.16
2H9,1.0,0.124,FAUC,0.8640000000000001,53.35,8.19,8.19
2H9,1.0,1.368,FAUC,1.314,53.35,8.36,8.36
2H9,1.0,1.492,FAUC,1.296,53.35,8.39,8.39
2H9,1.0,9.076,SHWR,2.0,53.35,8.45,8.45
2H9,1.0,1.368,FAUC,1.073,53.35,8.51,8.51
2H9,1.0,0.124,FAUC,0.40299999999999997,53.35,8.72,8.72
2H9,1.0,0.124,FAUC,0.34600000000000003,53.35,8.76,8.76
2H9,1.0,0.249,FAUC,0.518,53.35,9.29,9.29
2H9,1.0,0.124,FAUC,0.28800000000000003,53.35,9.34,9.34
2H9,1.0,0.622,FAUC,0.415,53.35,9.42,9.42
2H9,1.0,0.746,FAUC,1.171,53.35,9.64,9.64
2H9,1.0,0.124,FAUC,0.9790000000000001,53.35,9.87,9.87
2H9,1.0,0.249,FAUC,0.893,53.35,9.88,9.88
