Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
3H9,1.0,0.155,FAUC,1.1520000000000001,53.35,8.33,8.33
3H9,1.0,0.31,FAUC,1.008,53.35,8.81,8.81
3H9,1.0,0.465,FAUC,1.1520000000000001,53.35,8.82,8.82
3H9,1.0,0.155,FAUC,0.34600000000000003,53.35,8.86,8.86
3H9,1.0,0.31,FAUC,1.238,53.35,9.14,9.14
3H9,1.0,0.465,FAUC,1.056,53.35,9.55,9.55
3H9,1.0,0.31,FAUC,0.662,53.35,9.68,9.68
3H9,1.0,0.62,FAUC,0.7490000000000001,53.35,9.69,9.69
3H9,1.0,0.31,FAUC,0.461,53.35,9.72,9.72
3H9,1.0,0.31,FAUC,1.181,53.35,9.8,9.8
3H9,1.0,0.465,FAUC,0.902,53.35,10.01,10.01
3H9,1.0,0.465,FAUC,1.19,53.35,10.15,10.15
3H9,1.0,0.62,FAUC,0.8640000000000001,53.35,10.29,10.29
3H9,1.0,0.465,FAUC,0.442,53.35,10.31,10.31
3H9,1.0,0.31,FAUC,0.835,53.35,10.36,10.36
3H9,1.0,0.62,FAUC,0.446,53.35,10.89,10.89
3H9,1.0,0.155,FAUC,0.40299999999999997,53.35,11.15,11.15
3H9,1.0,15.18,SHWR,2.0,53.35,11.22,11.22
3H9,1.0,0.465,FAUC,0.634,53.35,11.78,11.78
3H9,1.0,0.155,FAUC,0.634,53.35,11.87,11.87
3H9,1.0,0.155,FAUC,0.28800000000000003,53.35,11.92,11.92
3H9,1.0,0.155,FAUC,0.461,53.35,11.99,11.99
3H9,1.0,0.31,FAUC,0.605,53.35,12.16,12.16
3H9,1.0,0.62,FAUC,2.722,53.35,12.3,12.3
3H9,1.0,0.31,FAUC,1.123,53.35,12.33,12.33
3H9,1.0,0.31,FAUC,0.518,53.35,12.35,12.35
3H9,1.0,1.239,FAUC,0.7559999999999999,53.35,13.22,13.22
3H9,1.0,0.465,FAUC,1.133,53.35,13.3,13.3
3H9,1.0,0.62,FAUC,1.166,53.35,13.32,13.32
3H9,1.0,0.465,FAUC,0.25,53.35,13.43,13.43
3H9,1.0,0.929,FAUC,1.469,53.35,13.84,13.84
3H9,1.0,0.31,FAUC,2.5340000000000003,53.35,13.85,13.85
3H9,1.0,0.667,CWSH,1.89,53.35,14.53,14.53
3H9,1.0,0.5,CWSH,2.176,53.35,14.63,14.63
3H9,1.0,1.167,CWSH,2.0180000000000002,53.35,14.68,14.68
3H9,1.0,1.167,CWSH,1.639,53.35,14.97,14.97
3H9,1.0,1.167,CWSH,1.6059999999999999,53.35,15.12,15.12
3H9,1.0,1.167,CWSH,1.673,53.35,15.25,15.25
3H9,1.0,1.3330000000000002,CWSH,0.777,53.35,15.66,15.66
3H9,1.0,0.31,FAUC,1.6130000000000002,53.35,15.68,15.68
3H9,1.0,0.5,CWSH,2.3480000000000003,53.35,15.74,15.74
3H9,1.0,8.829,SHWR,2.0,53.35,15.81,15.81
3H9,1.0,0.62,FAUC,2.678,53.35,16.14,16.14
3H9,1.0,0.929,FAUC,1.9869999999999999,53.35,16.26,16.26
3H9,1.0,1.084,FAUC,0.527,53.35,16.5,16.5
3H9,1.0,0.31,FAUC,0.461,53.35,16.93,16.93
3H9,1.0,0.31,FAUC,1.1520000000000001,53.35,16.98,16.98
3H9,1.0,0.62,FAUC,5.227,53.35,17.08,17.08
3H9,1.0,0.929,FAUC,3.446,53.35,17.1,17.1
3H9,1.0,0.155,FAUC,0.8059999999999999,53.35,17.31,17.31
3H9,1.0,0.31,FAUC,2.3040000000000003,53.35,17.32,17.32
3H9,1.0,0.155,FAUC,0.34600000000000003,53.35,17.35,17.35
3H9,1.0,1.3940000000000001,FAUC,2.061,53.35,17.38,17.38
3H9,1.0,0.62,FAUC,1.915,53.35,17.4,17.4
3H9,1.0,1.3940000000000001,FAUC,2.17,53.35,17.51,17.51
3H9,1.0,0.62,FAUC,1.714,53.35,17.54,17.54
3H9,1.0,0.774,FAUC,3.9739999999999998,53.35,17.66,17.66
3H9,1.0,0.31,FAUC,0.662,53.35,17.72,17.72
3H9,1.0,0.62,FAUC,2.75,53.35,17.82,17.82
3H9,1.0,0.62,FAUC,1.4980000000000002,53.35,18.06,18.06
3H9,1.0,0.465,FAUC,0.845,53.35,18.08,18.08
3H9,1.0,0.465,FAUC,0.902,53.35,18.1,18.1
3H9,1.0,0.155,FAUC,0.518,53.35,18.13,18.13
3H9,1.0,0.31,FAUC,1.354,53.35,18.17,18.17
3H9,1.0,0.155,FAUC,0.9790000000000001,53.35,18.22,18.22
3H9,1.0,0.774,FAUC,0.588,53.35,18.24,18.24
3H9,1.0,0.833,DWSH,0.763,53.35,18.3,18.3
3H9,1.0,0.774,FAUC,2.339,53.35,18.31,18.31
3H9,1.0,1.5,DWSH,0.7170000000000001,53.35,18.38,18.38
3H9,1.0,0.155,FAUC,0.461,53.35,18.41,18.41
3H9,1.0,1.8330000000000002,DWSH,0.612,53.35,18.44,18.44
3H9,1.0,1.5,DWSH,0.7120000000000001,53.35,18.93,18.93
3H9,1.0,1.5,DWSH,0.733,53.35,19.0,19.0
3H9,1.0,0.31,FAUC,0.28800000000000003,53.35,21.27,21.27
3H9,1.0,0.155,FAUC,1.2670000000000001,53.35,21.29,21.29
3H9,1.0,0.62,FAUC,1.2670000000000001,53.35,21.48,21.48
3H9,1.0,1.084,FAUC,0.971,53.35,21.81,21.81
3H9,1.0,0.465,FAUC,2.227,53.35,21.82,21.82
3H9,1.0,0.31,FAUC,0.518,53.35,21.85,21.85
3H9,1.0,0.31,FAUC,0.5760000000000001,53.35,21.87,21.87
2D3,2.0,0.42700000000000005,FAUC,0.9790000000000001,53.3915,29.58,5.58
2D3,2.0,0.285,FAUC,0.662,53.3915,29.61,5.61
2D3,2.0,0.142,FAUC,2.5340000000000003,53.3915,29.62,5.62
2D3,2.0,0.285,FAUC,0.8059999999999999,53.3915,29.63,5.63
2D3,2.0,2.705,SHWR,1.746,53.3915,30.21,6.21
2D3,2.0,0.142,FAUC,1.44,53.3915,30.44,6.44
