Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
3H2,1.0,0.131,FAUC,0.7490000000000001,53.35,3.62,3.62
3H2,1.0,1.834,FAUC,0.642,53.35,4.5,4.5
3H2,1.0,0.262,FAUC,0.605,53.35,4.55,4.55
3H2,1.0,5.763999999999999,SHWR,1.527,53.35,4.61,4.61
3H2,1.0,0.131,FAUC,0.518,53.35,4.8,4.8
3H2,1.0,0.7859999999999999,FAUC,0.365,53.35,4.96,4.96
3H2,1.0,0.131,FAUC,0.34600000000000003,53.35,4.98,4.98
3H2,1.0,0.39299999999999996,FAUC,0.941,53.35,5.01,5.01
3H2,1.0,0.131,FAUC,0.5760000000000001,53.35,5.14,5.14
3H2,1.0,0.524,FAUC,0.893,53.35,5.42,5.42
3H2,1.0,0.262,FAUC,0.691,53.35,5.53,5.53
3H2,1.0,0.131,FAUC,0.9790000000000001,53.35,8.09,8.09
3H2,1.0,8.254,SHWR,1.79,53.35,8.63,8.63
3H2,1.0,0.262,FAUC,0.605,53.35,9.04,9.04
3H2,1.0,0.524,FAUC,0.95,53.35,9.79,9.79
3H2,1.0,0.131,FAUC,0.34600000000000003,53.35,9.82,9.82
3H2,1.0,0.262,FAUC,0.634,53.35,10.39,10.39
3H2,1.0,0.39299999999999996,FAUC,0.9790000000000001,53.35,16.95,16.95
3H2,1.0,1.048,FAUC,0.914,53.35,17.1,17.1
3H2,1.0,0.39299999999999996,FAUC,1.037,53.35,22.36,22.36
3H2,1.0,0.524,FAUC,0.778,53.35,22.56,22.56
3H2,1.0,0.262,FAUC,1.2670000000000001,53.35,22.62,22.62
3D6,2.0,0.31,FAUC,0.8059999999999999,53.3915,30.02,6.02
3D6,2.0,9.294,SHWR,2.0,53.3915,30.03,6.03
3D6,2.0,0.62,FAUC,0.619,53.3915,30.27,6.27
3D6,2.0,0.155,FAUC,0.5760000000000001,53.3915,30.31,6.31
3D6,2.0,0.31,FAUC,0.605,53.3915,30.32,6.32
3D6,2.0,0.155,FAUC,1.094,53.3915,30.33,6.33
3D6,2.0,0.155,FAUC,0.922,53.3915,30.44,6.44
3D6,2.0,0.155,FAUC,1.9580000000000002,53.3915,30.46,6.46
3D6,2.0,0.155,FAUC,1.21,53.3915,30.56,6.56
3D6,2.0,0.774,FAUC,1.2209999999999999,53.3915,30.69,6.69
3D6,2.0,0.31,FAUC,0.259,53.3915,30.75,6.75
3D6,2.0,0.62,FAUC,0.547,53.3915,30.94,6.94
3D6,2.0,0.155,FAUC,0.34600000000000003,53.3915,31.05,7.05
3D6,2.0,0.155,FAUC,0.40299999999999997,53.3915,31.07,7.07
3D6,2.0,0.155,FAUC,0.40299999999999997,53.3915,31.1,7.1
3D6,2.0,0.155,FAUC,0.34600000000000003,53.3915,31.14,7.14
3D6,2.0,0.465,FAUC,1.075,53.3915,31.240000000000002,7.24
3D6,2.0,0.155,FAUC,0.9790000000000001,53.3915,31.25,7.25
3D6,2.0,0.62,FAUC,1.037,53.3915,31.55,7.55
3D6,2.0,0.155,FAUC,0.34600000000000003,53.3915,31.85,7.85
3D6,2.0,0.31,FAUC,1.526,53.3915,31.94,7.94
3D6,2.0,0.833,CWSH,3.46,53.3915,32.64,8.64
3D6,2.0,0.465,FAUC,0.499,53.3915,32.65,8.65
3D6,2.0,0.667,CWSH,1.21,53.3915,32.67,8.67
3D6,2.0,1.3330000000000002,CWSH,1.6769999999999998,53.3915,32.93,8.93
3D6,2.0,0.667,CWSH,1.7369999999999999,53.3915,32.96,8.96
3D6,2.0,1.167,CWSH,1.985,53.3915,33.08,9.08
3D6,2.0,0.5,CWSH,1.6130000000000002,53.3915,33.12,9.12
3D6,2.0,1.167,CWSH,2.095,53.3915,33.230000000000004,9.23
3D6,2.0,0.31,FAUC,0.34600000000000003,53.3915,36.25,12.25
3D6,2.0,1.0,DWSH,0.768,53.3915,36.51,12.51
3D6,2.0,0.62,FAUC,0.95,53.3915,36.55,12.55
3D6,2.0,1.3330000000000002,DWSH,0.8009999999999999,53.3915,36.63,12.63
3D6,2.0,1.3330000000000002,DWSH,0.772,53.3915,36.69,12.69
3D6,2.0,1.3330000000000002,DWSH,0.7829999999999999,53.3915,37.18,13.18
3D6,2.0,1.5,DWSH,0.727,53.3915,37.25,13.25
3D6,2.0,0.31,FAUC,1.6130000000000002,53.3915,38.35,14.35
3D6,2.0,0.155,FAUC,0.7490000000000001,53.3915,38.38,14.38
3D6,2.0,0.31,FAUC,0.34600000000000003,53.3915,38.57,14.57
3D6,2.0,0.31,FAUC,0.8640000000000001,53.3915,38.66,14.66
3D6,2.0,0.155,FAUC,0.34600000000000003,53.3915,38.68,14.68
3D6,2.0,0.31,FAUC,0.374,53.3915,38.71,14.71
3D6,2.0,0.31,FAUC,0.547,53.3915,38.8,14.8
3D6,2.0,0.155,FAUC,0.518,53.3915,38.84,14.84
3D6,2.0,0.465,FAUC,1.056,53.3915,39.01,15.01
3D6,2.0,0.62,FAUC,2.5780000000000003,53.3915,40.0,16.0
3D6,2.0,0.31,FAUC,1.181,53.3915,40.08,16.08
3D6,2.0,0.155,FAUC,0.40299999999999997,53.3915,40.15,16.15
3D6,2.0,0.31,FAUC,0.893,53.3915,40.4,16.4
3D6,2.0,0.465,FAUC,1.7469999999999999,53.3915,41.379999999999995,17.38
3D6,2.0,0.155,FAUC,1.2670000000000001,53.3915,41.39,17.39
3D6,2.0,0.31,FAUC,1.238,53.3915,41.42,17.42
3D6,2.0,0.155,FAUC,0.34600000000000003,53.3915,41.57,17.57
3D6,2.0,0.155,FAUC,1.1520000000000001,53.3915,41.58,17.58
3D6,2.0,0.31,FAUC,0.662,53.3915,41.58,17.58
3D6,2.0,0.62,FAUC,1.0659999999999998,53.3915,42.0,18.0
3D6,2.0,0.31,FAUC,0.691,53.3915,42.129999999999995,18.13
3D6,2.0,0.31,FAUC,0.461,53.3915,42.16,18.16
3D6,2.0,0.155,FAUC,0.28800000000000003,53.3915,42.19,18.19
3D6,2.0,0.465,FAUC,0.461,53.3915,42.269999999999996,18.27
3D6,2.0,0.465,FAUC,1.2670000000000001,53.3915,42.36,18.36
3D6,2.0,0.465,FAUC,0.653,53.3915,42.61,18.61
3D6,2.0,0.62,FAUC,1.469,53.3915,43.04,19.04
3D6,2.0,0.774,FAUC,0.645,53.3915,43.269999999999996,19.27
3D6,2.0,0.155,FAUC,1.44,53.3915,43.480000000000004,19.48
3D6,2.0,0.31,FAUC,1.584,53.3915,43.489999999999995,19.49
3D6,2.0,0.31,FAUC,1.325,53.3915,43.5,19.5
3D6,2.0,0.465,FAUC,0.384,53.3915,43.510000000000005,19.51
3D6,2.0,0.465,FAUC,0.595,53.3915,43.519999999999996,19.52
3D6,2.0,0.31,FAUC,1.382,53.3915,43.53,19.53
3D6,2.0,0.155,FAUC,0.518,53.3915,43.55,19.55
3D6,2.0,0.31,FAUC,0.518,53.3915,43.55,19.55
3D6,2.0,0.155,FAUC,1.325,53.3915,43.56,19.56
3D6,2.0,0.62,FAUC,1.238,53.3915,43.58,19.58
3D6,2.0,0.155,FAUC,1.555,53.3915,43.59,19.59
3D6,2.0,0.465,FAUC,0.71,53.3915,43.6,19.6
3D6,2.0,0.465,FAUC,4.224,53.3915,44.28,20.28
3D6,2.0,0.31,FAUC,0.43200000000000005,53.3915,44.29,20.29
3D6,2.0,0.62,FAUC,1.8,53.3915,44.3,20.3
3D6,2.0,0.31,FAUC,2.592,53.3915,44.33,20.33
3D6,2.0,0.155,FAUC,1.094,53.3915,44.34,20.34
