Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
4H0,1.0,0.16699999999999998,FAUC,2.3040000000000003,53.35,5.19,5.19
4H0,1.0,0.667,FAUC,1.2819999999999998,53.35,5.6,5.6
4H0,1.0,2.333,FAUC,1.181,53.35,5.62,5.62
4H0,1.0,0.33299999999999996,FAUC,1.584,53.35,5.7,5.7
4H0,1.0,0.667,FAUC,0.893,53.35,5.71,5.71
4H0,1.0,0.16699999999999998,FAUC,0.8059999999999999,53.35,7.45,7.45
4H0,1.0,0.5,FAUC,1.133,53.35,7.55,7.55
4H0,1.0,0.16699999999999998,FAUC,0.40299999999999997,53.35,9.56,9.56
4H0,1.0,0.16699999999999998,FAUC,0.5760000000000001,53.35,10.33,10.33
4H0,1.0,0.33299999999999996,FAUC,0.605,53.35,10.35,10.35
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,10.61,10.61
4H0,1.0,0.33299999999999996,FAUC,0.317,53.35,10.66,10.66
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,10.68,10.68
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,10.68,10.68
4H0,1.0,0.667,FAUC,0.43200000000000005,53.35,10.71,10.71
4H0,1.0,1.5,FAUC,0.34600000000000003,53.35,10.72,10.72
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,10.75,10.75
4H0,1.0,0.16699999999999998,FAUC,0.518,53.35,10.78,10.78
4H0,1.0,0.16699999999999998,FAUC,0.518,53.35,10.79,10.79
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,10.8,10.8
4H0,1.0,0.33299999999999996,FAUC,1.382,53.35,11.77,11.77
4H0,1.0,3.833,FAUC,1.23,53.35,12.0,12.0
4H0,1.0,0.16699999999999998,FAUC,0.518,53.35,12.08,12.08
4H0,1.0,0.667,FAUC,0.9359999999999999,53.35,12.09,12.09
4H0,1.0,0.16699999999999998,FAUC,0.518,53.35,12.32,12.32
4H0,1.0,0.16699999999999998,FAUC,0.518,53.35,12.33,12.33
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,18.21,18.21
4H0,1.0,0.16699999999999998,FAUC,0.34600000000000003,53.35,18.26,18.26
4H0,1.0,0.33299999999999996,FAUC,1.21,53.35,18.4,18.4
4H0,1.0,4.167,CWSH,0.763,53.35,22.1,22.1
4H0,1.0,0.667,CWSH,0.7609999999999999,53.35,22.34,22.34
4H0,1.0,2.5,CWSH,0.9309999999999999,53.35,22.38,22.38
4H0,1.0,1.0,CWSH,0.429,53.35,22.43,22.43
4H0,1.0,0.16699999999999998,CWSH,0.659,53.35,22.46,22.46
4H0,1.0,3.167,CWSH,0.94,53.35,22.5,22.5
4H0,1.0,0.33299999999999996,CWSH,0.628,53.35,22.56,22.56
4H0,1.0,3.333,CWSH,0.8740000000000001,53.35,22.74,22.74
5D2,2.0,0.124,FAUC,0.461,53.3915,24.02,0.02
5D2,2.0,0.124,FAUC,0.34600000000000003,53.3915,24.06,0.06
5D2,2.0,0.124,FAUC,0.34600000000000003,53.3915,24.09,0.09
5D2,2.0,0.124,FAUC,0.34600000000000003,53.3915,24.28,0.28
5D2,2.0,1.3330000000000002,CWSH,9.488,53.3915,29.240000000000002,5.24
5D2,2.0,1.119,FAUC,0.915,53.3915,30.15,6.15
5D2,2.0,0.124,FAUC,1.094,53.3915,30.21,6.21
5D2,2.0,0.249,FAUC,0.547,53.3915,30.22,6.22
5D2,2.0,0.746,FAUC,1.344,53.3915,30.240000000000002,6.24
5D2,2.0,0.124,FAUC,0.9790000000000001,53.3915,30.29,6.29
5D2,2.0,0.622,FAUC,1.59,53.3915,30.58,6.58
5D2,2.0,0.249,FAUC,0.72,53.3915,33.41,9.41
5D2,2.0,0.124,FAUC,0.461,53.3915,33.42,9.42
5D2,2.0,2.611,SHWR,2.0,53.3915,33.519999999999996,9.52
5D2,2.0,1.6159999999999999,FAUC,0.7490000000000001,53.3915,34.519999999999996,10.52
5D2,2.0,0.124,FAUC,1.094,53.3915,34.87,10.87
5D2,2.0,1.6159999999999999,FAUC,2.229,53.3915,35.45,11.45
5D2,2.0,2.735,FAUC,0.723,53.3915,35.49,11.49
5D2,2.0,0.124,FAUC,0.34600000000000003,53.3915,35.59,11.59
