Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
2H0,1.0,0.131,FAUC,0.40299999999999997,53.35,3.1,3.1
2H0,1.0,0.131,FAUC,0.40299999999999997,53.35,5.82,5.82
2H0,1.0,0.131,FAUC,0.28800000000000003,53.35,7.28,7.28
2H0,1.0,0.131,FAUC,0.34600000000000003,53.35,9.65,9.65
2H0,1.0,0.131,FAUC,0.28800000000000003,53.35,22.07,22.07
2D4,2.0,4.476,SHWR,2.0,53.3915,32.47,8.47
2D4,2.0,0.249,FAUC,0.518,53.3915,32.78,8.78
2D4,2.0,0.124,FAUC,0.28800000000000003,53.3915,33.269999999999996,9.27
2D4,2.0,1.6159999999999999,FAUC,1.068,53.3915,33.46,9.46
2D4,2.0,0.124,FAUC,0.691,53.3915,33.94,9.94
2D4,2.0,0.124,FAUC,0.5760000000000001,53.3915,33.95,9.95
2D4,2.0,1.492,FAUC,1.7519999999999998,53.3915,33.96,9.96
2D4,2.0,0.373,FAUC,1.1520000000000001,53.3915,34.0,10.0
2D4,2.0,0.249,FAUC,0.691,53.3915,37.269999999999996,13.27
2D4,2.0,0.124,FAUC,0.8059999999999999,53.3915,37.28,13.28
2D4,2.0,4.333,CWSH,1.5119999999999998,53.3915,37.38,13.38
2D4,2.0,4.333,CWSH,1.28,53.3915,37.69,13.69
2D4,2.0,0.124,FAUC,1.094,53.3915,37.72,13.72
2D4,2.0,0.124,FAUC,1.037,53.3915,37.730000000000004,13.73
2D4,2.0,0.124,FAUC,1.1520000000000001,53.3915,37.74,13.74
2D4,2.0,0.124,FAUC,1.094,53.3915,37.74,13.74
2D4,2.0,0.124,FAUC,1.037,53.3915,37.75,13.75
2D4,2.0,0.124,FAUC,1.1520000000000001,53.3915,37.75,13.75
2D4,2.0,0.16699999999999998,CWSH,1.5030000000000001,53.3915,37.86,13.86
2D4,2.0,0.833,CWSH,0.36,53.3915,37.87,13.87
2D4,2.0,0.249,FAUC,1.037,53.3915,38.1,14.1
2D4,2.0,0.373,FAUC,1.306,53.3915,40.43,16.43
2D4,2.0,1.7409999999999999,FAUC,1.757,53.3915,40.93,16.93
2D4,2.0,0.622,FAUC,0.392,53.3915,41.879999999999995,17.88
2D4,2.0,0.87,FAUC,1.761,53.3915,42.17,18.17
2D4,2.0,0.124,FAUC,0.40299999999999997,53.3915,42.21,18.21
2D4,2.0,0.124,FAUC,1.037,53.3915,42.22,18.22
2D4,2.0,0.833,DWSH,0.7709999999999999,53.3915,42.230000000000004,18.23
2D4,2.0,0.5,DWSH,0.794,53.3915,42.32,18.32
2D4,2.0,0.249,FAUC,1.0659999999999998,53.3915,42.35,18.35
2D4,2.0,1.3330000000000002,DWSH,0.721,53.3915,42.370000000000005,18.37
2D4,2.0,1.3330000000000002,DWSH,0.6579999999999999,53.3915,42.489999999999995,18.49
2D4,2.0,0.833,DWSH,0.696,53.3915,42.94,18.94
2D4,2.0,1.0,DWSH,0.778,53.3915,43.0,19.0
2D4,2.0,1.0,DWSH,0.763,53.3915,43.06,19.06
2D4,2.0,0.249,FAUC,1.21,53.3915,43.21,19.21
2D4,2.0,0.622,FAUC,2.592,53.3915,43.230000000000004,19.23
2D4,2.0,0.249,FAUC,1.094,53.3915,43.3,19.3
2D4,2.0,0.622,FAUC,0.541,53.3915,43.33,19.33
4E9,3.0,0.31,FAUC,0.374,53.338499999999996,48.62,0.62
4E9,3.0,0.31,FAUC,0.28800000000000003,53.338499999999996,48.63,0.63
4E9,3.0,0.465,FAUC,0.5760000000000001,53.338499999999996,48.64,0.64
4E9,3.0,0.155,FAUC,0.40299999999999997,53.338499999999996,48.64,0.64
4E9,3.0,0.31,FAUC,0.43200000000000005,53.338499999999996,55.69,7.69
4E9,3.0,0.155,FAUC,0.5760000000000001,53.338499999999996,56.230000000000004,8.23
4E9,3.0,0.155,FAUC,1.44,53.338499999999996,56.24,8.24
4E9,3.0,0.465,FAUC,1.6130000000000002,53.338499999999996,56.92,8.92
4E9,3.0,0.31,FAUC,0.43200000000000005,53.338499999999996,56.94,8.94
4E9,3.0,6.196000000000001,SHWR,2.0,53.338499999999996,58.07,10.07
4E9,3.0,1.859,FAUC,1.022,53.338499999999996,58.2,10.2
4E9,3.0,0.465,FAUC,0.922,53.338499999999996,58.26,10.26
4E9,3.0,0.31,FAUC,1.2670000000000001,53.338499999999996,58.269999999999996,10.27
4E9,3.0,10.533,SHWR,2.0,53.338499999999996,58.58,10.58
4E9,3.0,0.465,FAUC,1.709,53.338499999999996,59.84,11.84
4E9,3.0,1.239,FAUC,1.649,53.338499999999996,59.86,11.86
4E9,3.0,0.155,FAUC,0.518,53.338499999999996,59.9,11.9
4E9,3.0,0.31,FAUC,1.037,53.338499999999996,59.91,11.91
4E9,3.0,0.465,FAUC,1.344,53.338499999999996,59.92,11.92
4E9,3.0,0.465,FAUC,1.4980000000000002,53.338499999999996,59.94,11.94
4E9,3.0,0.31,FAUC,0.893,53.338499999999996,59.96,11.96
4E9,3.0,0.774,FAUC,1.636,53.338499999999996,60.01,12.01
4E9,3.0,0.31,FAUC,0.634,53.338499999999996,60.06,12.06
4E9,3.0,0.155,FAUC,0.34600000000000003,53.338499999999996,60.21,12.21
4E9,3.0,0.155,FAUC,0.34600000000000003,53.338499999999996,60.26,12.26
4E9,3.0,0.155,FAUC,0.34600000000000003,53.338499999999996,60.41,12.41
4E9,3.0,0.155,FAUC,0.518,53.338499999999996,60.44,12.44
4E9,3.0,1.167,DWSH,1.3030000000000002,53.338499999999996,60.45,12.45
4E9,3.0,1.3330000000000002,DWSH,1.297,53.338499999999996,61.33,13.33
4E9,3.0,1.3330000000000002,DWSH,1.3130000000000002,53.338499999999996,61.56,13.56
4E9,3.0,0.465,FAUC,0.518,53.338499999999996,61.61,13.61
4E9,3.0,0.31,FAUC,0.662,53.338499999999996,61.74,13.74
4E9,3.0,0.465,FAUC,1.536,53.338499999999996,61.769999999999996,13.77
4E9,3.0,0.155,FAUC,0.7490000000000001,53.338499999999996,62.11,14.11
4E9,3.0,0.155,FAUC,0.518,53.338499999999996,63.71,15.71
4E9,3.0,0.465,FAUC,1.786,53.338499999999996,63.980000000000004,15.98
4E9,3.0,0.31,FAUC,1.325,53.338499999999996,64.43,16.43
4E9,3.0,0.155,FAUC,0.9790000000000001,53.338499999999996,64.44,16.44
4E9,3.0,2.169,FAUC,1.444,53.338499999999996,64.45,16.45
4E9,3.0,0.155,FAUC,1.44,53.338499999999996,64.48,16.48
4E9,3.0,0.155,FAUC,0.5760000000000001,53.338499999999996,64.51,16.51
4E9,3.0,0.155,FAUC,1.67,53.338499999999996,64.53,16.53
4E9,3.0,0.774,FAUC,1.5319999999999998,53.338499999999996,64.53999999999999,16.54
4E9,3.0,17.348,SHWR,2.0,53.338499999999996,65.57,17.57
4E9,3.0,0.465,FAUC,1.248,53.338499999999996,66.62,18.62
4E9,3.0,2.478,FAUC,1.714,53.338499999999996,67.22,19.22
4E9,3.0,0.929,FAUC,1.6219999999999999,53.338499999999996,67.28,19.28
4E9,3.0,0.31,FAUC,1.354,53.338499999999996,68.33,20.33
4E9,3.0,0.155,FAUC,1.094,53.338499999999996,68.51,20.51
4E9,3.0,1.859,FAUC,1.315,53.338499999999996,70.05,22.05
4E9,3.0,0.929,FAUC,0.547,53.338499999999996,70.28999999999999,22.29
4E9,3.0,0.155,FAUC,0.8640000000000001,53.338499999999996,70.92,22.92
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,72.51,0.51
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,73.29,1.29
4E3,4.0,0.131,FAUC,0.691,53.239999999999995,73.86,1.86
4E3,4.0,0.131,FAUC,0.40299999999999997,53.239999999999995,74.98,2.98
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,75.07,3.07
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,75.24,3.24
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,75.65,3.65
4E3,4.0,0.131,FAUC,0.461,53.239999999999995,75.73,3.73
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,75.98,3.98
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,76.65,4.65
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,76.68,4.68
4E3,4.0,0.131,FAUC,0.40299999999999997,53.239999999999995,77.32,5.32
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,77.58,5.58
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,77.72,5.72
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,77.99,5.99
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,78.99,6.99
4E3,4.0,0.262,FAUC,0.374,53.239999999999995,79.23,7.23
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,80.25,8.25
4E3,4.0,0.131,FAUC,0.518,53.239999999999995,80.67,8.67
4E3,4.0,9.171,SHWR,2.0,53.239999999999995,80.98,8.98
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,81.18,9.18
4E3,4.0,0.524,FAUC,1.195,53.239999999999995,81.35,9.35
4E3,4.0,0.7859999999999999,FAUC,0.384,53.239999999999995,81.57,9.57
4E3,4.0,0.917,FAUC,0.428,53.239999999999995,81.64,9.64
4E3,4.0,2.333,CWSH,1.099,53.239999999999995,81.72,9.72
4E3,4.0,0.16699999999999998,CWSH,1.401,53.239999999999995,81.76,9.76
4E3,4.0,0.33299999999999996,CWSH,0.335,53.239999999999995,81.78,9.78
4E3,4.0,0.16699999999999998,CWSH,0.365,53.239999999999995,81.78999999999999,9.79
4E3,4.0,0.131,FAUC,0.691,53.239999999999995,81.96000000000001,9.96
4E3,4.0,0.131,FAUC,0.8059999999999999,53.239999999999995,81.98,9.98
4E3,4.0,0.16699999999999998,CWSH,0.7609999999999999,53.239999999999995,82.05,10.05
4E3,4.0,3.167,CWSH,1.114,53.239999999999995,82.06,10.06
4E3,4.0,0.917,FAUC,1.119,53.239999999999995,82.11,10.11
4E3,4.0,0.131,FAUC,1.2670000000000001,53.239999999999995,82.11,10.11
4E3,4.0,0.16699999999999998,CWSH,1.432,53.239999999999995,82.17,10.17
4E3,4.0,2.333,CWSH,1.101,53.239999999999995,82.18,10.18
4E3,4.0,0.39299999999999996,FAUC,0.653,53.239999999999995,82.28999999999999,10.29
4E3,4.0,0.16699999999999998,CWSH,0.7609999999999999,53.239999999999995,82.3,10.3
4E3,4.0,2.5,CWSH,1.237,53.239999999999995,82.31,10.31
4E3,4.0,0.131,FAUC,0.518,53.239999999999995,82.41,10.41
4E3,4.0,0.917,FAUC,0.963,53.239999999999995,82.42,10.42
4E3,4.0,0.131,FAUC,0.518,53.239999999999995,82.45,10.45
4E3,4.0,0.39299999999999996,FAUC,0.768,53.239999999999995,82.45,10.45
4E3,4.0,0.39299999999999996,FAUC,0.672,53.239999999999995,82.78,10.78
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,82.85,10.85
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,82.97,10.97
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,82.99,10.99
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,83.58,11.58
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,83.83,11.83
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,83.92,11.92
4E3,4.0,0.262,FAUC,0.547,53.239999999999995,84.9,12.9
4E3,4.0,0.262,FAUC,0.893,53.239999999999995,84.9,12.9
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,84.91,12.91
4E3,4.0,0.262,FAUC,0.634,53.239999999999995,84.92,12.92
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,84.99,12.99
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,84.99,12.99
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.0,13.0
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.02,13.02
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.03,13.03
4E3,4.0,0.262,FAUC,0.461,53.239999999999995,85.03999999999999,13.04
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.19,13.19
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.2,13.2
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.24,13.24
4E3,4.0,0.524,FAUC,0.9359999999999999,53.239999999999995,85.35,13.35
4E3,4.0,0.655,FAUC,0.956,53.239999999999995,85.38,13.38
4E3,4.0,0.39299999999999996,FAUC,0.883,53.239999999999995,85.4,13.4
4E3,4.0,0.655,FAUC,0.68,53.239999999999995,85.41,13.41
4E3,4.0,0.917,FAUC,0.889,53.239999999999995,85.44,13.44
4E3,4.0,0.39299999999999996,FAUC,0.883,53.239999999999995,85.46000000000001,13.46
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.48,13.48
4E3,4.0,0.262,FAUC,0.634,53.239999999999995,85.53999999999999,13.54
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.55,13.55
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.62,13.62
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.64,13.64
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.65,13.65
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,85.76,13.76
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,86.18,14.18
4E3,4.0,0.131,FAUC,0.34600000000000003,53.239999999999995,86.78999999999999,14.79
4E3,4.0,0.262,FAUC,1.2670000000000001,53.239999999999995,87.08,15.08
4E3,4.0,0.262,FAUC,0.5760000000000001,53.239999999999995,87.11,15.11
