Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
1H0,1.0,0.142,FAUC,0.691,53.35,9.33,9.33
1H0,1.0,0.569,FAUC,0.8059999999999999,53.35,10.96,10.96
1H0,1.0,0.285,FAUC,0.9790000000000001,53.35,19.76,19.76
1H0,1.0,0.285,FAUC,1.238,53.35,20.22,20.22
1H0,1.0,0.142,FAUC,1.6130000000000002,53.35,20.24,20.24
1H0,1.0,0.285,FAUC,1.325,53.35,20.28,20.28
1H0,1.0,0.42700000000000005,FAUC,0.365,53.35,21.04,21.04
2D7,2.0,2.358,FAUC,1.056,53.3915,24.59,0.59
2D7,2.0,5.502000000000001,SHWR,1.2329999999999999,53.3915,32.91,8.91
2D7,2.0,2.489,FAUC,1.061,53.3915,33.29,9.29
2D7,2.0,2.096,FAUC,1.069,53.3915,33.43,9.43
2D7,2.0,0.131,FAUC,0.34600000000000003,53.3915,33.78,9.78
2D7,2.0,0.262,FAUC,0.49,53.3915,33.79,9.79
2D7,2.0,1.4409999999999998,FAUC,0.728,53.3915,34.35,10.35
2D7,2.0,0.262,FAUC,0.605,53.3915,34.46,10.46
2D7,2.0,0.131,FAUC,0.8059999999999999,53.3915,34.47,10.47
2D7,2.0,0.39299999999999996,FAUC,0.518,53.3915,34.55,10.55
2D7,2.0,0.131,FAUC,0.518,53.3915,34.85,10.85
2D7,2.0,0.7859999999999999,FAUC,0.893,53.3915,34.86,10.86
2D7,2.0,0.131,FAUC,0.7490000000000001,53.3915,35.06,11.06
2D7,2.0,0.524,FAUC,0.778,53.3915,35.28,11.28
2D7,2.0,0.39299999999999996,FAUC,0.614,53.3915,35.82,11.82
2D7,2.0,1.048,FAUC,0.569,53.3915,35.94,11.94
2D7,2.0,2.358,FAUC,1.101,53.3915,36.9,12.9
2D7,2.0,8.123,SHWR,1.237,53.3915,38.3,14.3
2D7,2.0,0.262,FAUC,0.374,53.3915,40.84,16.84
2D7,2.0,3.668,SHWR,1.881,53.3915,40.93,16.93
2D7,2.0,0.262,FAUC,0.778,53.3915,41.019999999999996,17.02
2D7,2.0,0.131,FAUC,0.461,53.3915,41.41,17.41
2D7,2.0,0.131,FAUC,0.461,53.3915,41.5,17.5
2D7,2.0,0.131,FAUC,0.518,53.3915,41.53,17.53
2D7,2.0,0.131,FAUC,0.461,53.3915,41.64,17.64
2D7,2.0,0.655,FAUC,0.599,53.3915,41.7,17.7
2D7,2.0,0.655,FAUC,0.6679999999999999,53.3915,41.739999999999995,17.74
2D7,2.0,2.358,FAUC,1.117,53.3915,41.78,17.78
2D7,2.0,0.131,FAUC,0.28800000000000003,53.3915,41.879999999999995,17.88
2D7,2.0,0.262,FAUC,0.8640000000000001,53.3915,41.879999999999995,17.88
2D7,2.0,0.131,FAUC,0.7490000000000001,53.3915,42.620000000000005,18.62
2D7,2.0,0.262,FAUC,0.95,53.3915,42.64,18.64
2D7,2.0,0.262,FAUC,0.922,53.3915,42.68,18.68
2D7,2.0,0.524,FAUC,0.7340000000000001,53.3915,42.69,18.69
2D7,2.0,0.7859999999999999,FAUC,0.624,53.3915,42.71,18.71
