Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Mains Temperature (deg F),Start Time of Year (hr),Start time (hr)
2D7,2.0,5.502000000000001,SHWR,1.2329999999999999,53.3915,32.91,8.91
2D7,2.0,8.123,SHWR,1.237,53.3915,38.3,14.3
2D7,2.0,3.668,SHWR,1.881,53.3915,40.93,16.93
1E1,3.0,16.245,SHWR,2.0,53.338499999999996,56.79,8.79
1E1,3.0,5.502000000000001,SHWR,1.611,53.338499999999996,69.78999999999999,21.79
2D8,5.0,5.47,SHWR,1.443,53.1725,102.42,6.42
2D8,5.0,3.8539999999999996,SHWR,2.0,53.1725,107.12,11.12
2D8,5.0,7.957000000000001,SHWR,1.474,53.1725,116.58,20.58
2D9,6.0,12.237,SHWR,2.0,53.1125,128.79,8.79
2D9,6.0,6.66,SHWR,2.0,53.1125,138.04,18.04
4D9,7.0,11.005,SHWR,1.464,53.045,153.86,9.86
4D9,7.0,13.100999999999999,SHWR,2.0,53.045,162.84,18.84
4D9,7.0,4.8469999999999995,SHWR,2.0,53.045,163.41,19.41
4D9,7.0,3.668,SHWR,2.0,53.045,164.6,20.6
4D9,7.0,2.62,SHWR,2.0,53.045,164.79,20.79
5D4,8.0,7.335,SHWR,2.0,53.006,179.63,11.63
5D4,8.0,5.968,SHWR,1.2590000000000001,53.006,187.03,19.03
6D4,9.0,3.013,SHWR,2.0,52.9875,197.25,5.25
6D4,9.0,11.005,SHWR,2.0,52.9875,197.65,5.65
6D4,9.0,9.957,SHWR,2.0,52.9875,211.47,19.47
1E5,10.0,7.119,SHWR,2.0,52.9165,234.01,18.01
2D1,12.0,5.5760000000000005,SHWR,2.0,52.8695,272.14,8.14
2D1,12.0,10.378,SHWR,1.916,52.8695,272.4,8.4
2D4,13.0,4.476,SHWR,2.0,52.80200000000001,296.47,8.47
4D7,14.0,3.275,SHWR,2.0,52.685500000000005,318.5,6.5
4D7,14.0,7.336,SHWR,1.632,52.685500000000005,332.63,20.63
4D7,14.0,7.205,SHWR,1.81,52.685500000000005,332.63,20.63
6D6,15.0,4.833,SHWR,2.0,52.57600000000001,342.26,6.26
6D6,15.0,3.667,SHWR,2.0,52.57600000000001,343.91,7.91
6D6,15.0,9.833,SHWR,2.0,52.57600000000001,344.2,8.2
2D5,16.0,9.833,SHWR,1.411,52.546499999999995,369.06,9.06
2D5,16.0,6.5,SHWR,2.0,52.546499999999995,370.68,10.68
1E8,18.0,8.908999999999999,SHWR,2.0,52.4885,421.22,13.22
4D8,20.0,12.052999999999999,SHWR,1.585,52.4825,464.25,8.25
4D8,20.0,11.005,SHWR,1.614,52.4825,476.8,20.8
4D8,20.0,8.516,SHWR,1.575,52.4825,477.73,21.73
2D3,21.0,2.705,SHWR,1.746,52.54050000000001,486.21,6.21
2D3,21.0,4.129,SHWR,2.0,52.54050000000001,487.27,7.27
2D6,22.0,6.837999999999999,SHWR,2.0,52.52900000000001,511.31,7.31
2D0,23.0,3.9789999999999996,SHWR,2.0,52.457499999999996,549.08,21.08
3E7,25.0,8.385,SHWR,2.0,52.3495,585.82,9.82
3E7,25.0,3.406,SHWR,2.0,52.3495,586.25,10.25
6D1,27.0,7.832999999999999,SHWR,2.0,52.308,630.29,6.29
6D1,27.0,7.584,SHWR,1.935,52.308,633.95,9.95
6D1,27.0,5.718999999999999,SHWR,1.8869999999999998,52.308,634.14,10.14
6D1,27.0,5.222,SHWR,2.0,52.308,637.38,13.38
6D1,27.0,13.055,SHWR,2.0,52.308,642.0,18.0
6D1,27.0,3.73,SHWR,1.662,52.308,644.3,20.3
4D1,28.0,15.833,SHWR,2.0,52.3065,654.41,6.41
4D1,28.0,13.5,SHWR,2.0,52.3065,654.81,6.81
2D1,29.0,5.5760000000000005,SHWR,2.0,52.269999999999996,680.14,8.14
2D1,29.0,10.378,SHWR,1.916,52.269999999999996,680.4,8.4
1E7,31.0,7.513999999999999,SHWR,1.526,52.210499999999996,731.11,11.11
1E9,32.0,6.287999999999999,SHWR,2.0,52.174,760.02,16.02
4D6,33.0,7.211,SHWR,1.88,52.2,775.29,7.29
4D6,33.0,6.837999999999999,SHWR,1.84,52.2,779.3,11.3
4D6,33.0,3.6060000000000003,SHWR,1.5830000000000002,52.2,780.82,12.82
4D6,33.0,8.081,SHWR,1.893,52.2,784.48,16.48
2D4,34.0,4.476,SHWR,2.0,52.254000000000005,800.47,8.47
6D8,35.0,4.337,SHWR,1.995,52.3675,821.02,5.02
6D8,35.0,15.489,SHWR,1.361,52.3675,827.79,11.79
6D8,35.0,10.378,SHWR,1.571,52.3675,834.38,18.38
6D8,35.0,11.307,SHWR,1.297,52.3675,835.72,19.72
6D8,35.0,7.9,SHWR,1.48,52.3675,837.78,21.78
4D5,36.0,5.595,SHWR,2.0,52.4705,846.9,6.9
4D5,36.0,6.341,SHWR,1.38,52.4705,847.18,7.18
4D2,37.0,6.832999999999999,SHWR,1.311,52.545500000000004,871.93,7.93
2E9,39.0,8.984,SHWR,1.561,52.510000000000005,928.29,16.29
2E9,39.0,7.59,SHWR,2.0,52.510000000000005,929.61,17.61
6D9,40.0,13.0,SHWR,2.0,52.382000000000005,942.53,6.53
6D9,40.0,4.167,SHWR,1.9340000000000002,52.382000000000005,948.47,12.47
6D9,40.0,9.667,SHWR,1.355,52.382000000000005,950.59,14.59
6D9,40.0,7.167000000000001,SHWR,1.8869999999999998,52.382000000000005,959.24,23.24
6D5,41.0,6.97,SHWR,1.4409999999999998,52.292,967.52,7.52
6D5,41.0,3.717,SHWR,2.0,52.292,969.1,9.1
6D5,41.0,1.859,SHWR,2.0,52.292,969.31,9.31
6D5,41.0,5.421,SHWR,2.0,52.292,980.55,20.55
4D3,42.0,3.406,SHWR,1.405,52.21300000000001,996.56,12.56
4D3,42.0,1.965,SHWR,1.8880000000000001,52.21300000000001,1004.61,20.61
4D4,43.0,9.04,SHWR,2.0,52.1965,1015.6,7.6
4D4,43.0,5.632999999999999,SHWR,2.0,52.1965,1027.46,19.46
4D4,44.0,9.04,SHWR,2.0,52.2115,1039.6,7.6
4D4,44.0,5.632999999999999,SHWR,2.0,52.2115,1051.46,19.46
2D7,49.0,5.502000000000001,SHWR,1.2329999999999999,52.374,1160.91,8.91
2D7,49.0,8.123,SHWR,1.237,52.374,1166.3,14.3
2D7,49.0,3.668,SHWR,1.881,52.374,1168.93,16.93
5D9,50.0,4.337,SHWR,2.0,52.3605,1188.59,12.59
5D9,50.0,28.346,SHWR,2.0,52.3605,1199.09,23.09
4D1,51.0,15.833,SHWR,2.0,52.358000000000004,1206.41,6.41
4D1,51.0,13.5,SHWR,2.0,52.358000000000004,1206.81,6.81
1E1,52.0,16.245,SHWR,2.0,52.3585,1232.79,8.79
1E1,52.0,5.502000000000001,SHWR,1.611,52.3585,1245.79,21.79
1E7,53.0,7.513999999999999,SHWR,1.526,52.3905,1259.11,11.11
2D5,54.0,9.833,SHWR,1.411,52.426500000000004,1281.06,9.06
2D5,54.0,6.5,SHWR,2.0,52.426500000000004,1282.68,10.68
4D7,56.0,3.275,SHWR,2.0,52.522,1326.5,6.5
4D7,56.0,7.336,SHWR,1.632,52.522,1340.63,20.63
4D7,56.0,7.205,SHWR,1.81,52.522,1340.63,20.63
2D3,57.0,2.705,SHWR,1.746,52.581500000000005,1350.21,6.21
2D3,57.0,4.129,SHWR,2.0,52.581500000000005,1351.27,7.27
3D9,58.0,4.103,SHWR,1.3130000000000002,52.617,1368.21,0.21
3D9,58.0,4.227,SHWR,1.348,52.617,1376.8,8.8
3D9,58.0,3.73,SHWR,1.146,52.617,1378.25,10.25
3D9,58.0,4.973,SHWR,1.329,52.617,1382.01,14.01
1E5,60.0,7.119,SHWR,2.0,52.61750000000001,1434.01,18.01
2D8,61.0,5.47,SHWR,1.443,52.6215,1446.42,6.42
