Day,Fixture,Start time (hr),Duration (min),Flow Rate (gpm)
1D1,DWSH,1.30,1.667,1.145
1D1,DWSH,1.87,1.500,1.014
1D1,DWSH,2.10,1.333,1.179
1D1,FAUC,2.09,0.167,0.317
1D1,FAUC,6.75,0.167,0.226
1D1,FAUC,6.76,0.500,1.132
1D1,FAUC,6.77,0.667,1.121
1D1,FAUC,7.02,1.000,0.800
1D1,FAUC,7.22,0.333,1.562
1D1,FAUC,7.23,0.833,1.141
1D1,FAUC,7.51,0.500,0.815
1D1,FAUC,9.37,1.167,0.912
1D1,FAUC,9.38,0.167,1.811
1D1,FAUC,9.80,0.333,0.860
1D1,FAUC,9.82,0.667,1.132
1D1,FAUC,10.19,0.167,0.226
1D1,FAUC,10.78,0.167,0.724
1D1,FAUC,10.81,0.167,0.453
1D1,FAUC,11.27,0.833,1.005
1D1,FAUC,12.50,0.167,0.634
1D1,FAUC,12.68,0.833,0.906
1D1,FAUC,12.73,0.167,0.226
1D1,FAUC,12.75,0.333,0.475
1D1,FAUC,12.99,0.167,1.041
1D1,FAUC,13.25,1.000,0.815
1D1,FAUC,13.26,0.500,0.890
1D1,FAUC,14.26,1.833,1.260
1D1,FAUC,14.30,0.500,0.528
1D1,FAUC,14.46,0.167,0.317
1D1,FAUC,14.50,0.167,0.226
1D1,FAUC,14.75,0.167,0.860
1D1,FAUC,14.77,1.000,1.268
1D1,FAUC,14.80,0.167,0.226
1D1,FAUC,14.80,0.167,0.226
1D1,FAUC,15.07,0.167,1.675
1D1,FAUC,16.47,0.333,0.702
1D1,FAUC,17.29,0.167,0.407
1D1,FAUC,17.39,0.333,0.657
1D1,FAUC,17.43,0.167,0.634
1D1,FAUC,17.44,0.167,0.724
1D1,FAUC,17.44,0.500,0.966
1D1,FAUC,17.61,0.333,0.385
1D1,FAUC,17.99,0.667,0.883
1D1,FAUC,18.04,0.167,0.770
1D1,FAUC,18.17,0.167,0.407
1D1,FAUC,18.31,0.333,0.815
1D1,FAUC,18.32,0.167,0.453
1D1,FAUC,18.33,2.333,1.155
1D1,FAUC,18.39,0.333,0.702
1D1,FAUC,18.40,0.667,1.098
1D1,FAUC,18.59,0.167,0.407
1D1,FAUC,18.60,0.167,0.226
1D1,FAUC,18.89,0.333,0.860
1D1,FAUC,20.29,0.667,1.098
1D1,FAUC,20.30,0.667,0.985
1D1,FAUC,21.29,0.167,0.407
1D1,FAUC,21.87,0.833,0.942
1D1,FAUC,21.89,0.167,0.317
1D1,FAUC,21.90,0.333,0.543
1D1,FAUC,21.97,0.167,0.226
1D1,FAUC,22.30,0.500,0.740
1D1,FAUC,22.32,0.167,0.226
1D1,SHWR,22.09,11.333,1.572
1D2,CWSH,20.35,1.000,2.678
1D2,CWSH,20.42,0.667,1.189
1D2,CWSH,20.50,3.167,2.899
1D2,FAUC,7.25,0.333,1.195
1D2,FAUC,7.28,0.500,1.021
1D2,FAUC,7.35,0.333,0.831
1D2,FAUC,8.37,0.333,0.675
1D2,FAUC,8.41,0.333,0.883
1D2,FAUC,8.43,0.667,0.649
1D2,FAUC,8.45,1.667,1.002
1D2,FAUC,8.67,0.333,0.961
1D2,FAUC,8.72,0.667,0.740
1D2,FAUC,8.73,0.333,1.195
1D2,FAUC,8.74,0.167,0.312
1D2,FAUC,14.73,1.500,0.669
1D2,FAUC,14.81,1.333,1.558
1D2,FAUC,14.85,0.167,0.260
1D2,FAUC,14.87,1.167,0.275
1D2,FAUC,16.82,1.000,2.052
1D2,FAUC,16.84,0.667,1.039
1D2,FAUC,17.00,0.333,0.312
1D2,FAUC,17.10,0.167,0.467
1D2,FAUC,17.13,0.500,1.091
1D2,FAUC,17.16,0.333,0.286
1D2,FAUC,17.31,0.333,0.571
1D2,FAUC,17.33,0.167,0.312
1D2,FAUC,17.38,0.333,0.519
1D2,FAUC,17.65,0.167,0.312
1D2,FAUC,17.67,0.167,0.571
1D2,FAUC,18.15,0.167,1.143
1D2,FAUC,18.34,0.167,0.260
